Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
HKY+G,22,10200.0529903247,10047.5385045315,-5001.70264702684,n/a,0.502188933095151,1.58214072726696,0.153543307086614,0.250262467191601,0.26758530183727,0.328608923884514,0.05,0.05,0.21,0.03,0.17,0.06,0.03,0.16,0.06,0.1,0.05,0.05
HKY+G+I,23,10204.0029156018,10044.5620273346,-4999.20834384108,0.234992113784969,1.01957182205037,1.55846719596032,0.153543307086614,0.250262467191601,0.26758530183727,0.328608923884514,0.05,0.05,0.2,0.03,0.17,0.06,0.03,0.16,0.06,0.1,0.05,0.05
GTR+G+I,27,10204.7246325697,10017.5834350627,-4981.69213902765,0.236797748266543,1.06703387811644,1.5873828285597,0.153543307086614,0.250262467191601,0.26758530183727,0.328608923884514,0.02,0.08,0.17,0.01,0.19,0.04,0.05,0.18,0.08,0.08,0.03,0.06
TN93+G,23,10205.2326137354,10045.7917254681,-4999.82319290785,n/a,0.496579476235601,1.61391472521374,0.153543307086614,0.250262467191601,0.26758530183727,0.328608923884514,0.05,0.05,0.18,0.03,0.19,0.06,0.03,0.18,0.06,0.08,0.05,0.05
TN93+G+I,24,10208.2155294102,10041.8487685252,-4996.84538492092,0.249047084418338,1.07713622717086,1.59099215313177,0.153543307086614,0.250262467191601,0.26758530183727,0.328608923884514,0.05,0.05,0.17,0.03,0.19,0.06,0.03,0.18,0.06,0.08,0.05,0.05
GTR+G,26,10211.1434417116,10030.9265259972,-4989.37080942294,n/a,0.522885276745972,1.45327032308411,0.153543307086614,0.250262467191601,0.26758530183727,0.328608923884514,0.05,0.08,0.19,0.03,0.17,0.03,0.04,0.16,0.08,0.09,0.03,0.06
T92+G,20,10215.8212803711,10077.1611882582,-5018.52532369876,n/a,0.49809506409442,1.57273310140971,0.201902887139108,0.201902887139108,0.298097112860892,0.298097112860892,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
T92+G+I,21,10218.9570837942,10073.3695301222,-5015.62395958595,0.250588508355816,1.08507070212713,1.54612287752341,0.201902887139108,0.201902887139108,0.298097112860892,0.298097112860892,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+I,26,10249.939232051,10069.7223163366,-5008.76870459266,0.385783570661857,n/a,1.41869555345378,0.153543307086614,0.250262467191601,0.26758530183727,0.328608923884514,0.02,0.08,0.17,0.01,0.18,0.05,0.04,0.17,0.09,0.08,0.04,0.07
HKY+I,22,10252.5293959237,10100.0149101305,-5027.94084982635,0.389576652798471,n/a,1.37478975944055,0.153543307086614,0.250262467191601,0.26758530183727,0.328608923884514,0.05,0.05,0.2,0.03,0.16,0.07,0.03,0.15,0.07,0.09,0.05,0.05
TN93+I,23,10253.9780950741,10094.5372068069,-5024.19593357724,0.389985564771146,n/a,1.40527042277751,0.153543307086614,0.250262467191601,0.26758530183727,0.328608923884514,0.05,0.05,0.17,0.03,0.18,0.07,0.03,0.17,0.07,0.08,0.05,0.05
T92+I,20,10262.5381872763,10123.8780951634,-5041.88377715136,0.393251792606536,n/a,1.37452861187625,0.201902887139108,0.201902887139108,0.298097112860892,0.298097112860892,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
K2+G,19,10307.2278852971,10175.4957839721,-5068.69789198606,n/a,0.552924317213622,1.42219060166999,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,10308.7276287677,10170.0675366548,-5064.97849789706,0.271212806884457,1.39636639789801,1.39911972975171,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,10339.1226719924,10207.3905706674,-5084.64528533372,0.389966115922442,n/a,1.29627170571331,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC+G+I,19,10463.7416628059,10332.009561481,-5146.9547807405,0.286671794885511,1.74384235571522,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10463.7984143738,10338.994832857,-5151.4524223488,n/a,0.598573115508195,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10485.7237935633,10360.9202120465,-5162.41511194351,0.386790613209229,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,10604.4141524261,10431.1220489889,-5190.47543060452,n/a,n/a,1.06436966282443,0.153543307086614,0.250262467191601,0.26758530183727,0.328608923884514,0.05,0.08,0.17,0.03,0.14,0.05,0.05,0.13,0.1,0.08,0.03,0.08
HKY,21,10609.1297231643,10463.5421694922,-5210.71027927098,n/a,n/a,1.19499562169462,0.153543307086614,0.250262467191601,0.26758530183727,0.328608923884514,0.06,0.06,0.18,0.03,0.15,0.07,0.03,0.14,0.07,0.09,0.06,0.06
TN93,22,10617.1304652046,10464.6159794114,-5210.2413844668,n/a,n/a,1.19531383471648,0.153543307086614,0.250262467191601,0.26758530183727,0.328608923884514,0.06,0.06,0.17,0.03,0.16,0.07,0.03,0.15,0.07,0.08,0.06,0.06
T92,19,10629.7234293647,10497.9913280397,-5229.94566401986,n/a,n/a,1.17981349995831,0.201902887139108,0.201902887139108,0.298097112860892,0.298097112860892,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
