Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,13190.3869138905,12996.2973141833,-6471.07160857963,0.32496301510669,1.31948078070734,1.41219376081516,0.2375,0.193394308943089,0.28739837398374,0.281707317073171,0.01,0.08,0.14,0.01,0.21,0.03,0.06,0.14,0.09,0.11,0.02,0.09
GTR+G,26,13191.2016642568,13004.2952540277,-6476.0760892578,n/a,0.444855486148195,1.42486732298005,0.2375,0.193394308943089,0.28739837398374,0.281707317073171,0.01,0.08,0.14,0.01,0.21,0.03,0.07,0.14,0.09,0.12,0.02,0.09
TN93+G+I,24,13237.4649998701,13064.9261979531,-6508.40196805447,0.342914690498834,1.38265132007725,1.46388613046693,0.2375,0.193394308943089,0.28739837398374,0.281707317073171,0.04,0.06,0.13,0.05,0.22,0.06,0.05,0.15,0.06,0.11,0.04,0.06
GTR+I,26,13238.1055998103,13051.1991895812,-6499.52805703454,0.433199900261455,n/a,1.31225036695406,0.2375,0.193394308943089,0.28739837398374,0.281707317073171,0.01,0.07,0.13,0.01,0.2,0.04,0.06,0.14,0.09,0.11,0.03,0.09
T92+G+I,21,13242.5012563354,13091.5169383983,-6524.71141277219,0.321703237802601,1.22325686183123,1.41474694020463,0.215447154471545,0.215447154471545,0.284552845528455,0.284552845528455,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G,23,13242.6784890559,13077.3241057225,-6515.60581814244,n/a,0.420350251695756,1.51645766632216,0.2375,0.193394308943089,0.28739837398374,0.281707317073171,0.04,0.06,0.13,0.05,0.22,0.05,0.05,0.15,0.05,0.11,0.04,0.06
HKY+G+I,23,13243.2520154357,13077.8976321023,-6515.89258133232,0.329336565611676,1.2685556233084,1.43286427155268,0.2375,0.193394308943089,0.28739837398374,0.281707317073171,0.04,0.06,0.17,0.05,0.17,0.06,0.05,0.11,0.06,0.14,0.04,0.06
T92+G,20,13244.1868291024,13100.388157728,-6530.15130465075,n/a,0.429055416252128,1.4599508054819,0.215447154471545,0.215447154471545,0.284552845528455,0.284552845528455,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+G,22,13246.0304061501,13087.8608508517,-6521.87888218453,n/a,0.425035052921874,1.48333863732389,0.2375,0.193394308943089,0.28739837398374,0.281707317073171,0.04,0.06,0.17,0.05,0.17,0.06,0.05,0.12,0.06,0.14,0.04,0.06
TN93+I,23,13284.3980971342,13119.0437138008,-6536.46562218156,0.435873056144861,n/a,1.29891020575162,0.2375,0.193394308943089,0.28739837398374,0.281707317073171,0.04,0.06,0.13,0.05,0.2,0.06,0.05,0.14,0.06,0.11,0.04,0.06
HKY+I,22,13294.150707481,13135.9811521826,-6545.93903284999,0.436203055499028,n/a,1.27171988648605,0.2375,0.193394308943089,0.28739837398374,0.281707317073171,0.04,0.06,0.16,0.05,0.16,0.06,0.05,0.11,0.06,0.13,0.04,0.06
T92+I,20,13296.0538529783,13152.2551816038,-6556.08481658866,0.435273534812221,n/a,1.2578115503635,0.215447154471545,0.215447154471545,0.284552845528455,0.284552845528455,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
K2+G+I,20,13336.4341131584,13192.635441784,-6576.27494667876,0.334505493853999,1.45710549949741,1.3269241995587,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,13339.4587333919,13202.8461176563,-6582.3843622905,n/a,0.456243471238128,1.36435263632594,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+I,19,13378.8512866128,13242.2386708772,-6602.08063890094,0.433487124834482,n/a,1.21605152974462,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+G+I,19,13511.2360351103,13374.6234193748,-6668.2730131497,0.351881414861561,1.87372999281985,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,13518.0351097806,13388.6089586353,-6676.26965597989,n/a,0.49173778258714,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,13542.7861502299,13413.3599990845,-6688.64517620451,0.431682556120624,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,13829.1621028216,13649.4392918976,-6799.65341403522,n/a,n/a,1.08996118950907,0.2375,0.193394308943089,0.28739837398374,0.281707317073171,0.01,0.09,0.13,0.02,0.18,0.04,0.07,0.12,0.1,0.11,0.03,0.1
T92,19,13919.609278802,13782.9966630665,-6872.45963499558,n/a,n/a,1.09588779000913,0.215447154471545,0.215447154471545,0.284552845528455,0.284552845528455,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
HKY,21,13928.3720851371,13777.3877672001,-6867.64682717308,n/a,n/a,1.09607207403342,0.2375,0.193394308943089,0.28739837398374,0.281707317073171,0.05,0.07,0.15,0.06,0.15,0.07,0.06,0.1,0.07,0.13,0.05,0.07
TN93,22,13929.8767748334,13771.707219535,-6863.80206652617,n/a,n/a,1.09591431008876,0.2375,0.193394308943089,0.28739837398374,0.281707317073171,0.05,0.07,0.13,0.06,0.17,0.07,0.06,0.11,0.07,0.11,0.05,0.07
K2,18,13974.0363649746,13844.6102138292,-6904.27028357688,n/a,n/a,1.09019547905389,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,14122.3958300187,14000.1565522899,-6983.04712159395,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
