Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,15864.8205871436,15661.2618529733,-7803.57662394394,0.424045044514634,0.905311525039787,2.28717551801302,0.216845878136201,0.191756272401434,0.28594982078853,0.305448028673835,0.01,0.05,0.11,0.01,0.32,0.02,0.04,0.21,0.07,0.08,0.01,0.07
GTR+G,26,15877.9567040999,15681.9334399676,-7814.91629981572,n/a,0.274744683789953,2.34858485023138,0.216845878136201,0.191756272401434,0.28594982078853,0.305448028673835,0.01,0.05,0.11,0.01,0.32,0.02,0.04,0.22,0.07,0.08,0.01,0.07
TN93+G+I,24,15879.7961413619,15698.8446824105,-7825.37925323397,0.415233941307683,0.802912268668457,2.45415667703774,0.216845878136201,0.191756272401434,0.28594982078853,0.305448028673835,0.03,0.04,0.11,0.03,0.32,0.04,0.03,0.22,0.04,0.08,0.03,0.04
TN93+G,23,15893.3556040876,15719.9404801549,-7836.93060199041,n/a,0.25673406899474,2.65571321978547,0.216845878136201,0.191756272401434,0.28594982078853,0.305448028673835,0.03,0.04,0.1,0.03,0.34,0.04,0.03,0.23,0.04,0.07,0.03,0.04
T92+G+I,21,15921.1433272179,15762.8017378689,-7860.36769834284,0.449665428118838,0.985663460385061,2.15428127558559,0.204301075268817,0.204301075268817,0.295698924731183,0.295698924731183,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
T92+G,20,15934.6742241988,15783.8698342906,-7871.90476422693,n/a,0.266943867377396,2.1767043364539,0.204301075268817,0.204301075268817,0.295698924731183,0.295698924731183,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
GTR+I,26,15955.3098467619,15759.2865826295,-7853.5928711467,0.545289396906549,n/a,1.81679245968456,0.216845878136201,0.191756272401434,0.28594982078853,0.305448028673835,0.01,0.05,0.13,0.01,0.27,0.03,0.04,0.18,0.08,0.09,0.02,0.08
HKY+G+I,23,15957.7801471407,15784.365023208,-7869.14287351698,0.452467219508242,1.00140755593298,2.19222840772741,0.216845878136201,0.191756272401434,0.28594982078853,0.305448028673835,0.03,0.04,0.21,0.03,0.2,0.05,0.03,0.13,0.05,0.15,0.03,0.04
HKY+G,22,15971.788398006,15805.9098972949,-7880.91861634328,n/a,0.26640150120897,2.21591436049478,0.216845878136201,0.191756272401434,0.28594982078853,0.305448028673835,0.03,0.04,0.21,0.03,0.2,0.05,0.03,0.13,0.05,0.15,0.03,0.04
TN93+I,23,15980.4941758976,15807.079051965,-7880.49988789545,0.545391037537459,n/a,1.78902421906084,0.216845878136201,0.191756272401434,0.28594982078853,0.305448028673835,0.03,0.05,0.13,0.04,0.26,0.05,0.04,0.17,0.05,0.09,0.03,0.05
T92+I,20,16009.4483427998,15858.6439528916,-7909.29182352741,0.551589438053132,n/a,1.75709700078763,0.204301075268817,0.204301075268817,0.295698924731183,0.295698924731183,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
HKY+I,22,16044.9235903253,15879.0450896141,-7917.48621250291,0.551789868120229,n/a,1.78195432539542,0.216845878136201,0.191756272401434,0.28594982078853,0.305448028673835,0.03,0.05,0.2,0.04,0.19,0.05,0.04,0.12,0.05,0.14,0.03,0.05
K2+G+I,20,16097.1023116429,15946.2979217347,-7953.11880794897,0.466079705580777,1.27748772825563,1.89337886728475,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,16111.5151693068,15968.2482668559,-7965.09685417455,n/a,0.28811753855523,1.91658460371569,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+I,19,16161.7124360951,16018.4455336442,-7990.1954875687,0.550240444484656,n/a,1.6523721458176,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
JC+G+I,19,16484.0454806847,16340.7785782338,-8151.36200986349,0.489379362042104,2.01665387249926,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,16502.0873104942,16366.3581834552,-8165.15454216186,n/a,0.318676539623888,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,16521.0275551395,16385.2984281004,-8174.62466448451,0.5466722517465,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,17054.8760560099,16866.3885503045,-8408.14759316431,n/a,n/a,1.22602368900476,0.216845878136201,0.191756272401434,0.28594982078853,0.305448028673835,0.04,0.06,0.12,0.04,0.22,0.04,0.04,0.15,0.1,0.08,0.02,0.09
TN93,22,17090.1895022006,16924.3110014894,-8440.11916844057,n/a,n/a,1.3892204519457,0.216845878136201,0.191756272401434,0.28594982078853,0.305448028673835,0.04,0.06,0.12,0.04,0.24,0.06,0.04,0.16,0.06,0.08,0.04,0.06
T92,19,17153.3069561647,17010.0400537138,-8485.99274760349,n/a,n/a,1.37720356530468,0.204301075268817,0.204301075268817,0.295698924731183,0.295698924731183,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
