Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,12649.5745813371,12496.4519970456,-6227.18348840134,0.472317417555516,1.99388243250061,2.25622266274489,0.212764003673095,0.212764003673095,0.287235996326905,0.287235996326905,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
TN93+G+I,24,12652.4553980026,12477.4714392078,-6214.68049641015,0.463013466638716,1.83453083184119,2.33381789112117,0.214876033057851,0.210651974288338,0.286225895316804,0.288246097337006,0.03,0.04,0.14,0.03,0.26,0.04,0.03,0.19,0.04,0.11,0.03,0.04
GTR+G+I,27,12654.0564322382,12457.214427292,-6201.53761320407,0.453832917184324,1.70055486813579,2.34378695231416,0.214876033057851,0.210651974288338,0.286225895316804,0.288246097337006,0.01,0.06,0.14,0.01,0.27,0.02,0.04,0.2,0.06,0.11,0.02,0.06
HKY+G+I,23,12669.3641348456,12501.6669312045,-6227.78266493963,0.472522305523484,1.99597847119874,2.26046598861997,0.214876033057851,0.210651974288338,0.286225895316804,0.288246097337006,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
T92+G,20,12671.7279516377,12525.893231338,-6242.9079736596,n/a,0.327709060089807,2.34315814096932,0.212764003673095,0.212764003673095,0.287235996326905,0.287235996326905,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
T92+I,20,12673.7720349937,12527.9373146939,-6243.93001533757,0.524265445592578,n/a,2.03990610655915,0.212764003673095,0.212764003673095,0.287235996326905,0.287235996326905,0.03,0.05,0.19,0.03,0.19,0.05,0.03,0.14,0.05,0.14,0.03,0.05
TN93+G,23,12674.2132974289,12506.5160937878,-6230.20724623129,n/a,0.327058310766092,2.45763273281943,0.214876033057851,0.210651974288338,0.286225895316804,0.288246097337006,0.03,0.04,0.14,0.03,0.27,0.04,0.03,0.2,0.04,0.1,0.03,0.04
TN93+I,23,12679.3875782742,12511.6903746332,-6232.79438665396,0.520944176201659,n/a,2.05102611027557,0.214876033057851,0.210651974288338,0.286225895316804,0.288246097337006,0.03,0.05,0.15,0.03,0.24,0.05,0.03,0.18,0.05,0.11,0.03,0.05
GTR+G,26,12685.6754994922,12496.1191399427,-6221.99494693905,n/a,0.341534650917653,2.14673990997429,0.214876033057851,0.210651974288338,0.286225895316804,0.288246097337006,0.03,0.05,0.15,0.03,0.25,0.02,0.04,0.18,0.06,0.11,0.01,0.06
HKY+G,22,12691.5771730809,12531.1670943082,-6243.53698416526,n/a,0.327472601520387,2.34815169712084,0.214876033057851,0.210651974288338,0.286225895316804,0.288246097337006,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
