Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,11676.4188439745,11505.0093669208,-5728.44061512084,0.431338584115555,1.37528480490786,2.15848613708763,0.2209797657082,0.207774227902023,0.26975505857295,0.301490947816826,0.03,0.04,0.13,0.03,0.26,0.05,0.03,0.2,0.05,0.09,0.03,0.04
T92+G+I,21,11678.3663752515,11528.3695968817,-5743.13548161762,0.44802313904554,1.61263146530582,2.01226100160945,0.214376996805112,0.214376996805112,0.285623003194888,0.285623003194888,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G,23,11692.4864677575,11528.2141277551,-5741.04812729843,n/a,0.314181423296371,2.32030329004797,0.2209797657082,0.207774227902023,0.26975505857295,0.301490947816826,0.03,0.04,0.12,0.03,0.28,0.04,0.03,0.22,0.04,0.09,0.03,0.04
T92+G,20,11698.7445933141,11555.8862392508,-5757.89829093503,n/a,0.325572859954371,2.08561243666705,0.214376996805112,0.214376996805112,0.285623003194888,0.285623003194888,0.03,0.05,0.19,0.03,0.19,0.05,0.03,0.15,0.05,0.15,0.03,0.05
GTR+G+I,27,11703.0218477447,11510.2035362474,-5728.02101614762,0.429377892227455,1.34484281693394,2.16206504334884,0.2209797657082,0.207774227902023,0.26975505857295,0.301490947816826,0.03,0.05,0.13,0.04,0.26,0.04,0.04,0.2,0.04,0.09,0.03,0.04
HKY+G+I,23,11706.8573539478,11542.5850139454,-5748.23357039359,0.446941732405949,1.58819670948453,2.03043932041603,0.2209797657082,0.207774227902023,0.26975505857295,0.301490947816826,0.03,0.04,0.2,0.04,0.18,0.05,0.04,0.14,0.05,0.15,0.03,0.04
K2+G+I,20,11715.0164067718,11572.1580527085,-5766.03419766387,0.453014760729085,1.89203177226237,1.86102221329121,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+I,20,11717.9883282421,11575.1299741788,-5767.52015839904,0.507764363944329,n/a,1.76220655197978,0.214376996805112,0.214376996805112,0.285623003194888,0.285623003194888,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G,26,11718.0281679194,11532.3457049806,-5740.09787652105,n/a,0.311910769712399,2.3294645964577,0.2209797657082,0.207774227902023,0.26975505857295,0.301490947816826,0.03,0.05,0.12,0.03,0.28,0.04,0.04,0.22,0.04,0.09,0.03,0.04
TN93+I,23,11724.2756382908,11560.0032982883,-5756.94271256506,0.504319919237886,n/a,1.78248736059494,0.2209797657082,0.207774227902023,0.26975505857295,0.301490947816826,0.04,0.05,0.14,0.04,0.23,0.05,0.04,0.17,0.05,0.1,0.04,0.05
HKY+G,22,11726.7812157492,11569.6464420206,-5762.76920158036,n/a,0.324733462039935,2.10531969653091,0.2209797657082,0.207774227902023,0.26975505857295,0.301490947816826,0.03,0.04,0.21,0.04,0.18,0.05,0.04,0.14,0.05,0.15,0.03,0.04
K2+G,19,11736.8875777859,11601.1680768394,-5781.54348345705,n/a,0.343538243537869,1.91936049083339,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+I,19,11745.5951840635,11609.8756831169,-5785.89728659582,0.50668093492204,n/a,1.68632005296684,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY+I,22,11747.341196831,11590.2064231023,-5773.04919212125,0.50768255334416,n/a,1.76976688175332,0.2209797657082,0.207774227902023,0.26975505857295,0.301490947816826,0.04,0.05,0.19,0.04,0.17,0.05,0.04,0.13,0.05,0.14,0.04,0.05
GTR+I,26,11751.4132874737,11565.7308245349,-5756.79043629823,0.504325006159123,n/a,1.78246952063093,0.2209797657082,0.207774227902023,0.26975505857295,0.301490947816826,0.03,0.05,0.14,0.04,0.23,0.06,0.04,0.17,0.05,0.1,0.04,0.05
JC+G+I,19,12002.4225178791,11866.7030169326,-5914.31095350365,0.459406026623728,2.58882034450113,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,12020.565812855,11891.9855936983,-5927.9563012777,0.503114266878888,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,12026.4109870206,11897.8307678639,-5930.87888836049,n/a,0.377066648636877,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,12473.7784288293,12316.6436551007,-6136.26780812044,n/a,n/a,1.40919647104043,0.2209797657082,0.207774227902023,0.26975505857295,0.301490947816826,0.04,0.06,0.13,0.05,0.21,0.06,0.05,0.16,0.06,0.1,0.04,0.06
K2,18,12476.7143086347,12348.134089478,-6156.03054916754,n/a,n/a,1.39198555845,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,12479.3628172672,12343.6433163206,-6152.78110319766,n/a,n/a,1.40251931264337,0.214376996805112,0.214376996805112,0.285623003194888,0.285623003194888,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
GTR,25,12494.9467904208,12316.4006056758,-6133.13088805787,n/a,n/a,1.41248020837041,0.2209797657082,0.207774227902023,0.26975505857295,0.301490947816826,0.03,0.06,0.13,0.03,0.21,0.06,0.05,0.16,0.07,0.1,0.04,0.06
HKY,21,12508.1172795914,12358.1205012216,-6158.0109337876,n/a,n/a,1.39968384075188,0.2209797657082,0.207774227902023,0.26975505857295,0.301490947816826,0.04,0.06,0.18,0.05,0.16,0.06,0.05,0.12,0.06,0.13,0.04,0.06
JC,17,12712.589935875,12591.1494270438,-6278.54206307378,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
