Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,13383.747008535,13238.5491654131,-6599.23469287847,n/a,0.322724831881951,1.53098920205946,0.196255924170616,0.196255924170616,0.303744075829384,0.303744075829384,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G+I,21,13385.584570451,13233.1308324915,-6595.52153326702,0.328753065454386,0.758350210197773,1.51730039338263,0.196255924170616,0.196255924170616,0.303744075829384,0.303744075829384,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+G,23,13402.3979239919,13235.4335409436,-6594.66432889854,n/a,0.323077085479591,1.5834766730327,0.191184834123223,0.201327014218009,0.261421800947867,0.3460663507109,0.04,0.05,0.15,0.04,0.22,0.06,0.04,0.17,0.06,0.08,0.04,0.05
GTR+G,26,13403.7594785592,13215.0319909757,-6581.44928447386,n/a,0.330707524654464,1.53684790481883,0.191184834123223,0.201327014218009,0.261421800947867,0.3460663507109,0.03,0.07,0.15,0.02,0.22,0.03,0.05,0.17,0.08,0.08,0.02,0.06
TN93+G+I,24,13405.1969482717,13230.9778151898,-6591.43190046901,0.320138654720915,0.753182861079403,1.54300715654246,0.191184834123223,0.201327014218009,0.261421800947867,0.3460663507109,0.04,0.05,0.15,0.04,0.22,0.07,0.04,0.17,0.07,0.08,0.04,0.05
GTR+G+I,27,13405.6201415523,13209.6390497184,-6577.74767540093,0.316072706765414,0.750565101496103,1.51718246423903,0.191184834123223,0.201327014218009,0.261421800947867,0.3460663507109,0.03,0.07,0.15,0.03,0.22,0.03,0.05,0.17,0.08,0.08,0.02,0.06
HKY+G,22,13417.8847911852,13258.1755398806,-6607.03970306464,n/a,0.328607926135596,1.5343051841503,0.191184834123223,0.201327014218009,0.261421800947867,0.3460663507109,0.04,0.05,0.21,0.04,0.16,0.07,0.04,0.12,0.07,0.12,0.04,0.05
HKY+G+I,23,13419.9851132467,13253.0207301984,-6603.45792352595,0.332417879895709,0.791404097884574,1.52083858462475,0.191184834123223,0.201327014218009,0.261421800947867,0.3460663507109,0.04,0.05,0.21,0.04,0.16,0.07,0.04,0.12,0.07,0.12,0.04,0.05
T92+I,20,13482.5149356957,13337.3170925738,-6648.6186564588,0.492739925761207,n/a,1.25319962641191,0.196255924170616,0.196255924170616,0.303744075829384,0.303744075829384,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
TN93+I,23,13499.7900462576,13332.8256632093,-6643.36039003138,0.488404949787779,n/a,1.2575915555557,0.191184834123223,0.201327014218009,0.261421800947867,0.3460663507109,0.04,0.06,0.15,0.04,0.19,0.07,0.04,0.15,0.07,0.08,0.04,0.06
