Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,10686.9422019525,10510.6862796232,-5231.29076093777,0.439506368310448,0.364296437351985,4.56460312126232,0.226132404181185,0.20705574912892,0.257926829268293,0.308885017421603,0.02,0.02,0.08,0.02,0.38,0.03,0.02,0.31,0.03,0.06,0.02,0.02
TN93+G,23,10694.6240959306,10525.7081462386,-5239.80588876175,n/a,0.133936480486286,7.06123750977219,0.226132404181185,0.20705574912892,0.257926829268293,0.308885017421603,0.01,0.02,0.05,0.01,0.44,0.02,0.01,0.36,0.02,0.04,0.01,0.02
GTR+G+I,27,10703.1743490321,10504.9006132854,-5225.38429197276,0.471494526053083,0.439818883591576,4.01461643630018,0.226132404181185,0.20705574912892,0.257926829268293,0.308885017421603,0.02,0.02,0.09,0.02,0.36,0.06,0.01,0.29,0.02,0.07,0.04,0.01
GTR+G,26,10715.9696627173,10525.0348472688,-5236.4561296503,n/a,0.141954352917435,6.25139673856812,0.226132404181185,0.20705574912892,0.257926829268293,0.308885017421603,0.01,0.01,0.05,0.01,0.43,0.04,0.01,0.35,0.01,0.04,0.03,0.01
T92+G+I,21,10721.0795921685,10566.8446394471,-5262.38199855056,0.60720100079953,1.0703308092573,3.1391706407057,0.216594076655052,0.216594076655052,0.283405923344948,0.283405923344948,0.03,0.03,0.22,0.03,0.22,0.03,0.03,0.16,0.03,0.16,0.03,0.03
T92+G,20,10743.3080619782,10596.4141334066,-5278.17041429035,n/a,0.165684460603635,2.80163692669775,0.216594076655052,0.216594076655052,0.283405923344948,0.283405923344948,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.16,0.04,0.16,0.03,0.04
K2+G+I,20,10747.1718190437,10600.2778904721,-5280.10229282311,0.602965597527127,1.07450927273644,2.972175486665,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
HKY+G+I,23,10749.9354613815,10581.0195116895,-5267.46157148721,0.60317449477575,0.979050077937552,3.35616152331335,0.226132404181185,0.20705574912892,0.257926829268293,0.308885017421603,0.02,0.03,0.24,0.03,0.2,0.04,0.03,0.16,0.04,0.17,0.02,0.03
T92+I,20,10751.9697958054,10605.0758672339,-5282.50128120399,0.671373775088976,n/a,2.50803114927336,0.216594076655052,0.216594076655052,0.283405923344948,0.283405923344948,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+I,23,10764.9319516897,10596.0160019977,-5274.95981664131,0.664842420240761,n/a,2.42930284172767,0.226132404181185,0.20705574912892,0.257926829268293,0.308885017421603,0.03,0.04,0.16,0.03,0.24,0.04,0.03,0.2,0.04,0.12,0.03,0.04
