Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,2790.18367773871,2685.24778479798,-1323.42068384284,n/a,0.53070730863867,1.63801962423022,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,2791.03459742324,2686.09870448252,-1323.84614368511,0.400416027123359,n/a,1.48100797896738,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,2792.05356237526,2681.61635841644,-1320.58346010709,0.345924860677206,2.38617599916526,1.58218919945346,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,20,2796.10467154331,2685.66746758449,-1322.60901469112,n/a,0.52612198120828,1.65081750868679,0.231216931216931,0.231216931216931,0.268783068783069,0.268783068783069,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+I,20,2797.79285885509,2687.35565489626,-1323.45310834701,0.400223092978183,n/a,1.48425946559854,0.231216931216931,0.231216931216931,0.268783068783069,0.268783068783069,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92+G+I,21,2798.28627513196,2682.34994754377,-1319.92765043142,0.342690737987277,2.26460634768944,1.59344159565729,0.231216931216931,0.231216931216931,0.268783068783069,0.268783068783069,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G,22,2810.538212963,2689.10495264902,-1322.28145329291,n/a,0.525437806245657,1.71176529566472,0.266137566137566,0.196296296296296,0.233333333333333,0.304232804232804,0.04,0.04,0.19,0.05,0.15,0.06,0.05,0.12,0.06,0.17,0.04,0.04
HKY+I,22,2811.78299941738,2690.3497391034,-1322.9038465201,0.400495169007478,n/a,1.51259285601603,0.266137566137566,0.196296296296296,0.233333333333333,0.304232804232804,0.04,0.05,0.18,0.05,0.14,0.06,0.05,0.12,0.06,0.16,0.04,0.05
HKY+G+I,23,2812.52014571994,2685.59214710609,-1319.50025361735,0.345385908149882,2.33226387959134,1.64181583350874,0.266137566137566,0.196296296296296,0.233333333333333,0.304232804232804,0.04,0.05,0.19,0.05,0.14,0.06,0.05,0.12,0.06,0.16,0.04,0.05
TN93+I,23,2813.63294001763,2686.70494140377,-1320.0566507662,0.396618422763196,n/a,1.5019073115759,0.266137566137566,0.196296296296296,0.233333333333333,0.304232804232804,0.04,0.05,0.14,0.05,0.18,0.06,0.05,0.15,0.06,0.12,0.04,0.05
TN93+G,23,2814.25567957035,2687.3276809565,-1320.36802054256,n/a,0.541784944952138,1.67079871357823,0.266137566137566,0.196296296296296,0.233333333333333,0.304232804232804,0.04,0.04,0.15,0.05,0.19,0.06,0.05,0.16,0.06,0.13,0.04,0.04
TN93+G+I,24,2815.45205154784,2683.03151258994,-1317.19404047728,0.346999970737765,2.60066443390325,1.60360051959944,0.266137566137566,0.196296296296296,0.233333333333333,0.304232804232804,0.04,0.04,0.14,0.05,0.19,0.06,0.05,0.16,0.06,0.13,0.04,0.04
GTR+G+I,27,2832.30696113907,2683.42202429681,-1314.30499711081,0.316716282613218,1.84458566933953,1.64959616985475,0.266137566137566,0.196296296296296,0.233333333333333,0.304232804232804,0.05,0.06,0.15,0.06,0.19,0.03,0.07,0.16,0.05,0.13,0.02,0.04
GTR+G,26,2832.40851124251,2689.00949962152,-1318.12793821656,n/a,0.548571959184565,1.49978353155054,0.266137566137566,0.196296296296296,0.233333333333333,0.304232804232804,0.04,0.07,0.16,0.06,0.16,0.05,0.07,0.14,0.05,0.14,0.03,0.03
GTR+I,26,2832.93587584414,2689.53686422315,-1318.39162051737,0.39300608239212,n/a,1.51910407915371,0.266137566137566,0.196296296296296,0.233333333333333,0.304232804232804,0.05,0.06,0.14,0.06,0.18,0.04,0.06,0.15,0.06,0.12,0.02,0.04
JC+G,18,2838.10813479024,2738.67573674907,-1351.15507842264,n/a,0.556156123479778,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,2838.14191375038,2738.70951570921,-1351.17196790271,0.39764291423547,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,2840.1085563209,2735.17266338018,-1348.38312313394,0.345868035217984,2.65527800689465,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,2898.55538549303,2799.12298745185,-1381.37870377403,n/a,n/a,1.27717072338113,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92,19,2905.66089472854,2800.72500178782,-1381.15929233776,n/a,n/a,1.28043672404833,0.231216931216931,0.231216931216931,0.268783068783069,0.268783068783069,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
TN93,22,2919.04075392696,2797.60749361298,-1376.53272377489,n/a,n/a,1.28102802389702,0.266137566137566,0.196296296296296,0.233333333333333,0.304232804232804,0.04,0.05,0.13,0.06,0.17,0.07,0.06,0.14,0.07,0.12,0.04,0.05
