Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,11218.3771337467,11073.2945469388,-5515.58499253116,0.320592896363592,1.97026715228976,1.65580582601166,0.231317204301075,0.231317204301075,0.268682795698925,0.268682795698925,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,11230.1016465352,11064.3124535874,-5508.07530973367,0.320573603228067,2.02936009630784,1.69725982365166,0.217204301075269,0.245430107526882,0.264112903225806,0.273252688172043,0.05,0.05,0.13,0.04,0.21,0.05,0.04,0.19,0.05,0.1,0.05,0.05
GTR+G+I,27,11231.4067706122,11044.9158586849,-5495.35593258044,0.303309917798788,1.72608587199686,1.70570884364981,0.217204301075269,0.245430107526882,0.264112903225806,0.273252688172043,0.02,0.08,0.13,0.02,0.21,0.04,0.07,0.19,0.05,0.1,0.03,0.05
K2+G+I,20,11231.4857019028,11093.3064021526,-5526.59658967313,0.320985724197525,2.10892853644467,1.59289932717291,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,20,11235.2774052129,11097.0981054627,-5528.49244132819,n/a,0.491586632419689,1.77704646138222,0.231317204301075,0.231317204301075,0.268682795698925,0.268682795698925,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+G+I,23,11239.1857903738,11080.2982567477,-5517.07469471688,0.31703231241312,1.90926174339777,1.64592986844221,0.217204301075269,0.245430107526882,0.264112903225806,0.273252688172043,0.05,0.05,0.17,0.04,0.16,0.05,0.04,0.15,0.05,0.14,0.05,0.05
GTR+G,26,11243.6904498709,11064.0995675526,-5505.95508527368,n/a,0.50168228804995,1.78244376657428,0.217204301075269,0.245430107526882,0.264112903225806,0.273252688172043,0.02,0.09,0.13,0.02,0.21,0.03,0.07,0.2,0.05,0.1,0.03,0.05
K2+G,19,11249.1920317186,11117.9165611659,-5539.90706764496,n/a,0.511365036625162,1.69993398594032,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
TN93+G,23,11249.2750482489,11090.3875146228,-5522.11932365444,n/a,0.497457838048508,1.81186557679168,0.217204301075269,0.245430107526882,0.264112903225806,0.273252688172043,0.04,0.05,0.13,0.04,0.21,0.05,0.04,0.2,0.05,0.1,0.04,0.05
T92+I,20,11250.4214924292,11112.242192679,-5536.06448493634,0.374126860836535,n/a,1.48033561698565,0.231317204301075,0.231317204301075,0.268682795698925,0.268682795698925,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY+G,22,11254.839538173,11102.8542066667,-5529.3588816804,n/a,0.493758346684845,1.76280945885418,0.217204301075269,0.245430107526882,0.264112903225806,0.273252688172043,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.14,0.04,0.05
K2+I,19,11260.2215275263,11128.9460569736,-5545.42181554878,0.3729182239825,n/a,1.44544305445051,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+I,23,11261.1775608104,11102.2900271843,-5528.07057993521,0.371921442547125,n/a,1.5023559477891,0.217204301075269,0.245430107526882,0.264112903225806,0.273252688172043,0.05,0.05,0.13,0.04,0.19,0.05,0.04,0.18,0.05,0.1,0.05,0.05
GTR+I,26,11269.1382512953,11089.5473689771,-5518.6789859859,0.369847671870724,n/a,1.51597887943006,0.217204301075269,0.245430107526882,0.264112903225806,0.273252688172043,0.03,0.08,0.13,0.02,0.19,0.05,0.06,0.18,0.06,0.1,0.04,0.05
HKY+I,22,11272.8713176866,11120.8859861803,-5538.37477143721,0.373425113700043,n/a,1.46906253391566,0.217204301075269,0.245430107526882,0.264112903225806,0.273252688172043,0.05,0.05,0.16,0.04,0.16,0.06,0.04,0.15,0.06,0.13,0.05,0.05
JC+G+I,19,11444.0798699903,11312.8043994376,-5637.35098678081,0.325559507641159,2.63035405540852,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,11463.9350196345,11339.5639202001,-5651.73587466681,0.370619906363808,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,11465.8262086513,11341.4551092169,-5652.6814691752,n/a,0.562793093655391,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,11765.2945697597,11640.9234703253,-5802.4156497294,n/a,n/a,1.24530186678579,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
T92,19,11772.0239324375,11640.7484618848,-5801.3230180044,n/a,n/a,1.24925745878285,0.231317204301075,0.231317204301075,0.268682795698925,0.268682795698925,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
GTR,25,11779.1407056154,11606.4503963636,-5778.13752620987,n/a,n/a,1.07423714990312,0.217204301075269,0.245430107526882,0.264112903225806,0.273252688172043,0.05,0.09,0.12,0.05,0.15,0.04,0.07,0.14,0.07,0.1,0.04,0.07
TN93,22,11779.8120975564,11627.8267660501,-5791.84516137211,n/a,n/a,1.255603524634,0.217204301075269,0.245430107526882,0.264112903225806,0.273252688172043,0.05,0.06,0.12,0.05,0.17,0.06,0.05,0.16,0.06,0.1,0.05,0.06
HKY,21,11787.6932090102,11642.6106222024,-5800.24303016293,n/a,n/a,1.25016070118109,0.217204301075269,0.245430107526882,0.264112903225806,0.273252688172043,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.14,0.06,0.12,0.05,0.06
JC,17,11947.1629231579,11829.6967365434,-5897.8071394924,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
