Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,10183.6162817923,10042.9755286482,-5000.41086685406,0.260178208926227,2.17537512372242,1.22050855458877,0.221641791044776,0.221641791044776,0.278358208955224,0.278358208955224,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
T92+G,20,10197.9388866883,10063.9886312084,-5011.92442044692,n/a,0.586064212961209,1.29896784245113,0.221641791044776,0.221641791044776,0.278358208955224,0.278358208955224,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
HKY+G+I,23,10204.8614322033,10050.8416957236,-5002.32893976987,0.259327234674167,2.14462365240789,1.22340168847813,0.228358208955224,0.214925373134328,0.266666666666667,0.290049751243781,0.05,0.06,0.16,0.05,0.15,0.06,0.05,0.12,0.06,0.13,0.05,0.06
K2+G+I,20,10208.1990794028,10074.2488239229,-5017.05451680418,0.260648185717535,2.36875732280675,1.16196403655164,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
TN93+G+I,24,10208.3483932821,10047.6401718009,-4999.7201691644,0.254312770541633,2.02396105543753,1.23058301955628,0.228358208955224,0.214925373134328,0.266666666666667,0.290049751243781,0.05,0.06,0.14,0.05,0.17,0.06,0.05,0.14,0.06,0.11,0.05,0.06
T92+I,20,10213.3749431214,10079.4246876415,-5019.64244866349,0.30492074015236,n/a,1.10069400655989,0.221641791044776,0.221641791044776,0.278358208955224,0.278358208955224,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.12,0.07,0.12,0.05,0.07
HKY+G,22,10218.7120326967,10071.3814524411,-5013.60649116144,n/a,0.584128565737354,1.30176504401843,0.228358208955224,0.214925373134328,0.266666666666667,0.290049751243781,0.05,0.06,0.16,0.05,0.15,0.06,0.05,0.12,0.06,0.13,0.05,0.06
TN93+G,23,10220.224374687,10066.2046382073,-5010.01041101173,n/a,0.582999790140626,1.31346980697391,0.228358208955224,0.214925373134328,0.266666666666667,0.290049751243781,0.05,0.06,0.13,0.05,0.18,0.06,0.05,0.15,0.06,0.11,0.05,0.06
K2+G,19,10224.0270394611,10096.7679518632,-5029.32074797817,n/a,0.617687755541469,1.23151396509666,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
GTR+G+I,27,10226.1208352703,10045.3511894759,-4995.54963672393,0.244226567984562,1.81499285592522,1.23900574791499,0.228358208955224,0.214925373134328,0.266666666666667,0.290049751243781,0.04,0.08,0.14,0.04,0.17,0.05,0.07,0.14,0.06,0.11,0.04,0.06
