Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,22220.9873578841,22066.4425306095,-11012.1815336226,0.13554662878156,1.43785130951766,1.26390955316189,0.214420600858369,0.214420600858369,0.285579399141631,0.285579399141631,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
T92+G,20,22226.9327690882,22079.7437731184,-11019.8357699542,n/a,0.723796086611904,1.31258358784005,0.214420600858369,0.214420600858369,0.285579399141631,0.285579399141631,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
HKY+G+I,23,22263.6236014493,22094.3681474659,-11024.1365939462,0.132025503399199,1.41720073710333,1.26214348542016,0.199141630901288,0.229699570815451,0.276652360515021,0.29450643776824,0.05,0.06,0.17,0.04,0.16,0.06,0.04,0.13,0.06,0.11,0.05,0.06
GTR+G,26,22263.7106035689,22072.3918006105,-11010.1355028175,n/a,0.760668908922083,1.29298638339158,0.199141630901288,0.229699570815451,0.276652360515021,0.29450643776824,0.04,0.1,0.19,0.03,0.13,0.05,0.07,0.11,0.06,0.13,0.04,0.06
GTR+G+I,27,22265.3619022447,22066.6893409417,-11006.2796214259,0.108128516757345,1.25321288210764,1.26096472330801,0.199141630901288,0.229699570815451,0.276652360515021,0.29450643776824,0.04,0.09,0.19,0.03,0.14,0.05,0.07,0.11,0.06,0.13,0.04,0.06
TN93+G+I,24,22267.4870619811,22090.8768127717,-11021.3867934826,0.126390229204447,1.38707307360548,1.25427232150299,0.199141630901288,0.229699570815451,0.276652360515021,0.29450643776824,0.05,0.06,0.19,0.04,0.14,0.06,0.04,0.11,0.06,0.13,0.05,0.06
HKY+G,22,22268.4049915657,22106.5046782569,-11031.2088197339,n/a,0.731551990801718,1.30938523954127,0.199141630901288,0.229699570815451,0.276652360515021,0.29450643776824,0.05,0.06,0.17,0.04,0.16,0.06,0.04,0.13,0.06,0.11,0.05,0.06
TN93+G,23,22270.2988926299,22101.0434386464,-11027.4742395365,n/a,0.74542652577727,1.29974639010751,0.199141630901288,0.229699570815451,0.276652360515021,0.29450643776824,0.05,0.06,0.19,0.04,0.14,0.06,0.04,0.11,0.06,0.13,0.05,0.06
K2+G+I,20,22330.5493538975,22183.3603579277,-11071.6440623588,0.136693785514671,1.58460359649194,1.17473543592121,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+G,19,22338.4439842447,22198.6111647611,-11080.2729082619,n/a,0.77569352807402,1.21816012257856,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
T92+I,20,22356.5686909395,22209.3796949697,-11084.6537308798,0.201236078652558,n/a,1.06351178374921,0.214420600858369,0.214420600858369,0.285579399141631,0.285579399141631,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
