Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,8199.70962119283,8061.01572509599,-4009.4235251986,0.337805168077357,1.78655539097181,1.54178618043634,0.217818181818182,0.217818181818182,0.282181818181818,0.282181818181818,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.13,0.05,0.13,0.04,0.05
T92+G,20,8208.0879615008,8075.99120672468,-4017.91894703819,n/a,0.445317534125881,1.66880921349302,0.217818181818182,0.217818181818182,0.282181818181818,0.282181818181818,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,8216.13931966209,8064.25334913643,-4009.02587106201,0.336533032265657,1.7603458725651,1.53704977398425,0.208,0.227636363636364,0.287818181818182,0.276545454545455,0.04,0.06,0.17,0.04,0.18,0.05,0.04,0.14,0.05,0.13,0.04,0.06
T92+I,20,8222.62446829783,8090.52771352171,-4025.18720043671,0.396206664327991,n/a,1.34630274487129,0.217818181818182,0.217818181818182,0.282181818181818,0.282181818181818,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
TN93+G+I,24,8224.11362145317,8065.63271862607,-4008.70677027194,0.334706430394839,1.72847937351717,1.54109998727614,0.208,0.227636363636364,0.287818181818182,0.276545454545455,0.04,0.06,0.16,0.04,0.19,0.05,0.04,0.15,0.05,0.12,0.04,0.06
HKY+G,22,8224.12570142783,8078.83539994676,-4017.32531363049,n/a,0.444557255480754,1.66455462975068,0.208,0.227636363636364,0.287818181818182,0.276545454545455,0.04,0.05,0.17,0.04,0.18,0.05,0.04,0.14,0.05,0.13,0.04,0.05
TN93+G,23,8231.49682913401,8079.61085860836,-4016.70462579797,n/a,0.443305903435048,1.67512189148627,0.208,0.227636363636364,0.287818181818182,0.276545454545455,0.04,0.05,0.16,0.04,0.2,0.05,0.04,0.16,0.05,0.12,0.04,0.05
GTR+G+I,27,8232.7613064153,8054.50003118182,-4000.11185769617,0.32046251010531,1.54162019519688,1.53537103268838,0.208,0.227636363636364,0.287818181818182,0.276545454545455,0.03,0.07,0.16,0.03,0.19,0.03,0.05,0.15,0.07,0.12,0.02,0.08
K2+G+I,20,8235.95640606706,8103.85965129094,-4031.85316932133,0.346040044292363,2.20199919613868,1.43655056072903,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,8239.4890265764,8094.19872509533,-4025.00697620478,0.396099546583169,n/a,1.33948715380719,0.208,0.227636363636364,0.287818181818182,0.276545454545455,0.05,0.06,0.16,0.04,0.17,0.06,0.04,0.13,0.06,0.12,0.05,0.06
K2+G,19,8247.79781078415,8122.29893286234,-4042.08012336548,n/a,0.479332350293225,1.54047289267506,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+I,23,8247.84713190779,8095.96116138213,-4024.87977718486,0.395938352978092,n/a,1.33842068521065,0.208,0.227636363636364,0.287818181818182,0.276545454545455,0.05,0.06,0.15,0.04,0.17,0.06,0.04,0.14,0.06,0.12,0.05,0.06
K2+I,19,8250.9465501117,8125.44767218989,-4043.65449302925,0.395104335188145,n/a,1.30256539238106,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+G,26,8252.18508818835,8080.51653260313,-4014.13000026831,n/a,0.477672506608453,1.38263099988105,0.208,0.227636363636364,0.287818181818182,0.276545454545455,0.03,0.08,0.17,0.02,0.16,0.05,0.06,0.13,0.07,0.13,0.04,0.07
GTR+I,26,8257.90959561247,8086.24104002725,-4016.99225398037,0.39472104739685,n/a,1.34651971694849,0.208,0.227636363636364,0.287818181818182,0.276545454545455,0.03,0.07,0.16,0.03,0.17,0.04,0.05,0.14,0.08,0.12,0.03,0.08
JC+G+I,19,8358.60096298709,8233.10208506528,-4097.48169946695,0.354779328507347,3.048689481587,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,8365.70112225682,8246.80085632033,-4105.33803078742,0.392834645440348,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,8375.35044205172,8256.45017611524,-4110.16269068488,n/a,0.536007384101748,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,8625.10364385933,8499.60476593752,-4230.73303990307,n/a,n/a,1.13517483711951,0.217818181818182,0.217818181818182,0.282181818181818,0.282181818181818,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.12,0.07,0.12,0.05,0.07
K2,18,8637.27957370047,8518.37930776398,-4241.12725650925,n/a,n/a,1.12891126978273,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
GTR,25,8639.32539819976,8474.25030021811,-4212.00640695962,n/a,n/a,1.13362127165646,0.208,0.227636363636364,0.287818181818182,0.276545454545455,0.03,0.08,0.14,0.03,0.17,0.04,0.06,0.13,0.09,0.1,0.03,0.09
HKY,21,8641.19215719935,8502.49826110251,-4230.16479320186,n/a,n/a,1.13550072871904,0.208,0.227636363636364,0.287818181818182,0.276545454545455,0.05,0.07,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.11,0.05,0.07
TN93,22,8648.10142880424,8502.81112732316,-4229.31317731869,n/a,n/a,1.13545498318406,0.208,0.227636363636364,0.287818181818182,0.276545454545455,0.05,0.07,0.14,0.05,0.16,0.06,0.05,0.13,0.06,0.1,0.05,0.07
JC,17,8737.41158789461,8625.11066867215,-4295.49951529193,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
