Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
HKY+G+I,23,12350.0836772888,12187.9783726417,-6070.92444318222,0.332981033508333,2.46653519712997,1.68219914704223,0.164561403508772,0.255438596491228,0.261169590643275,0.318830409356725,0.05,0.05,0.2,0.03,0.17,0.06,0.03,0.16,0.06,0.1,0.05,0.05
TN93+G+I,24,12355.8870067801,12186.7392917571,-6069.29926464688,0.333079304189766,2.42795248272248,1.70918013276381,0.164561403508772,0.255438596491228,0.261169590643275,0.318830409356725,0.05,0.05,0.18,0.03,0.18,0.06,0.03,0.18,0.06,0.09,0.05,0.05
T92+G+I,21,12362.6230585826,12214.6039897502,-6086.24782039104,0.338418773551053,2.60061083751404,1.65772342209783,0.21,0.21,0.29,0.29,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+G+I,27,12367.7163896415,12177.4442756095,-6061.63342623469,0.326303458855758,2.30507497644628,1.71100872680657,0.164561403508772,0.255438596491228,0.261169590643275,0.318830409356725,0.03,0.08,0.18,0.02,0.18,0.05,0.05,0.18,0.06,0.09,0.04,0.05
HKY+G,22,12371.114738563,12216.0523160347,-6085.96681710026,n/a,0.525945505916386,1.81368276042798,0.164561403508772,0.255438596491228,0.261169590643275,0.318830409356725,0.04,0.05,0.21,0.03,0.17,0.05,0.03,0.17,0.05,0.11,0.04,0.05
HKY+I,22,12372.0506030804,12216.9881805521,-6086.43474935898,0.380174762093483,n/a,1.52440507836581,0.164561403508772,0.255438596491228,0.261169590643275,0.318830409356725,0.05,0.05,0.2,0.03,0.16,0.06,0.03,0.16,0.06,0.1,0.05,0.05
TN93+G,23,12377.4445265728,12215.3392219257,-6084.60486782422,n/a,0.521543483799974,1.84199377454255,0.164561403508772,0.255438596491228,0.261169590643275,0.318830409356725,0.04,0.04,0.19,0.03,0.19,0.05,0.03,0.18,0.05,0.1,0.04,0.04
TN93+I,23,12378.628018923,12216.5227142759,-6085.19661399931,0.380258446772644,n/a,1.5372561069462,0.164561403508772,0.255438596491228,0.261169590643275,0.318830409356725,0.05,0.05,0.18,0.03,0.17,0.06,0.03,0.17,0.06,0.09,0.05,0.05
T92+I,20,12382.2759283984,12241.300684673,-6100.60109857989,0.382703231080288,n/a,1.51813731571665,0.21,0.21,0.29,0.29,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
T92+G,20,12385.267942339,12244.2926986136,-6102.0971055502,n/a,0.524384390637655,1.78397131248519,0.21,0.21,0.29,0.29,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G,26,12386.9913503024,12203.7602304209,-6075.79774984612,n/a,0.523710295792735,1.83881072460115,0.164561403508772,0.255438596491228,0.261169590643275,0.318830409356725,0.03,0.08,0.19,0.02,0.18,0.04,0.05,0.18,0.05,0.1,0.03,0.04
GTR+I,26,12392.0970512593,12208.8659313777,-6078.35060032454,0.377792839028212,n/a,1.54253017788749,0.164561403508772,0.255438596491228,0.261169590643275,0.318830409356725,0.03,0.07,0.18,0.02,0.17,0.05,0.05,0.17,0.06,0.09,0.04,0.05
K2+G+I,20,12430.1048454195,12289.1296016941,-6124.51555709046,0.339308805981872,3.1188844871855,1.52481439090999,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,12442.8085192354,12308.8775718624,-6135.39423727936,0.379977001560223,n/a,1.43445120314759,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,12455.4281182695,12321.4971708964,-6141.70403679639,n/a,0.578607057327243,1.61409544468331,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,12670.7569498751,12536.8260025021,-6249.36845259921,0.347023497119117,4.62150969506338,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,12674.0578084481,12547.1716285071,-6255.54572516668,0.376781030346967,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,12704.7935172254,12577.9073372844,-6270.91357955534,n/a,0.651119738362382,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY,21,12886.9921663632,12738.9730975308,-6348.43237428132,n/a,n/a,1.29268228822471,0.164561403508772,0.255438596491228,0.261169590643275,0.318830409356725,0.05,0.06,0.18,0.03,0.15,0.07,0.03,0.15,0.07,0.09,0.05,0.06
