Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,9011.18143623662,8872.44232387402,-4416.16610885011,n/a,0.347016442812367,2.17648658935645,0.222875816993464,0.222875816993464,0.277124183006536,0.277124183006536,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
T92+G+I,21,9011.25739854608,8865.58685175196,-4411.73285954142,0.341028542804577,0.850602830685556,2.16789921486047,0.222875816993464,0.222875816993464,0.277124183006536,0.277124183006536,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
TN93+G,23,9021.43225770013,8861.90042428254,-4407.87782819163,n/a,0.342659321216412,2.27575317301788,0.238823529411765,0.206928104575163,0.268104575163399,0.286143790849673,0.03,0.04,0.13,0.04,0.26,0.04,0.04,0.2,0.04,0.11,0.03,0.04
TN93+G+I,24,9021.70785511408,8855.24616991956,-4403.54439643519,0.333731797413962,0.825099355320181,2.24567666008773,0.238823529411765,0.206928104575163,0.268104575163399,0.286143790849673,0.03,0.04,0.14,0.04,0.25,0.04,0.04,0.2,0.04,0.11,0.03,0.04
K2+G,19,9029.4834824647,8897.67633167031,-4429.78836242755,n/a,0.35911288512926,2.08476984403676,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,9029.91939558965,8891.18028322705,-4425.53508852662,0.345798935286925,0.916081351053903,2.07543236242582,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,9033.15977742653,8873.62794400895,-4413.74158805483,0.34350824849795,0.85846559107655,2.1864316971206,0.238823529411765,0.206928104575163,0.268104575163399,0.286143790849673,0.03,0.04,0.2,0.04,0.18,0.04,0.04,0.14,0.04,0.16,0.03,0.04
HKY+G,22,9033.35679184512,8880.75533796353,-4418.31132572754,n/a,0.346375892944727,2.19644888008991,0.238823529411765,0.206928104575163,0.268104575163399,0.286143790849673,0.03,0.04,0.2,0.04,0.18,0.04,0.04,0.14,0.04,0.16,0.03,0.04
GTR+G,26,9038.4777824784,8858.15797783797,-4402.98689919053,n/a,0.339958215091771,2.25967436313197,0.238823529411765,0.206928104575163,0.268104575163399,0.286143790849673,0.02,0.06,0.13,0.02,0.26,0.03,0.05,0.2,0.04,0.11,0.02,0.04
GTR+G+I,27,9039.82664978356,8852.57857788982,-4399.1901023797,0.316785972722653,0.75422378920805,2.24642888759403,0.238823529411765,0.206928104575163,0.268104575163399,0.286143790849673,0.02,0.06,0.14,0.02,0.25,0.03,0.05,0.2,0.04,0.11,0.02,0.04
T92+I,20,9055.24677245482,8916.50766009221,-4438.1987769592,0.493767135329286,n/a,1.83562144034018,0.222875816993464,0.222875816993464,0.277124183006536,0.277124183006536,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+I,23,9067.73506929875,8908.20323588117,-4431.02923399094,0.49105577064902,n/a,1.85864929622598,0.238823529411765,0.206928104575163,0.268104575163399,0.286143790849673,0.04,0.05,0.14,0.04,0.22,0.05,0.04,0.17,0.05,0.12,0.04,0.05
K2+I,19,9069.20236372515,8937.39521293076,-4449.64780305778,0.492442277016143,n/a,1.78720005589567,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+I,22,9076.59536397572,8923.99391009412,-4439.93061179283,0.493986660337775,n/a,1.84838193760229,0.238823529411765,0.206928104575163,0.268104575163399,0.286143790849673,0.04,0.05,0.19,0.04,0.17,0.05,0.04,0.13,0.05,0.16,0.04,0.05
GTR+I,26,9090.28493236327,8909.96512772284,-4428.89047413297,0.490812909694058,n/a,1.86124521288896,0.238823529411765,0.206928104575163,0.268104575163399,0.286143790849673,0.03,0.06,0.14,0.03,0.22,0.04,0.05,0.17,0.05,0.12,0.03,0.05
JC+G,18,9271.89283033132,9147.0181680346,-4555.46426682427,n/a,0.412334505629879,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,9272.37764570972,9140.57049491533,-4551.23544405006,0.373466411273387,1.35761848501737,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,9295.56161945757,9170.68695716086,-4567.2986613874,0.486467758548616,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,9502.572101569,9370.76495077461,-4666.3326719797,n/a,n/a,1.49519859451469,0.222875816993464,0.222875816993464,0.277124183006536,0.277124183006536,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
K2,18,9502.72097707446,9377.84631477774,-4670.87834019584,n/a,n/a,1.48721924285396,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93,22,9512.6401138425,9360.03865996091,-4657.95298672622,n/a,n/a,1.50164195280032,0.238823529411765,0.206928104575163,0.268104575163399,0.286143790849673,0.04,0.05,0.14,0.05,0.2,0.06,0.05,0.15,0.06,0.11,0.04,0.05
HKY,21,9525.28967716888,9379.61913037477,-4668.74899885283,n/a,n/a,1.49402759557494,0.238823529411765,0.206928104575163,0.268104575163399,0.286143790849673,0.04,0.05,0.17,0.05,0.16,0.06,0.05,0.12,0.06,0.14,0.04,0.05
GTR,25,9529.09663829318,9355.70562928846,-4652.76755756133,n/a,n/a,1.501046868973,0.238823529411765,0.206928104575163,0.268104575163399,0.286143790849673,0.03,0.07,0.14,0.03,0.2,0.05,0.06,0.16,0.06,0.11,0.03,0.06
JC,17,9698.21021774059,9580.26857066389,-4773.09419099232,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
