Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,25932.1507089326,25736.9679927043,-12844.4601631843,0.488246893168974,1.07626657435474,2.45020522753607,0.218968253968254,0.211626984126984,0.275595238095238,0.293809523809524,0.03,0.04,0.11,0.03,0.3,0.04,0.03,0.23,0.04,0.08,0.03,0.04
GTR+G+I,27,25943.9339548166,25724.359841173,-12835.1498872161,0.488413369411759,1.09319310227501,2.45562767544366,0.218968253968254,0.211626984126984,0.275595238095238,0.293809523809524,0.02,0.04,0.11,0.02,0.3,0.05,0.03,0.23,0.05,0.08,0.03,0.05
TN93+G,23,25970.8540241165,25783.802092113,-12868.879120413,n/a,0.250486005630722,2.47958432218613,0.218968253968254,0.211626984126984,0.275595238095238,0.293809523809524,0.03,0.04,0.11,0.03,0.3,0.04,0.03,0.23,0.04,0.08,0.03,0.04
GTR+G,26,25980.0401813847,25768.5963743173,-12858.2703001368,n/a,0.251821873219776,2.47834026139876,0.218968253968254,0.211626984126984,0.275595238095238,0.293809523809524,0.01,0.04,0.11,0.01,0.3,0.05,0.03,0.23,0.05,0.08,0.03,0.05
T92+G+I,21,26014.1098239516,25843.3199379134,-12900.6416196041,0.521523333110085,1.43491719064593,2.19240585723923,0.215297619047619,0.215297619047619,0.284702380952381,0.284702380952381,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
TN93+I,23,26031.5857206894,25844.5337886859,-12899.2449686995,0.584414127586784,n/a,1.96506552292127,0.218968253968254,0.211626984126984,0.275595238095238,0.293809523809524,0.04,0.05,0.13,0.04,0.25,0.05,0.04,0.19,0.05,0.09,0.04,0.05
T92+G,20,26039.2125991293,25876.5539747936,-12918.2603068297,n/a,0.248204788246803,2.1925335075609,0.215297619047619,0.215297619047619,0.284702380952381,0.284702380952381,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
GTR+I,26,26039.318695243,25827.8748881756,-12887.909557066,0.584471163014924,n/a,1.97672836998553,0.218968253968254,0.211626984126984,0.275595238095238,0.293809523809524,0.02,0.04,0.13,0.02,0.25,0.06,0.03,0.2,0.05,0.1,0.04,0.05
HKY+G+I,23,26051.6418421464,25864.5899101428,-12909.2730294279,0.520389610196964,1.41190574709759,2.21431132757337,0.218968253968254,0.211626984126984,0.275595238095238,0.293809523809524,0.03,0.04,0.2,0.03,0.19,0.05,0.03,0.15,0.05,0.15,0.03,0.04
HKY+G,22,26076.2625316139,25897.3415430134,-12926.6506737985,n/a,0.247743540408131,2.21454843651262,0.218968253968254,0.211626984126984,0.275595238095238,0.293809523809524,0.03,0.04,0.2,0.03,0.19,0.05,0.03,0.15,0.05,0.15,0.03,0.04
