Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,4694.53233067497,4578.48564677896,-2270.12905093439,n/a,0.495674112401817,1.57518969977913,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,20,4697.58289709659,4575.44054436449,-2267.59448601872,n/a,0.490035656367791,1.59645681809197,0.234970238095238,0.234970238095238,0.265029761904762,0.265029761904762,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G+I,20,4702.65213403018,4580.50978129808,-2270.12910448552,0.00001,0.495397039929141,1.57590687937604,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G+I,21,4705.70258256963,4577.46577372008,-2267.59448062876,0,0.489825133204668,1.59699816820409,0.234970238095238,0.234970238095238,0.265029761904762,0.265029761904762,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93+G,23,4713.01048373075,4572.58840516453,-2263.12873495637,n/a,0.522093065346498,1.64884587646336,0.254166666666667,0.21577380952381,0.252083333333333,0.27797619047619,0.04,0.05,0.11,0.05,0.23,0.05,0.05,0.2,0.05,0.1,0.04,0.05
TN93+G+I,24,4721.13016317663,4574.61727319561,-2263.12872655283,0.00001,0.521701634714822,1.65000377347549,0.254166666666667,0.21577380952381,0.252083333333333,0.27797619047619,0.04,0.05,0.11,0.05,0.23,0.05,0.05,0.2,0.05,0.1,0.04,0.05
HKY+G,22,4722.89206625823,4588.56201510012,-2272.12937434658,n/a,0.499654256163228,1.62597095682289,0.254166666666667,0.21577380952381,0.252083333333333,0.27797619047619,0.04,0.05,0.17,0.05,0.16,0.05,0.05,0.13,0.05,0.16,0.04,0.05
GTR+G,26,4729.63855497753,4570.94769452485,-2259.26322620032,n/a,0.513357132518815,1.66579943071686,0.254166666666667,0.21577380952381,0.252083333333333,0.27797619047619,0.03,0.04,0.11,0.04,0.23,0.04,0.04,0.2,0.08,0.1,0.03,0.07
HKY+G+I,23,4731.01178649315,4590.58970792693,-2272.12938633757,0.00001,0.499423129939211,1.62663838506648,0.254166666666667,0.21577380952381,0.252083333333333,0.27797619047619,0.04,0.05,0.17,0.05,0.16,0.05,0.05,0.13,0.05,0.16,0.04,0.05
GTR+G+I,27,4737.75825009012,4572.98023277288,-2259.26322563014,0,0.513022362947843,1.66679529084163,0.254166666666667,0.21577380952381,0.252083333333333,0.27797619047619,0.03,0.04,0.11,0.04,0.23,0.04,0.04,0.2,0.08,0.1,0.03,0.07
K2+I,19,4751.9659505431,4635.9192666471,-2298.84586086846,0.358147555725024,n/a,1.35653484909407,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92+I,20,4754.83429205069,4632.69193931859,-2296.22018349577,0.358981114569225,n/a,1.36663663667842,0.234970238095238,0.234970238095238,0.265029761904762,0.265029761904762,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.14,0.06,0.14,0.05,0.06
TN93+I,23,4766.49409974626,4626.07202118004,-2289.87054296412,0.346984893757378,n/a,1.37855286782486,0.254166666666667,0.21577380952381,0.252083333333333,0.27797619047619,0.04,0.05,0.11,0.05,0.2,0.06,0.05,0.17,0.06,0.1,0.04,0.05
JC+G,18,4771.60251787825,4661.65271444804,-2312.72399266251,n/a,0.547663487610887,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY+I,22,4777.30261735336,4642.97256619526,-2299.33464989415,0.358883422350281,n/a,1.39142230323791,0.254166666666667,0.21577380952381,0.252083333333333,0.27797619047619,0.05,0.05,0.16,0.05,0.15,0.06,0.05,0.13,0.06,0.15,0.05,0.05
JC+G+I,19,4779.72206719349,4663.67538329748,-2312.72391919365,0.00001,0.547604937692187,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+I,26,4785.15064370001,4626.45978324733,-2287.01927056156,0.346892901739502,n/a,1.38065516720424,0.254166666666667,0.21577380952381,0.252083333333333,0.27797619047619,0.04,0.04,0.11,0.05,0.2,0.06,0.04,0.17,0.07,0.1,0.05,0.07
JC+I,18,4821.90462882899,4711.95482539878,-2337.87504813788,0.353197330016618,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,4879.57024619482,4769.62044276461,-2366.7078568208,n/a,n/a,1.20360295933766,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
TN93,22,4883.18958299203,4748.85953183392,-2352.27813271348,n/a,n/a,1.22262350258668,0.254166666666667,0.21577380952381,0.252083333333333,0.27797619047619,0.05,0.06,0.1,0.06,0.2,0.06,0.06,0.17,0.06,0.09,0.05,0.06
T92,19,4884.57365602151,4768.5269721255,-2365.14971360766,n/a,n/a,1.20343616258702,0.234970238095238,0.234970238095238,0.265029761904762,0.265029761904762,0.05,0.06,0.14,0.05,0.14,0.06,0.05,0.13,0.06,0.13,0.05,0.06
GTR,25,4901.24557264529,4748.64308833695,-2349.12658316068,n/a,n/a,1.22372815779205,0.254166666666667,0.21577380952381,0.252083333333333,0.27797619047619,0.04,0.05,0.1,0.05,0.2,0.06,0.05,0.17,0.08,0.09,0.05,0.07
HKY,21,4906.97638270748,4778.73957385793,-2368.23138069769,n/a,n/a,1.20344948251571,0.254166666666667,0.21577380952381,0.252083333333333,0.27797619047619,0.05,0.06,0.15,0.06,0.14,0.06,0.06,0.12,0.06,0.14,0.05,0.06
JC,17,4941.34405351575,4837.4923410934,-2401.65460860774,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
