Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,10870.181428781,10722.9163901803,-5340.40204535754,0.402677694933945,2.43430000328283,1.69259849604751,0.226545454545455,0.226545454545455,0.273454545454545,0.273454545454545,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,10873.0190251368,10704.7336782894,-5328.29389081643,0.382213672725781,2.04449709773656,1.74434950275829,0.256242424242424,0.196848484848485,0.25769696969697,0.289212121212121,0.04,0.05,0.12,0.05,0.23,0.05,0.05,0.18,0.05,0.11,0.04,0.05
GTR+G+I,27,10878.7663697746,10689.4651176948,-5317.64061041637,0.370628575964722,1.89937688112868,1.74868280690167,0.256242424242424,0.196848484848485,0.25769696969697,0.289212121212121,0.02,0.05,0.13,0.03,0.23,0.03,0.05,0.18,0.08,0.11,0.02,0.07
TN93+G,23,10886.528149066,10725.2490826483,-5339.55743702072,n/a,0.445892273964672,1.86445163751335,0.256242424242424,0.196848484848485,0.25769696969697,0.289212121212121,0.03,0.04,0.11,0.04,0.25,0.05,0.04,0.19,0.05,0.1,0.03,0.04
T92+I,20,10886.7814789749,10746.5241874051,-5353.21105469414,0.452302517474687,n/a,1.569979368587,0.226545454545455,0.226545454545455,0.273454545454545,0.273454545454545,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G,26,10888.181130188,10705.8846903311,-5326.85697486273,n/a,0.459390229611802,1.81806375809482,0.256242424242424,0.196848484848485,0.25769696969697,0.289212121212121,0.02,0.05,0.12,0.02,0.25,0.03,0.05,0.19,0.08,0.1,0.02,0.07
T92+G,20,10890.1802142774,10749.9229227076,-5354.91042234541,n/a,0.445969047653659,1.77186702188842,0.226545454545455,0.226545454545455,0.273454545454545,0.273454545454545,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+I,23,10894.0445817633,10732.7655153456,-5343.31565336939,0.446906462815248,n/a,1.58261043130623,0.256242424242424,0.196848484848485,0.25769696969697,0.289212121212121,0.04,0.05,0.13,0.05,0.21,0.06,0.05,0.16,0.06,0.12,0.04,0.05
HKY+G+I,23,10898.0109990793,10736.7319326616,-5345.29886202738,0.406838617918935,2.53515310422104,1.74879101422063,0.256242424242424,0.196848484848485,0.25769696969697,0.289212121212121,0.04,0.05,0.18,0.05,0.16,0.05,0.05,0.12,0.05,0.16,0.04,0.05
K2+G+I,20,10900.8121855498,10760.55489398,-5360.2264079816,0.400216945146485,2.52682194251369,1.63433530902442,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
GTR+I,26,10901.9810366985,10719.6845968416,-5333.75692811798,0.445036872453419,n/a,1.61008225227684,0.256242424242424,0.196848484848485,0.25769696969697,0.289212121212121,0.03,0.05,0.14,0.03,0.21,0.04,0.05,0.16,0.08,0.12,0.03,0.07
HKY+I,22,10913.1681838858,10758.8958869431,-5357.38643867029,0.453159371792283,n/a,1.61978175917599,0.256242424242424,0.196848484848485,0.25769696969697,0.289212121212121,0.04,0.05,0.18,0.05,0.16,0.06,0.05,0.12,0.06,0.16,0.04,0.05
K2+I,19,10916.0402953023,10782.7912392741,-5372.34944709754,0.450422858171306,n/a,1.52794504666368,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+G,22,10919.4677397655,10765.1954428228,-5360.53621661016,n/a,0.441402120572416,1.83363632419149,0.256242424242424,0.196848484848485,0.25769696969697,0.289212121212121,0.03,0.05,0.19,0.05,0.17,0.05,0.05,0.13,0.05,0.17,0.03,0.05
K2+G,19,10919.7146566285,10786.4656006002,-5374.18662776062,n/a,0.460963874036027,1.70455564769482,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
