Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,10209.8573553656,10063.1630040352,-5010.5238097099,0.44159849966981,2.42548844019861,1.650683624216,0.209900373599004,0.209900373599004,0.290099626400996,0.290099626400996,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+G+I,24,10212.2794457844,10044.6467967263,-4998.24844520889,0.425418833500207,1.96740573729766,1.76203193915318,0.208717310087173,0.211083437110834,0.26425902864259,0.315940224159402,0.04,0.05,0.13,0.04,0.24,0.06,0.04,0.19,0.06,0.09,0.04,0.05
T92+I,20,10222.623938317,10082.910024186,-5021.40257108911,0.484067593968896,n/a,1.502149000539,0.209900373599004,0.209900373599004,0.290099626400996,0.290099626400996,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
GTR+G+I,27,10222.8210000889,10034.2545780633,-4990.03281265076,0.421382827685169,1.93555047467941,1.74785873261636,0.208717310087173,0.211083437110834,0.26425902864259,0.315940224159402,0.02,0.06,0.13,0.02,0.24,0.04,0.05,0.19,0.07,0.09,0.03,0.06
TN93+G,23,10227.6173753709,10066.9636563888,-5010.41287990561,n/a,0.361694015391599,1.93759435967325,0.208717310087173,0.211083437110834,0.26425902864259,0.315940224159402,0.03,0.04,0.12,0.03,0.26,0.05,0.03,0.21,0.05,0.08,0.03,0.04
T92+G,20,10229.339855132,10089.6259410009,-5024.76052949658,n/a,0.373476833416241,1.75901588917226,0.209900373599004,0.209900373599004,0.290099626400996,0.290099626400996,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+I,23,10231.3767159121,10070.72299693,-5012.29255017623,0.479679721324972,n/a,1.52377299424226,0.208717310087173,0.211083437110834,0.26425902864259,0.315940224159402,0.04,0.05,0.14,0.04,0.21,0.06,0.04,0.17,0.06,0.09,0.04,0.05
HKY+G+I,23,10237.2962115626,10076.6424925805,-5015.25229800147,0.438714111476042,2.32150514385827,1.66768211214806,0.208717310087173,0.211083437110834,0.26425902864259,0.315940224159402,0.04,0.05,0.2,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
HKY+I,22,10251.4650644644,10097.7907781209,-5026.83219435583,0.483472975945398,n/a,1.5069851903567,0.208717310087173,0.211083437110834,0.26425902864259,0.315940224159402,0.04,0.05,0.19,0.04,0.16,0.06,0.04,0.13,0.06,0.13,0.04,0.05
GTR+G,26,10251.9672728228,10070.3782720546,-5009.10141892119,n/a,0.386589211817249,1.61413421565087,0.208717310087173,0.211083437110834,0.26425902864259,0.315940224159402,0.04,0.05,0.14,0.04,0.22,0.04,0.04,0.18,0.07,0.09,0.02,0.06
