Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,9468.61341743532,9319.67653927101,-4638.78640614202,0.523111770823836,1.39804646388952,2.49801206920967,0.218029115341545,0.218029115341545,0.281970884658455,0.281970884658455,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+G+I,24,9473.87273817603,9303.67537375834,-4627.77030900157,0.508479875552269,1.27322741792131,2.6081132361024,0.227547592385218,0.208510638297872,0.256662933930571,0.307278835386338,0.03,0.03,0.14,0.03,0.27,0.04,0.03,0.22,0.04,0.1,0.03,0.03
T92+G,20,9474.93316867118,9333.08402187016,-4646.49486759688,n/a,0.243709082400948,2.49914214940828,0.218029115341545,0.218029115341545,0.281970884658455,0.281970884658455,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+G,23,9479.94221836956,9316.8312312449,-4635.35363493527,n/a,0.246452436761888,2.62717601119198,0.227547592385218,0.208510638297872,0.256662933930571,0.307278835386338,0.03,0.03,0.14,0.03,0.27,0.04,0.03,0.22,0.04,0.1,0.03,0.03
K2+G+I,20,9489.72809053974,9347.87894373872,-4653.89232853116,0.52068293983913,1.43095429271131,2.38835119556101,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+I,20,9492.30512105162,9350.45597425061,-4655.18084378711,0.58982338610336,n/a,2.15187814448622,0.218029115341545,0.218029115341545,0.281970884658455,0.281970884658455,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
HKY+G+I,23,9493.54408643333,9330.43309930866,-4642.15456896715,0.522339106681281,1.37093483716244,2.57276632033834,0.227547592385218,0.208510638297872,0.256662933930571,0.307278835386338,0.03,0.04,0.22,0.03,0.19,0.04,0.03,0.15,0.04,0.16,0.03,0.04
K2+G,19,9493.86239326542,9359.10142888051,-4660.50806573094,n/a,0.24829669380825,2.39422771710418,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
GTR+G+I,27,9499.28922405132,9307.83543832885,-4626.83279442841,0.506154477435816,1.240177391926,2.61447612964506,0.227547592385218,0.208510638297872,0.256662933930571,0.307278835386338,0.02,0.04,0.14,0.02,0.27,0.04,0.04,0.22,0.04,0.1,0.03,0.03
HKY+G,22,9499.38506295913,9343.36090463628,-4649.62364306699,n/a,0.241778009402683,2.57896430450442,0.227547592385218,0.208510638297872,0.256662933930571,0.307278835386338,0.03,0.04,0.22,0.03,0.19,0.04,0.03,0.15,0.04,0.16,0.03,0.04
TN93+I,23,9501.20479039485,9338.09380327018,-4645.98492094791,0.585421251283532,n/a,2.1669282004275,0.227547592385218,0.208510638297872,0.256662933930571,0.307278835386338,0.03,0.04,0.15,0.04,0.23,0.05,0.04,0.19,0.05,0.11,0.03,0.04
GTR+G,26,9504.94486146825,9320.57609759942,-4634.20919897381,n/a,0.246362102007485,2.62776966917755,0.227547592385218,0.208510638297872,0.256662933930571,0.307278835386338,0.02,0.04,0.14,0.02,0.27,0.04,0.04,0.22,0.04,0.1,0.03,0.03
K2+I,19,9513.39380542791,9378.632841043,-4670.27377181219,0.589299656569724,n/a,2.09221961315869,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,9518.54282014782,9362.51866182497,-4659.20252166133,0.590008036208418,n/a,2.19407083203218,0.227547592385218,0.208510638297872,0.256662933930571,0.307278835386338,0.03,0.04,0.21,0.04,0.18,0.05,0.04,0.14,0.05,0.16,0.03,0.04
GTR+I,26,9527.13620919231,9342.76744532348,-4645.30487283584,0.585426308662467,n/a,2.16904118889909,0.227547592385218,0.208510638297872,0.256662933930571,0.307278835386338,0.03,0.05,0.15,0.03,0.23,0.05,0.04,0.19,0.04,0.11,0.04,0.04
JC+G+I,19,9800.91024289587,9666.14927851096,-4814.03199054617,0.542660003216997,2.57376932847862,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,9806.91113987021,9679.23880880237,-4821.58102487027,n/a,0.274512149919817,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,9808.4616523632,9680.78932129537,-4822.35628111677,0.585037138882594,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,10164.8082167264,10008.7840584036,-4982.33521995063,n/a,n/a,1.71191369406894,0.227547592385218,0.208510638297872,0.256662933930571,0.307278835386338,0.04,0.05,0.14,0.04,0.22,0.06,0.04,0.18,0.06,0.1,0.04,0.05
T92,19,10176.13175572,10041.3707913351,-5001.64274695825,n/a,n/a,1.69849258079114,0.218029115341545,0.218029115341545,0.281970884658455,0.281970884658455,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2,18,10180.9746961853,10053.3023651175,-5008.61280302784,n/a,n/a,1.6932879667903,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
GTR,25,10188.2734682355,10010.9901781857,-4980.42208819436,n/a,n/a,1.71275750267401,0.227547592385218,0.208510638297872,0.256662933930571,0.307278835386338,0.03,0.05,0.14,0.03,0.22,0.06,0.05,0.18,0.06,0.1,0.04,0.05
HKY,21,10205.7120330824,10056.7751549181,-5007.33571396556,n/a,n/a,1.69781778595612,0.227547592385218,0.208510638297872,0.256662933930571,0.307278835386338,0.04,0.05,0.19,0.04,0.16,0.06,0.04,0.13,0.06,0.14,0.04,0.05
JC,17,10437.464429127,10316.8811821254,-5141.4062553356,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
