Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
HKY+G,22,5304.77005785853,5162.22581667813,-2559.00829804343,n/a,0.313431161867708,1.4276843570686,0.178600823045267,0.324691358024691,0.225102880658436,0.271604938271605,0.07,0.05,0.16,0.04,0.13,0.06,0.04,0.19,0.06,0.11,0.07,0.05
K2+G,19,5306.00599551921,5182.87593969161,-2572.35945744911,n/a,0.301097952921424,1.50597309290853,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+G,23,5313.05137142401,5164.03740377663,-2558.90455796772,n/a,0.313241568450359,1.4322850022333,0.178600823045267,0.324691358024691,0.225102880658436,0.271604938271605,0.07,0.05,0.15,0.04,0.14,0.06,0.04,0.2,0.06,0.1,0.07,0.05
HKY+G+I,23,5313.29960203348,5164.2856343861,-2559.02867327245,0.218258399276501,0.498838369573534,1.43477537548685,0.178600823045267,0.324691358024691,0.225102880658436,0.271604938271605,0.07,0.05,0.16,0.04,0.13,0.06,0.04,0.19,0.06,0.11,0.07,0.05
K2+G+I,20,5314.21146478788,5184.60918003462,-2572.217795225,0.350477227031045,0.73354136947953,1.5096733058608,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,20,5314.88567006085,5185.28338530759,-2572.55489786148,n/a,0.301388910873553,1.50407807421027,0.251646090534979,0.251646090534979,0.248353909465021,0.248353909465021,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+G+I,24,5321.54020646558,5166.05734753932,-2558.90457863005,8.34528571428572E-6,0.313238698405352,1.43255503373251,0.178600823045267,0.324691358024691,0.225102880658436,0.271604938271605,0.07,0.05,0.15,0.04,0.14,0.06,0.04,0.2,0.06,0.1,0.07,0.05
T92+G+I,21,5323.10822575026,5187.03454570706,-2572.42177884774,0.35024374680883,0.734044526620219,1.5076406587573,0.251646090534979,0.251646090534979,0.248353909465021,0.248353909465021,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,5331.53770866471,5208.4076528371,-2585.12531402185,0.548495084102755,n/a,1.3557036295692,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+G,26,5331.91841896967,5163.50028512371,-2555.60489116521,n/a,0.321285444651909,1.45359585217153,0.178600823045267,0.324691358024691,0.225102880658436,0.271604938271605,0.05,0.05,0.15,0.03,0.14,0.04,0.04,0.2,0.08,0.1,0.05,0.07
HKY+I,22,5336.31467716088,5193.77043598047,-2574.7806076946,0.540548398946332,n/a,1.25673794178633,0.178600823045267,0.324691358024691,0.225102880658436,0.271604938271605,0.07,0.05,0.15,0.04,0.13,0.06,0.04,0.18,0.06,0.1,0.07,0.05
GTR+G+I,27,5340.37873699811,5165.49422054924,-2555.59065332098,0.134892434515832,0.418276550639704,1.46048238428161,0.178600823045267,0.324691358024691,0.225102880658436,0.271604938271605,0.05,0.05,0.15,0.03,0.14,0.04,0.04,0.2,0.08,0.1,0.05,0.07
T92+I,20,5340.38707641178,5210.78479165851,-2585.30560103694,0.548402424273811,n/a,1.35457094625638,0.251646090534979,0.251646090534979,0.248353909465021,0.248353909465021,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93+I,23,5344.57907011316,5195.56510246578,-2574.66840731229,0.54088372233533,n/a,1.25960536648908,0.178600823045267,0.324691358024691,0.225102880658436,0.271604938271605,0.07,0.05,0.16,0.04,0.12,0.06,0.04,0.18,0.06,0.1,0.07,0.05
GTR+I,26,5365.44210087186,5197.0239670259,-2572.3667321163,0.538868084869554,n/a,1.27445228015585,0.178600823045267,0.324691358024691,0.225102880658436,0.271604938271605,0.06,0.05,0.16,0.03,0.12,0.05,0.04,0.18,0.08,0.11,0.06,0.07
JC+G,18,5382.28559879533,5265.62860501249,-2614.74365594562,n/a,0.321442179942434,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
