Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,7479.38879087069,7339.93887369723,-3648.88807017021,0.447608559174552,2.49109885876867,1.58017471033432,0.214385964912281,0.214385964912281,0.285614035087719,0.285614035087719,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
T92+I,20,7488.05459617103,7355.2380804596,-3657.54508354729,0.4863031294573,n/a,1.45225748202274,0.214385964912281,0.214385964912281,0.285614035087719,0.285614035087719,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G+I,24,7489.81973368907,7330.47387254182,-3641.13120939866,0.43818447380649,2.18845994756982,1.64535782323017,0.202982456140351,0.225789473684211,0.268947368421053,0.302280701754386,0.04,0.05,0.13,0.04,0.22,0.06,0.04,0.19,0.06,0.09,0.04,0.05
T92+G,20,7493.99077802629,7361.17426231487,-3660.51317447492,n/a,0.36566756054773,1.66281198644971,0.214385964912281,0.214385964912281,0.285614035087719,0.285614035087719,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
HKY+G+I,23,7496.78086270296,7344.06627243628,-3648.93588463252,0.448917648812848,2.56524704412705,1.5820380632575,0.202982456140351,0.225789473684211,0.268947368421053,0.302280701754386,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.14,0.06,0.13,0.04,0.05
GTR+G+I,27,7501.06983231864,7321.83442570295,-3633.78392653271,0.441823715523129,2.5569514104027,1.48904084048734,0.202982456140351,0.225789473684211,0.268947368421053,0.302280701754386,0.04,0.06,0.14,0.03,0.2,0.04,0.05,0.17,0.08,0.09,0.03,0.07
TN93+I,23,7501.2537509974,7348.53916073073,-3651.17232877974,0.483952067137865,n/a,1.46246126258083,0.202982456140351,0.225789473684211,0.268947368421053,0.302280701754386,0.05,0.05,0.14,0.04,0.2,0.06,0.04,0.17,0.06,0.09,0.05,0.05
TN93+G,23,7503.33941995505,7350.62482968837,-3652.21516325856,n/a,0.36184671659696,1.7714124106712,0.202982456140351,0.225789473684211,0.268947368421053,0.302280701754386,0.04,0.05,0.12,0.04,0.24,0.05,0.04,0.2,0.05,0.08,0.04,0.05
HKY+I,22,7504.70631138295,7358.62370256602,-3657.22271969943,0.486147250786439,n/a,1.45660424259098,0.202982456140351,0.225789473684211,0.268947368421053,0.302280701754386,0.05,0.05,0.18,0.04,0.16,0.06,0.04,0.14,0.06,0.12,0.05,0.05
HKY+G,22,7512.31364113767,7366.23103232074,-3661.02638457679,n/a,0.366419833758347,1.66695003519329,0.202982456140351,0.225789473684211,0.268947368421053,0.302280701754386,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.14,0.06,0.13,0.04,0.05
GTR+G,26,7521.25334479198,7348.64707509412,-3648.19979349629,n/a,0.387199414590406,1.47206412875528,0.202982456140351,0.225789473684211,0.268947368421053,0.302280701754386,0.04,0.06,0.14,0.04,0.2,0.04,0.04,0.17,0.08,0.09,0.03,0.07
GTR+I,26,7524.5303399274,7351.92407022954,-3649.838291064,0.482998555402434,n/a,1.44081961541599,0.202982456140351,0.225789473684211,0.268947368421053,0.302280701754386,0.05,0.07,0.14,0.05,0.2,0.04,0.05,0.17,0.07,0.09,0.03,0.06
K2+G+I,20,7528.57982248549,7395.76330677407,-3677.80769670452,0.4463069633183,2.80366427221313,1.45739178293564,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,7534.83362829556,7408.65122348983,-3685.25871033646,0.483982726226367,n/a,1.37017494420564,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,7543.25474428157,7417.07233947584,-3689.46926832947,n/a,0.389937527910308,1.51810758852766,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,7648.26316893248,7522.08076412675,-3741.97348065492,0.450077943154884,3.56215297379487,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,7650.36372318575,7530.81613835473,-3747.34786850847,0.481793326001364,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,7665.18565092458,7545.63806609356,-3754.75883237789,n/a,0.41570871375463,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,7947.4104056745,7821.22800086877,-3891.54709902594,n/a,n/a,1.18903706830382,0.214385964912281,0.214385964912281,0.285614035087719,0.285614035087719,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
GTR,25,7956.13922292746,7790.1628018445,-3869.96684329095,n/a,n/a,1.02305184406449,0.202982456140351,0.225789473684211,0.268947368421053,0.302280701754386,0.05,0.07,0.13,0.04,0.16,0.05,0.05,0.14,0.1,0.09,0.04,0.09
TN93,22,7956.37170374904,7810.2890949321,-3883.05541588247,n/a,n/a,1.19700170272853,0.202982456140351,0.225789473684211,0.268947368421053,0.302280701754386,0.05,0.06,0.13,0.05,0.18,0.07,0.05,0.15,0.07,0.09,0.05,0.06
HKY,21,7964.12788043976,7824.6779632663,-3891.25761495474,n/a,n/a,1.18929371952063,0.202982456140351,0.225789473684211,0.268947368421053,0.302280701754386,0.05,0.06,0.17,0.05,0.15,0.07,0.05,0.12,0.07,0.11,0.05,0.06
K2,18,7967.21804272925,7847.67045789823,-3905.77502828022,n/a,n/a,1.18104895779137,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,17,8067.76130275493,7954.84924659327,-3960.37076901997,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
