Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G,26,10215.2980914256,10034.570754966,-4991.19471494911,n/a,0.430269484452584,1.88774184825287,0.25984555984556,0.217245817245817,0.254182754182754,0.268725868725869,0.01,0.05,0.1,0.01,0.26,0.04,0.05,0.22,0.08,0.09,0.03,0.07
GTR+G+I,27,10220.0617910055,10032.3904024073,-4989.09755201739,0.231142161831069,0.793097356766365,1.88098491035726,0.25984555984556,0.217245817245817,0.254182754182754,0.268725868725869,0.01,0.05,0.1,0.01,0.26,0.04,0.05,0.22,0.08,0.09,0.03,0.07
TN93+G,23,10237.083254162,10077.191194139,-5015.52433448235,n/a,0.41336840630715,1.96718735877865,0.25984555984556,0.217245817245817,0.254182754182754,0.268725868725869,0.04,0.04,0.1,0.04,0.26,0.04,0.04,0.22,0.04,0.09,0.04,0.04
TN93+G+I,24,10241.5959788468,10074.7583068762,-5013.30168410304,0.235789912969891,0.76837501853512,1.94837149804168,0.25984555984556,0.217245817245817,0.254182754182754,0.268725868725869,0.04,0.04,0.1,0.04,0.26,0.04,0.04,0.22,0.04,0.09,0.04,0.04
T92+G,20,10247.3074165476,10108.2553087644,-5034.0734538402,n/a,0.405871582539953,1.82119502464558,0.238545688545689,0.238545688545689,0.261454311454311,0.261454311454311,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G+I,21,10254.9816704989,10108.9823927706,-5033.43156809415,0.158947661559353,0.581049551741112,1.81406969218078,0.238545688545689,0.238545688545689,0.261454311454311,0.261454311454311,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+G,19,10258.6040632738,10126.4996443661,-5044.20078992497,n/a,0.413920210910626,1.78849817614603,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,10266.2262484159,10127.1741406327,-5043.53286977435,0.165025381517442,0.604595407616204,1.7811617970362,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G,22,10278.2813082686,10125.3353797267,-5040.6023742573,n/a,0.405336979659716,1.8675407304195,0.25984555984556,0.217245817245817,0.254182754182754,0.268725868725869,0.04,0.04,0.17,0.05,0.17,0.05,0.05,0.14,0.05,0.17,0.04,0.04
GTR+I,26,10284.3961636916,10103.668827232,-5025.74375108208,0.422538357657148,n/a,1.61085568310786,0.25984555984556,0.217245817245817,0.254182754182754,0.268725868725869,0.01,0.05,0.1,0.01,0.23,0.05,0.05,0.2,0.08,0.1,0.04,0.07
HKY+G+I,23,10285.9594595981,10126.0673995751,-5039.96243720041,0.164482192490952,0.58984840171035,1.85865833048044,0.25984555984556,0.217245817245817,0.254182754182754,0.268725868725869,0.04,0.04,0.17,0.05,0.17,0.05,0.05,0.14,0.05,0.17,0.04,0.04
TN93+I,23,10307.4174435545,10147.5253835314,-5050.69142917858,0.42626982199605,n/a,1.60191633106265,0.25984555984556,0.217245817245817,0.254182754182754,0.268725868725869,0.04,0.05,0.1,0.05,0.23,0.05,0.05,0.2,0.05,0.1,0.04,0.05
T92+I,20,10335.8677789305,10196.8156711473,-5078.35363503162,0.434333161463741,n/a,1.53237888946162,0.238545688545689,0.238545688545689,0.261454311454311,0.261454311454311,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+I,19,10343.015574553,10210.9111556452,-5086.40654556456,0.433535460167591,n/a,1.51948506283332,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,10365.1549170333,10212.2089884914,-5084.03917863966,0.434808300180177,n/a,1.55109317922692,0.25984555984556,0.217245817245817,0.254182754182754,0.268725868725869,0.04,0.05,0.16,0.05,0.15,0.05,0.05,0.13,0.05,0.16,0.04,0.05
JC+G,18,10484.4725890212,10359.3163777186,-5161.61406552037,n/a,0.464847293985469,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,10491.4851203026,10359.3807013948,-5160.64131843935,0.21338016732444,0.810785854581863,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10548.8194054918,10423.6631941891,-5193.78747375563,0.430108164489929,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,10709.4334085411,10535.6506443579,-5242.74138622852,n/a,n/a,1.34396894757402,0.25984555984556,0.217245817245817,0.254182754182754,0.268725868725869,0.01,0.06,0.1,0.02,0.21,0.05,0.07,0.18,0.09,0.1,0.04,0.08
TN93,22,10758.1538658891,10605.2079373472,-5280.53865306757,n/a,n/a,1.34709071652612,0.25984555984556,0.217245817245817,0.254182754182754,0.268725868725869,0.05,0.05,0.1,0.05,0.21,0.06,0.05,0.18,0.06,0.1,0.05,0.05
T92,19,10788.349384918,10656.2449660102,-5309.07345074705,n/a,n/a,1.32867118497964,0.238545688545689,0.238545688545689,0.261454311454311,0.261454311454311,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.14,0.06,0.14,0.05,0.06
K2,18,10788.9613608729,10663.8051495703,-5313.85845144621,n/a,n/a,1.32799962121243,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY,21,10820.9711872542,10674.9719095259,-5316.42632647179,n/a,n/a,1.3268475462934,0.25984555984556,0.217245817245817,0.254182754182754,0.268725868725869,0.05,0.05,0.15,0.06,0.14,0.06,0.06,0.12,0.06,0.15,0.05,0.05
JC,17,10973.6858260794,10855.4783409107,-5410.69969677113,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
