Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,5407.31067353326,5251.23640906936,-2601.49711472641,0.482808818702098,1.03642394877201,3.16005385710629,0.238152610441767,0.195381526104418,0.269678714859438,0.296787148594377,0.02,0.03,0.07,0.03,0.37,0.03,0.03,0.27,0.03,0.06,0.02,0.03
TN93+G,23,5409.03552223127,5259.45502361139,-2606.61613166042,n/a,0.220465073674045,3.64561036528132,0.238152610441767,0.195381526104418,0.269678714859438,0.296787148594377,0.02,0.03,0.06,0.02,0.39,0.03,0.02,0.29,0.03,0.05,0.02,0.03
GTR+G+I,27,5429.10813042682,5253.55746201564,-2599.62606541816,0.489188354112117,1.14302097846372,3.00814138199454,0.238152610441767,0.195381526104418,0.269678714859438,0.296787148594377,0.01,0.03,0.07,0.02,0.37,0.03,0.03,0.27,0.05,0.06,0.02,0.04
TN93+I,23,5429.64254625036,5280.06204763048,-2616.91964366996,0.564857488993952,n/a,2.15074031381229,0.238152610441767,0.195381526104418,0.269678714859438,0.296787148594377,0.03,0.04,0.1,0.04,0.3,0.05,0.04,0.22,0.05,0.08,0.03,0.04
T92+G+I,21,5430.06244537785,5293.47192227741,-2625.64277840373,0.506268280706603,1.25889732387886,2.37915292912852,0.216767068273092,0.216767068273092,0.283232931726908,0.283232931726908,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
T92+G,20,5433.34682293376,5303.2525085231,-2631.54155976669,n/a,0.245692968703587,2.46502209127035,0.216767068273092,0.216767068273092,0.283232931726908,0.283232931726908,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
GTR+G,26,5441.91591311323,5272.85656325967,-2610.28654934637,n/a,0.250751826197822,2.53526085792712,0.238152610441767,0.195381526104418,0.269678714859438,0.296787148594377,0.04,0.03,0.08,0.04,0.34,0.03,0.03,0.24,0.05,0.07,0.02,0.04
T92+I,20,5444.13551847202,5314.04120406136,-2636.93590753582,0.576962243074093,n/a,2.00535719927557,0.216767068273092,0.216767068273092,0.283232931726908,0.283232931726908,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR+I,26,5448.46255065277,5279.40320079921,-2613.55986811614,0.564929009076584,n/a,2.15403838059346,0.238152610441767,0.195381526104418,0.269678714859438,0.296787148594377,0.02,0.04,0.1,0.02,0.3,0.04,0.03,0.22,0.06,0.08,0.02,0.06
K2+G+I,20,5453.79331963411,5323.69900522346,-2641.76480811687,0.513438578750132,1.47532041811893,2.20935759214845,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,5457.70853992128,5334.11124749738,-2647.97901084546,n/a,0.25789208056004,2.27421733986195,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,5461.82449805521,5312.24399943533,-2633.01061957239,0.509321056418689,1.29545976871431,2.44325235605642,0.238152610441767,0.195381526104418,0.269678714859438,0.296787148594377,0.03,0.04,0.21,0.03,0.19,0.04,0.03,0.14,0.04,0.17,0.03,0.04
K2+I,19,5464.22129456342,5340.62400213951,-2651.23538816653,0.576028072570772,n/a,1.93167412821399,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G,22,5465.38551431385,5322.2995963128,-2639.04772028672,n/a,0.245887447367339,2.53162207520525,0.238152610441767,0.195381526104418,0.269678714859438,0.296787148594377,0.03,0.04,0.21,0.03,0.19,0.04,0.03,0.14,0.04,0.17,0.03,0.04
HKY+I,22,5475.40023523354,5332.31431723248,-2644.05508074656,0.577212284585951,n/a,2.04767774866629,0.238152610441767,0.195381526104418,0.269678714859438,0.296787148594377,0.03,0.04,0.2,0.04,0.18,0.05,0.04,0.13,0.05,0.16,0.03,0.04
JC+G+I,19,5605.16483973477,5481.56754731087,-2721.70716075221,0.530190993231605,2.47850932757789,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,5607.2663735844,5490.1669159524,-2727.01452026203,0.571979823622215,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,5610.97040326034,5493.87094562835,-2728.8665351,n/a,0.290596245847042,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,5799.18917586121,5656.10325786016,-2805.9495510604,n/a,n/a,1.57937811835002,0.238152610441767,0.195381526104418,0.269678714859438,0.296787148594377,0.04,0.05,0.1,0.04,0.26,0.06,0.04,0.19,0.06,0.08,0.04,0.05
GTR,25,5812.95935901287,5650.39214397314,-2800.0648648812,n/a,n/a,1.58288697986279,0.238152610441767,0.195381526104418,0.269678714859438,0.296787148594377,0.02,0.05,0.1,0.03,0.26,0.05,0.04,0.19,0.08,0.08,0.03,0.07
T92,19,5824.42578610729,5700.82849368339,-2831.33763393847,n/a,n/a,1.55358895865046,0.216767068273092,0.216767068273092,0.283232931726908,0.283232931726908,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.13,0.05,0.13,0.04,0.05
K2,18,5831.41253565222,5714.31307802022,-2839.08760129594,n/a,n/a,1.54585328044438,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY,21,5857.33673623439,5720.74621313395,-2839.279923832,n/a,n/a,1.54897128383935,0.238152610441767,0.195381526104418,0.269678714859438,0.296787148594377,0.04,0.05,0.18,0.05,0.16,0.06,0.05,0.12,0.06,0.15,0.04,0.05
JC,17,5953.95386422183,5843.35305369548,-2904.61485816576,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
