Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,19905.6203412286,19694.6630079481,-9820.29019701306,0.407295593871237,0.919722576247268,1.72738253525957,0.162247681396618,0.256464811783961,0.277686852154937,0.303600654664484,0.04,0.06,0.17,0.02,0.2,0.03,0.04,0.18,0.07,0.09,0.03,0.07
TN93+G+I,24,19909.2694201122,19721.7439117913,-9836.83917796611,0.411869514491849,0.870789143547118,1.91160199333863,0.162247681396618,0.256464811783961,0.277686852154937,0.303600654664484,0.04,0.05,0.16,0.03,0.21,0.05,0.03,0.2,0.05,0.09,0.04,0.05
HKY+G+I,23,19912.4177248502,19732.7032631068,-9843.32147750552,0.409500768715681,0.86289910054327,1.85609815783564,0.162247681396618,0.256464811783961,0.277686852154937,0.303600654664484,0.04,0.05,0.2,0.03,0.18,0.05,0.03,0.17,0.05,0.11,0.04,0.05
TN93+G,23,19915.7062005765,19735.991738833,-9844.96571536864,n/a,0.282592267242556,1.90586385420711,0.162247681396618,0.256464811783961,0.277686852154937,0.303600654664484,0.04,0.05,0.16,0.03,0.21,0.05,0.03,0.2,0.05,0.09,0.04,0.05
HKY+G,22,19916.797312511,19744.894116414,-9850.41941850633,n/a,0.282628971862895,1.85923068604966,0.162247681396618,0.256464811783961,0.277686852154937,0.303600654664484,0.04,0.05,0.2,0.03,0.18,0.05,0.03,0.17,0.05,0.11,0.04,0.05
GTR+G,26,19919.8669194372,19716.7199753118,-9832.32163328774,n/a,0.297815887734288,1.66591883602509,0.162247681396618,0.256464811783961,0.277686852154937,0.303600654664484,0.04,0.06,0.17,0.03,0.19,0.03,0.04,0.17,0.07,0.09,0.03,0.07
T92+G+I,21,19966.9876402648,19802.8959288473,-9880.42272955366,0.429813310258451,0.947816877336945,1.88952050774732,0.209356246590289,0.209356246590289,0.290643753409711,0.290643753409711,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,19973.2206460641,19816.9406383233,-9888.44737962373,n/a,0.278183290267731,1.89922373731827,0.209356246590289,0.209356246590289,0.290643753409711,0.290643753409711,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+I,26,19983.4541286239,19780.3071844985,-9864.11523788113,0.544313301346197,n/a,1.64415296604888,0.162247681396618,0.256464811783961,0.277686852154937,0.303600654664484,0.02,0.07,0.16,0.01,0.2,0.05,0.04,0.18,0.08,0.09,0.04,0.07
TN93+I,23,20004.1269101553,19824.4124484119,-9889.17607015808,0.546816922763828,n/a,1.61162670779572,0.162247681396618,0.256464811783961,0.277686852154937,0.303600654664484,0.05,0.05,0.16,0.03,0.19,0.06,0.03,0.18,0.06,0.09,0.05,0.05
HKY+I,22,20006.1188555363,19834.2156594393,-9895.08019001897,0.547749499406746,n/a,1.59158718563811,0.162247681396618,0.256464811783961,0.277686852154937,0.303600654664484,0.05,0.05,0.19,0.03,0.17,0.06,0.03,0.16,0.06,0.1,0.05,0.05
T92+I,20,20051.7250293274,19895.4450215866,-9927.69957125539,0.55080360265709,n/a,1.63321865140976,0.209356246590289,0.209356246590289,0.290643753409711,0.290643753409711,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
K2+G+I,20,20127.98898901,19971.7089812692,-9965.83155109666,0.432306966798193,1.06484721600316,1.73109846081302,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,20129.9153714746,19981.4472863718,-9971.70288949939,n/a,0.293858800556903,1.74261041301361,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,20201.6948119265,20053.2267268237,-10007.5926097253,0.54841838708568,n/a,1.5463794595669,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,20538.3098249512,20389.8417398484,-10175.9001162377,0.458557225375905,1.51471475249189,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,20542.3945399921,20401.7385964527,-10182.8506209285,n/a,0.318739036350965,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,20587.383248972,20446.7273054326,-10205.3449754185,0.545588787442126,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,21117.9629605666,20922.626624773,-10436.2778010229,n/a,n/a,1.33017182306247,0.162247681396618,0.256464811783961,0.277686852154937,0.303600654664484,0.02,0.08,0.15,0.01,0.18,0.04,0.05,0.17,0.09,0.08,0.04,0.09
TN93,22,21211.8889361729,21039.9857400758,-10497.9652303373,n/a,n/a,1.33225204456316,0.162247681396618,0.256464811783961,0.277686852154937,0.303600654664484,0.05,0.06,0.15,0.03,0.18,0.06,0.03,0.16,0.06,0.08,0.05,0.06
HKY,21,21212.5435614916,21048.4518500741,-10503.200690167,n/a,n/a,1.33048038989936,0.162247681396618,0.256464811783961,0.277686852154937,0.303600654664484,0.05,0.06,0.18,0.03,0.16,0.06,0.03,0.15,0.06,0.09,0.05,0.06
T92,19,21296.6082771332,21148.1401920304,-10555.0493423287,n/a,n/a,1.32540278395317,0.209356246590289,0.209356246590289,0.290643753409711,0.290643753409711,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
K2,18,21375.5177028311,21234.8617592916,-10599.412202348,n/a,n/a,1.31806084606952,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC,17,21718.7645927485,21585.9210096621,-10775.9437944772,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
