Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,8132.46817230059,8001.42468821566,-3980.63155934153,n/a,0.495975629835872,1.74815767780777,0.218582375478927,0.218582375478927,0.281417624521073,0.281417624521073,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G+I,21,8133.43686551391,7995.84931989268,-3976.83577960775,0.247436354582027,1.24231450476988,1.65519897468536,0.218582375478927,0.218582375478927,0.281417624521073,0.281417624521073,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,8152.29243133425,7995.07735833104,-3973.42318349661,0.26480957764581,1.40348414043968,1.70161015044442,0.223754789272031,0.213409961685824,0.27088122605364,0.291954022988506,0.04,0.05,0.14,0.04,0.22,0.05,0.04,0.17,0.05,0.11,0.04,0.05
TN93+G,23,8153.64315559487,8002.96981506634,-3978.37867196735,n/a,0.493423129293067,1.79207156123026,0.223754789272031,0.213409961685824,0.27088122605364,0.291954022988506,0.04,0.05,0.14,0.04,0.22,0.05,0.04,0.17,0.05,0.11,0.04,0.05
HKY+G,22,8153.75470033656,8009.6238690848,-3982.71457067864,n/a,0.497003714930119,1.74624046919613,0.223754789272031,0.213409961685824,0.27088122605364,0.291954022988506,0.04,0.05,0.19,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,8154.87085700354,8004.19751647501,-3978.99252267169,0.246148533854504,1.23555114907203,1.65239469127356,0.223754789272031,0.213409961685824,0.27088122605364,0.291954022988506,0.04,0.05,0.18,0.04,0.17,0.05,0.04,0.13,0.05,0.14,0.04,0.05
GTR+G,26,8157.96834788915,7987.67214213783,-3967.70088909318,n/a,0.517364200235186,1.73104060087638,0.223754789272031,0.213409961685824,0.27088122605364,0.291954022988506,0.02,0.07,0.15,0.02,0.22,0.03,0.06,0.17,0.07,0.11,0.02,0.07
GTR+G+I,27,8168.36527044405,7991.5296653177,-3968.61922403019,0.245868919871201,1.33532483625537,1.50426359884476,0.223754789272031,0.213409961685824,0.27088122605364,0.291954022988506,0.04,0.07,0.15,0.04,0.19,0.03,0.06,0.15,0.07,0.11,0.02,0.07
T92+I,20,8173.73388964527,8042.69040556034,-4001.26441801387,0.343494278349858,n/a,1.39559311365155,0.218582375478927,0.218582375478927,0.281417624521073,0.281417624521073,0.05,0.06,0.17,0.05,0.17,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+G,19,8174.00700829557,8049.50836120507,-4005.68110367946,n/a,0.531837276886621,1.6144523906483,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,8174.38386895894,8043.34038487401,-4001.58940767071,0.248975227698701,1.37520110212656,1.53318643118883,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+I,23,8189.17457640291,8038.50123587439,-3996.14438237137,0.342992649929248,n/a,1.43554313039717,0.223754789272031,0.213409961685824,0.27088122605364,0.291954022988506,0.04,0.05,0.13,0.05,0.2,0.06,0.05,0.16,0.06,0.1,0.04,0.05
HKY+I,22,8195.23412338615,8051.1032921344,-4003.45428220343,0.343298973559359,n/a,1.38801499863399,0.223754789272031,0.213409961685824,0.27088122605364,0.291954022988506,0.04,0.06,0.17,0.05,0.16,0.06,0.05,0.12,0.06,0.13,0.04,0.06
K2+I,19,8209.71672529078,8085.21807820027,-4023.53596217706,0.341305707173841,n/a,1.33093419695047,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+I,26,8214.45894949929,8044.16274374796,-3995.94618989825,0.340712872093729,n/a,1.248399845884,0.223754789272031,0.213409961685824,0.27088122605364,0.291954022988506,0.05,0.06,0.14,0.05,0.17,0.04,0.05,0.14,0.08,0.11,0.03,0.07
JC+G+I,19,8310.32043641857,8185.82178932806,-4073.83781774096,0.268557513723067,1.91594999484628,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,8313.9533098654,8196.00027478016,-4079.93438080481,n/a,0.608013723879462,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,8333.73046850165,8215.77743341641,-4089.82296012294,0.338905836395333,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,8511.89952959242,8387.40088250191,-4174.62736432788,n/a,n/a,1.17385860042394,0.218582375478927,0.218582375478927,0.281417624521073,0.281417624521073,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
K2,18,8526.30416322565,8408.35112814041,-4186.10980748494,n/a,n/a,1.16355651118135,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
GTR,25,8526.46184811825,8362.7058198911,-4156.22776554817,n/a,n/a,1.0184431234726,0.223754789272031,0.213409961685824,0.27088122605364,0.291954022988506,0.04,0.08,0.14,0.05,0.15,0.04,0.07,0.11,0.09,0.11,0.03,0.09
HKY,21,8531.85504099532,8394.2674953741,-4176.04486734846,n/a,n/a,1.17265626781394,0.223754789272031,0.213409961685824,0.27088122605364,0.291954022988506,0.05,0.06,0.16,0.05,0.15,0.07,0.05,0.12,0.07,0.12,0.05,0.06
TN93,22,8535.72505315374,8391.59422190199,-4173.69974708723,n/a,n/a,1.17417637209183,0.223754789272031,0.213409961685824,0.27088122605364,0.291954022988506,0.05,0.06,0.14,0.05,0.16,0.07,0.05,0.13,0.07,0.11,0.05,0.06
JC,17,8636.18179879092,8524.77515027484,-4245.32875160801,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
