Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,22606.1995100022,22413.4238197959,-11182.6855652218,0.508541669280151,0.89810501009815,3.43283687239958,0.235614035087719,0.212368421052632,0.288508771929825,0.263508771929825,0.02,0.03,0.09,0.03,0.35,0.03,0.03,0.26,0.03,0.08,0.02,0.03
GTR+G+I,27,22614.6796631067,22397.8141334333,-11171.8738680516,0.511104749604918,0.94467723953411,3.40334241195018,0.235614035087719,0.212368421052632,0.288508771929825,0.263508771929825,0.01,0.03,0.09,0.01,0.35,0.03,0.02,0.26,0.04,0.08,0.02,0.05
TN93+G,23,22650.7092344972,22465.9638428294,-11209.9576853767,n/a,0.215976897778758,3.41966546127591,0.235614035087719,0.212368421052632,0.288508771929825,0.263508771929825,0.02,0.03,0.09,0.03,0.35,0.03,0.03,0.26,0.03,0.08,0.02,0.03
GTR+G,26,22651.9903771935,22443.1546179612,-11195.5464830025,n/a,0.218133653739228,3.33656239458696,0.235614035087719,0.212368421052632,0.288508771929825,0.263508771929825,0.01,0.03,0.09,0.01,0.34,0.03,0.03,0.25,0.04,0.08,0.02,0.05
TN93+I,23,22697.5436003535,22512.7982086857,-11233.3748683049,0.610185802210145,n/a,2.44848662272646,0.235614035087719,0.212368421052632,0.288508771929825,0.263508771929825,0.03,0.04,0.12,0.03,0.28,0.04,0.03,0.21,0.04,0.11,0.03,0.04
GTR+I,26,22704.1889162408,22495.3531570086,-11221.6457525262,0.609479862853501,n/a,2.49514286139972,0.235614035087719,0.212368421052632,0.288508771929825,0.263508771929825,0.02,0.04,0.12,0.02,0.29,0.04,0.03,0.21,0.05,0.11,0.03,0.05
T92+G+I,21,22716.5016882888,22547.8174216329,-11252.8884280875,0.556931337050386,1.43275701831306,2.7877416454168,0.223991228070175,0.223991228070175,0.276008771929825,0.276008771929825,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.17,0.04,0.17,0.03,0.04
HKY+G+I,23,22732.4928522671,22547.7474605993,-11250.8494942617,0.561021198104724,1.50663587794068,2.78824151010111,0.235614035087719,0.212368421052632,0.288508771929825,0.263508771929825,0.03,0.04,0.19,0.03,0.21,0.03,0.03,0.16,0.03,0.17,0.03,0.04
T92+G,20,22743.8172592085,22583.1638189797,-11271.5634714548,n/a,0.217124741421163,2.75478561682458,0.223991228070175,0.223991228070175,0.276008771929825,0.276008771929825,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
HKY+G,22,22761.650958392,22584.9360412487,-11270.4458052317,n/a,0.216721431459898,2.7593631397126,0.235614035087719,0.212368421052632,0.288508771929825,0.263508771929825,0.03,0.04,0.19,0.03,0.21,0.03,0.03,0.16,0.03,0.17,0.03,0.04
T92+I,20,22780.0704581476,22619.4170179188,-11289.6900709244,0.617519576433087,n/a,2.40693174671683,0.223991228070175,0.223991228070175,0.276008771929825,0.276008771929825,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
K2+G+I,20,22791.107555556,22630.4541153272,-11295.2086196286,0.552888201598465,1.47110544860728,2.63939557590373,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
HKY+I,22,22791.8109444085,22615.0960272652,-11285.5257982399,0.617715528252864,n/a,2.41914037174312,0.235614035087719,0.212368421052632,0.288508771929825,0.263508771929825,0.03,0.04,0.19,0.03,0.2,0.04,0.03,0.15,0.04,0.17,0.03,0.04
K2+G,19,22811.4540207205,22658.8315828354,-11310.3991101183,n/a,0.222533067350747,2.62484478628452,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+I,19,22853.7296999237,22701.1072620385,-11331.5369497199,0.615955426875833,n/a,2.31724120948901,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
JC+I,18,23687.5046308255,23542.9133711774,-11753.4416730783,0.611213068379072,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,23690.1585994699,23545.5673398218,-11754.7686574005,n/a,0.24521065898345,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,23700.1938925391,23547.5714546539,-11754.7690460276,0.00001,0.245202617793267,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,24369.7657113969,24168.9598986615,-12059.4514080117,n/a,n/a,1.88673666591033,0.235614035087719,0.212368421052632,0.288508771929825,0.263508771929825,0.02,0.05,0.11,0.02,0.26,0.04,0.04,0.19,0.06,0.1,0.03,0.07
TN93,22,24392.6152812004,24215.9003640572,-12085.9279666359,n/a,n/a,1.88487837314918,0.235614035087719,0.212368421052632,0.288508771929825,0.263508771929825,0.04,0.05,0.11,0.04,0.26,0.05,0.04,0.19,0.05,0.1,0.04,0.05
T92,19,24525.8097286331,24373.1872907479,-12167.5769640746,n/a,n/a,1.86541353757832,0.223991228070175,0.223991228070175,0.276008771929825,0.276008771929825,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2,18,24540.8141515976,24396.2228919495,-12180.0964334643,n/a,n/a,1.86112275530906,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY,21,24545.634729204,24376.9504625481,-12167.4549485451,n/a,n/a,1.86605148381278,0.235614035087719,0.212368421052632,0.288508771929825,0.263508771929825,0.04,0.05,0.17,0.04,0.19,0.05,0.04,0.14,0.05,0.15,0.04,0.05
JC,17,25270.1817793047,25133.6218737638,-12549.7975052253,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
