Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G,26,15218.7627364801,15031.7238216378,-7489.79073572002,n/a,0.472655902832762,1.85402193741752,0.220525783619818,0.216885743174924,0.243579373104146,0.319009100101112,0.01,0.05,0.12,0.01,0.24,0.03,0.05,0.22,0.09,0.08,0.02,0.07
GTR+G+I,27,15227.9620875987,15033.7348588915,-7489.79077156701,0,0.472752675876506,1.85379380123961,0.220525783619818,0.216885743174924,0.243579373104146,0.319009100101112,0.01,0.05,0.12,0.01,0.24,0.03,0.05,0.22,0.09,0.08,0.02,0.07
TN93+G,23,15230.6692387583,15065.1977114448,-7509.54290599605,n/a,0.458808016447681,1.89054575526311,0.220525783619818,0.216885743174924,0.243579373104146,0.319009100101112,0.04,0.04,0.12,0.04,0.24,0.05,0.04,0.22,0.05,0.08,0.04,0.04
T92+G,20,15239.5411321403,15095.6406586545,-7527.77777182397,n/a,0.433648326378579,1.81799933798697,0.218705763397371,0.218705763397371,0.281294236602629,0.281294236602629,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,15239.8688193975,15067.207755376,-7509.54305660335,0.00001,0.458602971402207,1.89114157311987,0.220525783619818,0.216885743174924,0.243579373104146,0.319009100101112,0.04,0.04,0.12,0.04,0.24,0.05,0.04,0.22,0.05,0.08,0.04,0.04
T92+G+I,21,15248.7404188396,15097.6491869178,-7527.77777546134,0,0.433659395996843,1.81797444727923,0.218705763397371,0.218705763397371,0.281294236602629,0.281294236602629,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G,22,15274.79597834,15116.514395101,-7536.20591549921,n/a,0.444243737224293,1.82029356804119,0.220525783619818,0.216885743174924,0.243579373104146,0.319009100101112,0.04,0.04,0.21,0.04,0.16,0.06,0.04,0.14,0.06,0.14,0.04,0.04
HKY+G+I,23,15283.995938348,15118.5244110345,-7536.20625579091,0.00001,0.444108508597054,1.82064800313869,0.220525783619818,0.216885743174924,0.243579373104146,0.319009100101112,0.04,0.04,0.21,0.04,0.16,0.06,0.04,0.14,0.06,0.14,0.04,0.04
K2+G,19,15324.709898079,15188.0005900244,-7574.96179450564,n/a,0.463221776426391,1.71581354590679,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G+I,20,15333.9099756393,15190.0095021535,-7574.96219357348,0.00001,0.463336195727299,1.71558552029114,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
GTR+I,26,15490.0879981611,15303.0490833188,-7625.45336656056,0.20155656591701,n/a,1.38619444372094,0.220525783619818,0.216885743174924,0.243579373104146,0.319009100101112,0.02,0.05,0.12,0.02,0.21,0.05,0.05,0.19,0.1,0.08,0.03,0.08
TN93+I,23,15508.2088859518,15342.7373586382,-7648.31272959279,0.202038855739977,n/a,1.36459204502841,0.220525783619818,0.216885743174924,0.243579373104146,0.319009100101112,0.04,0.05,0.12,0.05,0.21,0.07,0.05,0.18,0.07,0.08,0.04,0.05
T92+I,20,15549.4521070943,15405.5516336085,-7682.73325930098,0.208613239154991,n/a,1.31647063175682,0.218705763397371,0.218705763397371,0.281294236602629,0.281294236602629,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
JC+G,18,15578.084764009,15448.5670282571,-7706.24886718297,n/a,0.545802535190941,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY+I,22,15581.8913762474,15423.6097930084,-7689.75361445291,0.205667626275689,n/a,1.29891865738299,0.220525783619818,0.216885743174924,0.243579373104146,0.319009100101112,0.05,0.05,0.18,0.05,0.14,0.07,0.05,0.12,0.07,0.13,0.05,0.05
JC+G+I,19,15587.2840208596,15450.574712805,-7706.24885589594,0,0.545741801504858,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2+I,19,15611.4726211192,15474.7633130647,-7718.34315602574,0.206888284688529,n/a,1.28032686182546,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR,25,15737.5796941965,15557.7295009574,-7753.79885429054,n/a,n/a,1.15572617319852,0.220525783619818,0.216885743174924,0.243579373104146,0.319009100101112,0.03,0.07,0.12,0.03,0.18,0.05,0.06,0.16,0.11,0.08,0.03,0.08
TN93,22,15780.8700608219,15622.5884775829,-7789.24295674019,n/a,n/a,1.14929238070998,0.220525783619818,0.216885743174924,0.243579373104146,0.319009100101112,0.05,0.06,0.12,0.05,0.18,0.07,0.05,0.16,0.07,0.08,0.05,0.06
JC+I,18,15812.8337466855,15683.3160109336,-7823.62335852121,0.203006009043574,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,15819.0309415604,15682.3216335059,-7822.12231624636,n/a,n/a,1.12765981964383,0.218705763397371,0.218705763397371,0.281294236602629,0.281294236602629,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.12,0.07,0.12,0.05,0.07
HKY,21,15837.1273989532,15686.0361670314,-7821.97126551811,n/a,n/a,1.12668619361739,0.220525783619818,0.216885743174924,0.243579373104146,0.319009100101112,0.05,0.06,0.17,0.05,0.13,0.07,0.05,0.12,0.07,0.12,0.05,0.06
K2,18,15861.976924298,15732.4591885461,-7848.19494732745,n/a,n/a,1.11860079510471,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,16039.4234313496,15917.0976746482,-7941.51784056558,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
