Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+I,19,4197.08921988662,4085.68714649583,-2023.69853507998,0.362175009011472,n/a,1.05235335369728,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
K2+G+I,20,4197.73558783212,4080.48563701355,-2020.08245195466,0.335882206360935,3.16045249758231,1.12064584941278,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
T92+I,20,4201.72016865842,4084.47021783985,-2022.07474236781,0.36270580944021,n/a,1.08295777704334,0.221401515151515,0.221401515151515,0.278598484848485,0.278598484848485,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.12,0.07,0.12,0.05,0.07
T92+G+I,21,4201.94469129642,4078.84841435395,-2018.24773658874,0.337021017413682,3.07166917562605,1.1611713306072,0.221401515151515,0.221401515151515,0.278598484848485,0.278598484848485,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
K2+G,19,4205.4918888963,4094.08981550551,-2027.89986958482,n/a,0.490701378374075,1.19883642440922,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
TN93+I,23,4207.33696738601,4072.55269922341,-2013.06534043739,0.356312906751778,n/a,1.12813339304301,0.266287878787879,0.176515151515152,0.247348484848485,0.309848484848485,0.04,0.06,0.11,0.06,0.2,0.07,0.06,0.14,0.07,0.09,0.04,0.06
TN93+G+I,24,4207.96440304568,4067.3384733517,-2009.43979116916,0.328942574405319,3.1618536741766,1.21542975543152,0.266287878787879,0.176515151515152,0.247348484848485,0.309848484848485,0.04,0.05,0.1,0.06,0.21,0.07,0.06,0.15,0.07,0.09,0.04,0.05
T92+G,20,4209.95910496265,4092.70915414408,-2026.19421051992,n/a,0.475688437985967,1.24428107818193,0.221401515151515,0.221401515151515,0.278598484848485,0.278598484848485,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
GTR+G+I,27,4214.956305982,4056.81474945497,-2001.1179413431,0.312691786749377,2.27177828118274,1.23350646977489,0.266287878787879,0.176515151515152,0.247348484848485,0.309848484848485,0.06,0.07,0.1,0.09,0.21,0.03,0.08,0.15,0.05,0.09,0.02,0.04
TN93+G,23,4215.34680245712,4080.56253429451,-2017.07025797294,n/a,0.489227009084254,1.30412947768149,0.266287878787879,0.176515151515152,0.247348484848485,0.309848484848485,0.04,0.05,0.1,0.06,0.23,0.07,0.06,0.16,0.07,0.08,0.04,0.05
HKY+I,22,4217.84157385171,4088.90052386754,-2022.25691076831,0.363144505451202,n/a,1.14141596557344,0.266287878787879,0.176515151515152,0.247348484848485,0.309848484848485,0.04,0.06,0.16,0.06,0.13,0.07,0.06,0.09,0.07,0.14,0.04,0.06
GTR+I,26,4218.49073356905,4066.18615790223,-2006.8244222347,0.351748321252532,n/a,1.12356636896596,0.266287878787879,0.176515151515152,0.247348484848485,0.309848484848485,0.06,0.07,0.11,0.09,0.19,0.05,0.08,0.14,0.05,0.09,0.03,0.04
HKY+G+I,23,4218.64581311845,4083.86154495585,-2018.71976330361,0.339095791069907,3.14683829927131,1.23203938102793,0.266287878787879,0.176515151515152,0.247348484848485,0.309848484848485,0.04,0.06,0.17,0.06,0.13,0.07,0.06,0.1,0.07,0.14,0.04,0.06
JC+I,18,4223.44383009934,4117.89118366457,-2040.8151072844,0.360766131021558,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,4224.94554595124,4113.54347256045,-2037.62669811228,0.334306438658143,3.37303755008876,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY+G,22,4226.97333771872,4098.03228773455,-2026.82279270182,n/a,0.462196021674317,1.3288253222578,0.266287878787879,0.176515151515152,0.247348484848485,0.309848484848485,0.04,0.05,0.17,0.06,0.14,0.07,0.06,0.1,0.07,0.15,0.04,0.05
GTR+G,26,4228.05232346944,4075.74774780262,-2011.60521718489,n/a,0.510512996969378,1.0220592372832,0.266287878787879,0.176515151515152,0.247348484848485,0.309848484848485,0.06,0.08,0.1,0.09,0.19,0.07,0.09,0.13,0.04,0.09,0.04,0.03
JC+G,18,4232.41504314167,4126.86239670691,-2045.30071380557,n/a,0.505934301834502,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,4383.00663938654,4277.45399295178,-2120.59651192801,n/a,n/a,0.915950838541203,0.25,0.25,0.25,0.25,0.07,0.07,0.12,0.07,0.12,0.07,0.07,0.12,0.07,0.12,0.07,0.07
TN93,22,4386.88742879569,4257.94637881151,-2106.7798382403,n/a,n/a,0.940497871096645,0.266287878787879,0.176515151515152,0.247348484848485,0.309848484848485,0.04,0.06,0.1,0.07,0.18,0.08,0.07,0.13,0.08,0.08,0.04,0.06
GTR,25,4391.83977283151,4245.37374003971,-2097.438208964,n/a,n/a,0.934871720328248,0.266287878787879,0.176515151515152,0.247348484848485,0.309848484848485,0.05,0.09,0.1,0.08,0.18,0.05,0.1,0.13,0.06,0.08,0.03,0.05
T92,19,4392.41031100116,4281.00823761038,-2121.35908063725,n/a,n/a,0.92567608452421,0.221401515151515,0.221401515151515,0.278598484848485,0.278598484848485,0.06,0.07,0.13,0.06,0.13,0.07,0.06,0.11,0.07,0.11,0.06,0.07
JC,17,4404.27210655529,4304.57043483189,-2135.16851261045,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY,21,4409.77749764534,4286.68122070287,-2122.1641397632,n/a,n/a,0.914959333500705,0.266287878787879,0.176515151515152,0.247348484848485,0.309848484848485,0.05,0.07,0.15,0.07,0.12,0.08,0.07,0.08,0.08,0.13,0.05,0.07
