Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+I,19,2881.43804902624,2774.09387853997,-1367.86769398697,0.418673999332098,n/a,1.53993331794315,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+I,20,2883.66655282814,2770.69174407037,-1365.14766533391,0.419962946161368,n/a,1.55805303385252,0.234579439252336,0.234579439252336,0.265420560747664,0.265420560747664,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G+I,20,2887.93534492543,2774.96053616766,-1367.28206138255,0.396666284009467,5.85740998372492,1.59738541328107,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,2889.48479736983,2782.14062688356,-1371.89106815876,n/a,0.536958580859627,1.72960898483904,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+G+I,21,2890.04163380111,2771.43811115601,-1364.50092526639,0.397236396454106,5.54053063214738,1.62219003683905,0.234579439252336,0.234579439252336,0.265420560747664,0.265420560747664,0.04,0.05,0.16,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G,20,2891.54725604554,2778.57244728777,-1369.08801694261,n/a,0.526350807668596,1.76207209056962,0.234579439252336,0.234579439252336,0.265420560747664,0.265420560747664,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+I,22,2898.81447301194,2774.58416359072,-1365.0530643178,0.419211272701442,n/a,1.55107719285536,0.225233644859813,0.24392523364486,0.258878504672897,0.27196261682243,0.05,0.05,0.17,0.04,0.16,0.05,0.04,0.15,0.05,0.14,0.05,0.05
HKY+G+I,23,2905.12280556934,2775.26763921541,-1364.37295004249,0.395600863855085,5.38087111464404,1.61649654837568,0.225233644859813,0.24392523364486,0.258878504672897,0.27196261682243,0.05,0.05,0.17,0.04,0.16,0.05,0.04,0.15,0.05,0.14,0.05,0.05
HKY+G,22,2906.41723540416,2782.18692598294,-1368.85444551391,n/a,0.528957364873359,1.75411283981793,0.225233644859813,0.24392523364486,0.258878504672897,0.27196261682243,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.14,0.04,0.05
TN93+I,23,2906.41826484273,2776.5630984888,-1365.02067967918,0.419100554835129,n/a,1.55056974609725,0.225233644859813,0.24392523364486,0.258878504672897,0.27196261682243,0.05,0.05,0.16,0.04,0.16,0.05,0.04,0.15,0.05,0.13,0.05,0.05
