Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,10371.5948362722,10225.1384927685,-5091.51089831658,0.347651951439927,1.19384470168421,1.70629099266841,0.218136020151134,0.218136020151134,0.281863979848866,0.281863979848866,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,10373.1103247214,10233.6230276359,-5096.75847681831,n/a,0.396125508573106,1.74996091894219,0.218136020151134,0.218136020151134,0.281863979848866,0.281863979848866,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,10381.590698507,10214.2302640707,-5083.03932660261,0.354556233010512,1.25914539166757,1.75639221675608,0.222040302267003,0.214231738035264,0.281108312342569,0.282619647355164,0.04,0.05,0.13,0.04,0.23,0.05,0.04,0.18,0.05,0.1,0.04,0.05
TN93+G,23,10384.9172061036,10224.524293732,-5089.19241467802,n/a,0.395224648701737,1.80736598817393,0.222040302267003,0.214231738035264,0.281108312342569,0.282619647355164,0.04,0.05,0.13,0.04,0.23,0.05,0.04,0.18,0.05,0.1,0.04,0.05
HKY+G+I,23,10390.5348583417,10230.1419459701,-5092.00124079707,0.347828275507277,1.19403773838279,1.71014461112653,0.222040302267003,0.214231738035264,0.281108312342569,0.282619647355164,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G,22,10392.0635276147,10238.6386456182,-5097.25540971069,n/a,0.395868913734325,1.75445676094438,0.222040302267003,0.214231738035264,0.281108312342569,0.282619647355164,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G+I,27,10396.4479825166,10208.1880336754,-5076.99846577604,0.350413763584712,1.26545906613405,1.75764111161397,0.222040302267003,0.214231738035264,0.281108312342569,0.282619647355164,0.03,0.05,0.13,0.03,0.23,0.03,0.04,0.18,0.07,0.1,0.03,0.07
GTR+G,26,10399.3563825896,10218.0624297256,-5082.94250008964,n/a,0.405962090782511,1.79423195379646,0.222040302267003,0.214231738035264,0.281108312342569,0.282619647355164,0.03,0.05,0.13,0.03,0.23,0.03,0.04,0.18,0.07,0.11,0.02,0.07
K2+G+I,20,10415.8002853331,10276.3129882475,-5118.10345712414,0.348369880386089,1.30174372633767,1.59382854260362,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,10417.2936700811,10284.7759271465,-5123.33998377527,n/a,0.419295632371188,1.6287473983504,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+I,20,10419.1520459605,10279.6647488749,-5119.77933743783,0.457976668527712,n/a,1.50781489547741,0.218136020151134,0.218136020151134,0.281863979848866,0.281863979848866,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+I,23,10427.1018402194,10266.7089278478,-5110.28473173593,0.455948980255432,n/a,1.53282155899598,0.222040302267003,0.214231738035264,0.281108312342569,0.282619647355164,0.04,0.05,0.13,0.04,0.21,0.06,0.04,0.16,0.06,0.1,0.04,0.05
HKY+I,22,10438.1077442206,10284.6828622241,-5120.27751801363,0.458024845411643,n/a,1.50952667035203,0.222040302267003,0.214231738035264,0.281108312342569,0.282619647355164,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
