Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,23639.9905219324,23452.1131202606,-11702.0242586498,0.398353555384336,1.35402035217948,2.37539066206498,0.215591397849462,0.21241935483871,0.283655913978495,0.288333333333333,0.03,0.04,0.11,0.03,0.3,0.04,0.03,0.22,0.04,0.08,0.03,0.04
GTR+G+I,27,23657.749086469,23446.3957441366,-11696.1571656285,0.393838931368729,1.325344689894,2.37404129143079,0.215591397849462,0.21241935483871,0.283655913978495,0.288333333333333,0.02,0.04,0.11,0.02,0.3,0.03,0.03,0.22,0.05,0.08,0.03,0.05
TN93+G,23,23672.7756738942,23492.7240176456,-11723.3322930605,n/a,0.329939709843736,2.67750659266957,0.215591397849462,0.21241935483871,0.283655913978495,0.288333333333333,0.03,0.04,0.1,0.03,0.32,0.04,0.03,0.24,0.04,0.08,0.03,0.04
GTR+G,26,23687.8891281708,23484.3608834222,-11716.1426449093,n/a,0.335592646195868,2.63196778447804,0.215591397849462,0.21241935483871,0.283655913978495,0.288333333333333,0.02,0.04,0.1,0.02,0.32,0.03,0.03,0.24,0.05,0.08,0.02,0.05
T92+G+I,21,23720.968445921,23556.5689281144,-11757.2595959336,0.41832421543981,1.61369903247524,2.11677075859245,0.214005376344086,0.214005376344086,0.285994623655914,0.285994623655914,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.15,0.05,0.15,0.03,0.05
TN93+I,23,23738.1041047639,23558.0524485153,-11755.9965084954,0.475643624898629,n/a,1.88385101023396,0.215591397849462,0.21241935483871,0.283655913978495,0.288333333333333,0.04,0.05,0.12,0.04,0.25,0.05,0.04,0.19,0.05,0.09,0.04,0.05
HKY+G+I,23,23746.7776729168,23566.7260166682,-11760.3332925718,0.418314965313363,1.61283491457699,2.12146575662569,0.215591397849462,0.21241935483871,0.283655913978495,0.288333333333333,0.03,0.04,0.2,0.03,0.19,0.05,0.03,0.15,0.05,0.15,0.03,0.04
GTR+I,26,23755.94466068,23552.4164159314,-11750.1704111639,0.475634216227027,n/a,1.89966646932553,0.215591397849462,0.21241935483871,0.283655913978495,0.288333333333333,0.03,0.05,0.13,0.03,0.25,0.05,0.03,0.19,0.06,0.09,0.04,0.06
T92+G,20,23759.3657621941,23602.7926373365,-11781.3737125,n/a,0.351985113569724,2.21794879345691,0.214005376344086,0.214005376344086,0.285994623655914,0.285994623655914,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
HKY+G,22,23785.1751492989,23612.9494543504,-11784.4474891927,n/a,0.351944996895617,2.22333033927074,0.215591397849462,0.21241935483871,0.283655913978495,0.288333333333333,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
