Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,4644.00158338068,4504.64549641736,-2229.14949020491,n/a,0.373423801811983,2.46385599581649,0.279127725856698,0.178816199376947,0.219626168224299,0.322429906542056,0.02,0.03,0.09,0.04,0.31,0.04,0.04,0.25,0.04,0.08,0.02,0.03
T92+G+I,21,4646.51988690163,4519.25517325135,-2238.48266818151,0.373591593639719,1.20955094353224,2.0403363246919,0.228971962616822,0.228971962616822,0.271028037383178,0.271028037383178,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.15,0.04,0.15,0.04,0.04
T92+G,20,4647.43466173634,4526.21754287012,-2242.97706870693,n/a,0.336999546713964,2.25713958861493,0.228971962616822,0.228971962616822,0.271028037383178,0.271028037383178,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+G+I,24,4648.46003610928,4503.06017301335,-2227.34170346115,0.299887739758227,0.904926465431469,2.2530591399738,0.279127725856698,0.178816199376947,0.219626168224299,0.322429906542056,0.03,0.03,0.1,0.04,0.29,0.05,0.04,0.23,0.05,0.09,0.03,0.03
K2+G+I,20,4649.42596144579,4528.20884257956,-2243.97271856165,0.377141892536335,1.29966823511159,1.95417059351603,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,4650.84247735349,4535.67422376124,-2248.71798962357,n/a,0.349699754304325,2.13843194277821,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+G,26,4663.82110843788,4506.33752012686,-2226.94821340933,n/a,0.373242293557625,2.46179839339449,0.279127725856698,0.178816199376947,0.219626168224299,0.322429906542056,0.02,0.03,0.09,0.03,0.31,0.03,0.03,0.26,0.07,0.07,0.02,0.04
T92+I,20,4668.93059381942,4547.71347495319,-2253.72503474847,0.452349704387944,n/a,1.64591369287357,0.228971962616822,0.228971962616822,0.271028037383178,0.271028037383178,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G+I,27,4668.977546191,4505.45401120291,-2225.48941917782,0.296771799988238,0.905935894512373,2.23202767858674,0.279127725856698,0.178816199376947,0.219626168224299,0.322429906542056,0.02,0.03,0.1,0.03,0.29,0.05,0.03,0.24,0.06,0.08,0.03,0.04
K2+I,19,4669.94083752198,4554.77258392973,-2258.26716970781,0.451850527661022,n/a,1.61345514983268,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+G+I,23,4677.09614382433,4537.74005686101,-2245.69677042674,0.388682403521469,1.29628631835138,2.41901613660707,0.279127725856698,0.178816199376947,0.219626168224299,0.322429906542056,0.03,0.03,0.22,0.04,0.15,0.05,0.04,0.12,0.05,0.19,0.03,0.03
TN93+I,23,4678.72806169987,4539.37197473654,-2246.51272936451,0.44152419221495,n/a,1.69433072930515,0.279127725856698,0.178816199376947,0.219626168224299,0.322429906542056,0.03,0.04,0.13,0.05,0.21,0.06,0.05,0.17,0.06,0.11,0.03,0.04
HKY+G,22,4678.95064351075,4545.63960676229,-2250.66103337801,n/a,0.327650873892018,2.68877380686414,0.279127725856698,0.178816199376947,0.219626168224299,0.322429906542056,0.03,0.03,0.23,0.04,0.16,0.05,0.04,0.13,0.05,0.2,0.03,0.03
GTR+I,26,4696.89297930057,4539.40939098955,-2243.48414884067,0.442121964239163,n/a,1.68030405435398,0.279127725856698,0.178816199376947,0.219626168224299,0.322429906542056,0.02,0.03,0.13,0.04,0.21,0.08,0.04,0.17,0.07,0.11,0.04,0.05
HKY+I,22,4699.97297854771,4566.66194179926,-2261.17220089649,0.453947557537241,n/a,1.90364254057333,0.279127725856698,0.178816199376947,0.219626168224299,0.322429906542056,0.03,0.04,0.21,0.05,0.14,0.06,0.05,0.11,0.06,0.18,0.03,0.04
JC+G+I,19,4754.83862465899,4639.67037106674,-2300.71606327631,0.399276498733865,2.11919233626746,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,4760.42981988575,4651.31170086296,-2307.54867399776,n/a,0.419785465419656,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,4764.97721634563,4655.85909732283,-2309.8223722277,0.449098762459302,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,4923.14777004561,4789.83673329716,-2372.75959664544,n/a,n/a,1.37097011205091,0.279127725856698,0.178816199376947,0.219626168224299,0.322429906542056,0.04,0.04,0.09,0.06,0.23,0.07,0.06,0.19,0.07,0.08,0.04,0.04
GTR,25,4938.30131304989,4786.85894910408,-2368.22532882339,n/a,n/a,1.37579714923777,0.279127725856698,0.178816199376947,0.219626168224299,0.322429906542056,0.02,0.05,0.1,0.03,0.23,0.06,0.06,0.19,0.09,0.08,0.03,0.06
K2,18,4958.18739660684,4849.06927758405,-2406.42746235831,n/a,n/a,1.31011714060076,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92,19,4962.73855447441,4847.57030088216,-2404.66602818403,n/a,n/a,1.31177835892759,0.228971962616822,0.228971962616822,0.271028037383178,0.271028037383178,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
HKY,21,5002.29573938851,4875.03102573824,-2416.37059442495,n/a,n/a,1.30342777277135,0.279127725856698,0.178816199376947,0.219626168224299,0.322429906542056,0.04,0.05,0.18,0.06,0.12,0.07,0.06,0.1,0.07,0.15,0.04,0.05
