Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,15357.2663654289,15180.5528902559,-7566.22505326501,0.377951861881955,0.908019418416595,2.55548740147913,0.232307692307692,0.213589743589744,0.256837606837607,0.297264957264957,0.03,0.04,0.1,0.03,0.29,0.04,0.03,0.25,0.04,0.08,0.03,0.04
TN93+G,23,15372.8613993661,15203.5070375171,-7578.70624229399,n/a,0.28753437838777,2.81912142309354,0.232307692307692,0.213589743589744,0.256837606837607,0.297264957264957,0.03,0.03,0.1,0.03,0.31,0.04,0.03,0.26,0.04,0.08,0.03,0.03
GTR+G+I,27,15375.1058382061,15176.3170877263,-7561.09377347245,0.36855695211359,0.864152515190487,2.56506656956824,0.232307692307692,0.213589743589744,0.256837606837607,0.297264957264957,0.02,0.04,0.1,0.02,0.3,0.03,0.04,0.25,0.06,0.08,0.02,0.05
GTR+G,26,15388.5395441832,15197.1088746064,-7572.4942985214,n/a,0.289993042261273,2.79858499971463,0.232307692307692,0.213589743589744,0.256837606837607,0.297264957264957,0.02,0.04,0.1,0.02,0.31,0.02,0.04,0.26,0.05,0.08,0.02,0.05
T92+G+I,21,15392.5709030074,15237.9357996084,-7597.92833823546,0.392392925178288,0.972811878113888,2.25626634145825,0.222948717948718,0.222948717948718,0.277051282051282,0.277051282051282,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
T92+G,20,15411.8954669558,15264.6205085062,-7612.27429227004,n/a,0.297008450968696,2.3678644996409,0.222948717948718,0.222948717948718,0.277051282051282,0.277051282051282,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
HKY+G+I,23,15434.1899370788,15264.8355752298,-7609.37051115036,0.390549124800419,0.955445591008734,2.31404860637285,0.232307692307692,0.213589743589744,0.256837606837607,0.297264957264957,0.03,0.04,0.21,0.03,0.18,0.04,0.03,0.15,0.04,0.16,0.03,0.04
K2+G+I,20,15441.1099851666,15293.835026717,-7626.88155137546,0.400474135134631,1.11126864381602,2.09304344337797,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,15452.8285390306,15290.8336344691,-7623.37348418666,n/a,0.296581704906811,2.42368656537954,0.232307692307692,0.213589743589744,0.256837606837607,0.297264957264957,0.03,0.04,0.21,0.03,0.18,0.04,0.03,0.15,0.04,0.16,0.03,0.04
TN93+I,23,15460.8455208799,15291.491159031,-7622.69830305094,0.480506592475196,n/a,1.8384973478824,0.232307692307692,0.213589743589744,0.256837606837607,0.297264957264957,0.04,0.04,0.12,0.04,0.24,0.05,0.04,0.2,0.05,0.1,0.04,0.04
K2+G,19,15461.1775055267,15321.2630357249,-7641.59898361588,n/a,0.31531944034442,2.16407590884162,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+I,26,15478.6516086225,15287.2209390457,-7617.55033074105,0.480582220994696,n/a,1.85185166469629,0.232307692307692,0.213589743589744,0.256837606837607,0.297264957264957,0.03,0.04,0.12,0.03,0.24,0.05,0.03,0.2,0.07,0.1,0.03,0.06
T92+I,20,15490.2783478537,15343.0033894041,-7651.46573271899,0.486266955344001,n/a,1.79221347802518,0.222948717948718,0.222948717948718,0.277051282051282,0.277051282051282,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
