Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,4130.51979588931,4017.44016426557,-1989.58721499992,n/a,0.383490583877464,1.56799419222296,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,4135.2197221788,4016.20261974033,-1987.9544053581,0.280225227673759,0.870167727445471,1.50694093901123,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,20,4138.30749733605,4019.29039489758,-1989.49829293672,n/a,0.383154945829558,1.56953805645477,0.249652777777778,0.249652777777778,0.250347222222222,0.250347222222222,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G+I,21,4143.01367232,4018.06051829337,-1987.86860764214,0.280081529065288,0.86863867121089,1.50837056792855,0.249652777777778,0.249652777777778,0.250347222222222,0.250347222222222,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+G,22,4145.19354345955,4014.30575856158,-1984.97577042535,n/a,0.395909621578736,1.52523665420726,0.195138888888889,0.304166666666667,0.234027777777778,0.266666666666667,0.06,0.05,0.16,0.04,0.14,0.05,0.04,0.18,0.05,0.12,0.06,0.05
HKY+G+I,23,4150.81047069858,4013.98947713844,-1983.80146125829,0.25400833949134,0.802647049397596,1.47674619116762,0.195138888888889,0.304166666666667,0.234027777777778,0.266666666666667,0.06,0.05,0.16,0.04,0.14,0.05,0.04,0.18,0.05,0.12,0.06,0.05
TN93+G,23,4151.10231723836,4014.28132367822,-1983.94738452818,n/a,0.392508419506849,1.56106218567929,0.195138888888889,0.304166666666667,0.234027777777778,0.266666666666667,0.06,0.05,0.13,0.04,0.16,0.05,0.04,0.21,0.05,0.1,0.06,0.05
K2+I,19,4156.32274626016,4043.24311463643,-2002.48869018535,0.425913713506082,n/a,1.27006184146753,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
TN93+G+I,24,4156.90999775194,4014.15721923324,-1982.86845199841,0.245507617389536,0.769069178856513,1.50847448269395,0.195138888888889,0.304166666666667,0.234027777777778,0.266666666666667,0.06,0.05,0.13,0.04,0.16,0.05,0.04,0.21,0.05,0.1,0.06,0.05
T92+I,20,4164.16811890166,4045.15101646319,-2002.42860371953,0.425949615805589,n/a,1.27073754111101,0.249652777777778,0.249652777777778,0.250347222222222,0.250347222222222,0.05,0.06,0.14,0.05,0.14,0.06,0.05,0.14,0.06,0.14,0.05,0.06
