Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,12487.7366426308,12350.4417090675,-6155.16169127133,n/a,0.63799623326283,1.30942367900654,0.2125,0.2125,0.2875,0.2875,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
T92+G+I,21,12494.8341963039,12350.6804507262,-6154.2751366057,0.0989657123522022,0.912834921539177,1.29193178745984,0.2125,0.2125,0.2875,0.2875,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
HKY+G,22,12500.4759604064,12349.4639697724,-6152.66068715475,n/a,0.655738933817681,1.29043979460985,0.184129213483146,0.240870786516854,0.263623595505618,0.311376404494382,0.05,0.06,0.18,0.04,0.15,0.07,0.04,0.14,0.07,0.11,0.05,0.06
HKY+G+I,23,12507.5393547966,12349.6696863041,-6151.75705284765,0.0995796897797099,0.946077993270475,1.27238807485425,0.184129213483146,0.240870786516854,0.263623595505618,0.311376404494382,0.05,0.06,0.18,0.04,0.15,0.07,0.04,0.14,0.07,0.1,0.05,0.06
TN93+G,23,12509.3073359183,12351.4376674258,-6152.6410434085,n/a,0.655226749323198,1.29169265739713,0.184129213483146,0.240870786516854,0.263623595505618,0.311376404494382,0.05,0.06,0.18,0.04,0.15,0.07,0.04,0.14,0.07,0.1,0.05,0.06
TN93+G+I,24,12516.2950784174,12351.568299504,-6151.6995831558,0.101474442762133,0.952765894229578,1.27434125413653,0.184129213483146,0.240870786516854,0.263623595505618,0.311376404494382,0.05,0.06,0.17,0.04,0.15,0.07,0.04,0.14,0.07,0.1,0.05,0.06
GTR+G,26,12527.5495994031,12349.1103029212,-6148.4561806443,n/a,0.666916833126608,1.29543896670946,0.184129213483146,0.240870786516854,0.263623595505618,0.311376404494382,0.04,0.08,0.18,0.03,0.15,0.06,0.05,0.14,0.07,0.1,0.04,0.06
GTR+G+I,27,12534.8454517638,12349.5507486144,-6147.66877532244,0.0942696335002223,0.940394067779183,1.28046515855914,0.184129213483146,0.240870786516854,0.263623595505618,0.311376404494382,0.04,0.07,0.17,0.03,0.15,0.06,0.05,0.14,0.07,0.1,0.04,0.06
K2+G,19,12551.2007490577,12420.7651942275,-6191.329075987,n/a,0.685511383686009,1.22757637017959,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+G+I,20,12557.3229581839,12420.0280246206,-6189.95484904789,0.113686314239003,1.06086259136881,1.20833970788311,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
T92+I,20,12594.6969621671,12457.4020286039,-6208.64185103951,0.2426261359595,n/a,1.10460827137354,0.2125,0.2125,0.2875,0.2875,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
HKY+I,22,12604.0896842911,12453.077693657,-6204.46754909706,0.240861444115076,n/a,1.09378710397357,0.184129213483146,0.240870786516854,0.263623595505618,0.311376404494382,0.06,0.06,0.17,0.04,0.14,0.07,0.04,0.13,0.07,0.1,0.06,0.06
TN93+I,23,12612.5049114531,12454.6352429605,-6204.23983117588,0.240988504640175,n/a,1.09687436071793,0.184129213483146,0.240870786516854,0.263623595505618,0.311376404494382,0.06,0.06,0.16,0.04,0.14,0.07,0.04,0.13,0.07,0.09,0.06,0.06
GTR+I,26,12630.8699350089,12452.430638527,-6200.11634844719,0.239937398369438,n/a,1.10466857225563,0.184129213483146,0.240870786516854,0.263623595505618,0.311376404494382,0.04,0.07,0.16,0.03,0.15,0.06,0.05,0.13,0.08,0.09,0.05,0.07
K2+I,19,12643.3171780061,12512.8816231759,-6237.38729046117,0.241745251126511,n/a,1.06542646767939,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G,18,12666.109404366,12542.5337947481,-6253.21873514337,n/a,0.715301599076794,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,12672.2298345726,12541.7942797424,-6251.84361874443,0.114529510119307,1.12658681759917,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,12750.1335033106,12626.5578936926,-6295.23078461564,0.240275518674481,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY,21,12943.3658594537,12799.2121138759,-6378.54096818057,n/a,n/a,0.97600384639959,0.184129213483146,0.240870786516854,0.263623595505618,0.311376404494382,0.06,0.07,0.16,0.05,0.13,0.08,0.05,0.12,0.08,0.09,0.06,0.07
T92,19,12946.8795324899,12816.4439776597,-6389.16846770308,n/a,n/a,0.970790612008469,0.2125,0.2125,0.2875,0.2875,0.05,0.07,0.14,0.05,0.14,0.07,0.05,0.11,0.07,0.11,0.05,0.07
TN93,22,12951.1799312087,12800.1679405746,-6378.01267255587,n/a,n/a,0.976055462426076,0.184129213483146,0.240870786516854,0.263623595505618,0.311376404494382,0.06,0.07,0.16,0.05,0.13,0.08,0.05,0.12,0.08,0.1,0.06,0.07
GTR,25,12955.1300214159,12783.5466997594,-6366.68172315289,n/a,n/a,0.97812216655065,0.184129213483146,0.240870786516854,0.263623595505618,0.311376404494382,0.04,0.08,0.16,0.03,0.13,0.06,0.06,0.12,0.09,0.1,0.05,0.08
K2,18,12977.570491307,12853.994881689,-6408.94927861385,n/a,n/a,0.960659170531764,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
JC,17,13070.5496130579,12953.8345148921,-6459.87417099151,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
