Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,11287.7925164383,11115.4753682187,-5533.67598745125,0.427630351243549,0.444226180710425,4.0894507844405,0.230974358974359,0.250564102564103,0.259076923076923,0.259384615384615,0.02,0.03,0.1,0.02,0.31,0.03,0.02,0.3,0.03,0.09,0.02,0.03
GTR+G+I,27,11299.5533256503,11105.7132399773,-5525.77885821125,0.429862237862898,0.464528557328234,4.01235704988101,0.230974358974359,0.250564102564103,0.259076923076923,0.259384615384615,0.01,0.03,0.1,0.01,0.31,0.02,0.03,0.3,0.04,0.09,0.02,0.04
TN93+G,23,11303.8264681084,11138.6844593154,-5546.28547456827,n/a,0.153007711005031,5.36107509055352,0.230974358974359,0.250564102564103,0.259076923076923,0.259384615384615,0.02,0.02,0.1,0.02,0.33,0.02,0.02,0.32,0.02,0.09,0.02,0.02
T92+G+I,21,11306.0329562036,11155.2424659124,-5556.57374117987,0.476761250002225,0.592154077413774,3.32139511541207,0.240769230769231,0.240769230769231,0.259230769230769,0.259230769230769,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.19,0.03,0.19,0.03,0.03
K2+G+I,20,11312.6001521326,11168.9860406615,-5564.44985042636,0.481487664493401,0.625156858328976,3.20646749349912,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
HKY+G+I,23,11313.3904817687,11148.2484729758,-5551.06748139846,0.472803240142718,0.574283190349581,3.33637951203273,0.230974358974359,0.250564102564103,0.259076923076923,0.259384615384615,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.19,0.03,0.18,0.03,0.03
GTR+G,26,11315.4850103337,11128.8188235465,-5538.33721183494,n/a,0.166328237269337,4.99431575983501,0.230974358974359,0.250564102564103,0.259076923076923,0.259384615384615,0,0.03,0.08,0,0.35,0.01,0.02,0.33,0.04,0.07,0.01,0.04
T92+G,20,11328.434788892,11184.8206774209,-5572.36716880606,n/a,0.142875544386365,5.33711992709121,0.240769230769231,0.240769230769231,0.259230769230769,0.259230769230769,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0.2,0.02,0.2,0.02,0.02
HKY+G,22,11335.0009338394,11177.0344777318,-5566.46521871578,n/a,0.142600405880779,5.3185282089466,0.230974358974359,0.250564102564103,0.259076923076923,0.259384615384615,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0.21,0.02,0.19,0.02,0.02
K2+G,19,11337.8484050296,11201.4110852552,-5581.6664881569,n/a,0.14706870050937,5.06995170085719,0.25,0.25,0.25,0.25,0.02,0.02,0.21,0.02,0.21,0.02,0.02,0.21,0.02,0.21,0.02,0.02
TN93+I,23,11386.7416675208,11221.5996587279,-5587.74307427452,0.589110235943365,n/a,2.10094972785142,0.230974358974359,0.250564102564103,0.259076923076923,0.259384615384615,0.04,0.04,0.13,0.04,0.22,0.04,0.04,0.21,0.04,0.12,0.04,0.04
T92+I,20,11388.6463367047,11245.0322252336,-5602.47294271241,0.59108777485683,n/a,2.11934712228225,0.240769230769231,0.240769230769231,0.259230769230769,0.259230769230769,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+I,26,11390.3792016187,11203.7130148315,-5575.78430747747,0.587738932839549,n/a,2.14227857534414,0.230974358974359,0.250564102564103,0.259076923076923,0.259384615384615,0.02,0.03,0.13,0.02,0.22,0.05,0.03,0.21,0.06,0.12,0.05,0.06
K2+I,19,11392.7159272349,11256.2786074605,-5609.10024925954,0.590831304578368,n/a,2.09571601760505,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,11397.9710628953,11240.0046067877,-5597.95028324375,0.591109019019839,n/a,2.11079268891075,0.230974358974359,0.250564102564103,0.259076923076923,0.259384615384615,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.16,0.04,0.04
JC+G+I,19,11718.6062279439,11582.1689081695,-5772.04539961403,0.557090425763595,2.21454326409069,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,11749.925966444,11620.6658511153,-5792.29778014609,0.588802536520853,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,11752.979950666,11623.7198353373,-5793.82477225705,n/a,0.238820417154296,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,12511.2067908773,12331.714916617,-6140.79061338874,n/a,n/a,1.38928621006698,0.230974358974359,0.250564102564103,0.259076923076923,0.259384615384615,0.05,0.04,0.11,0.04,0.19,0.05,0.03,0.18,0.08,0.1,0.05,0.08
TN93,22,12512.8573387378,12354.8908826302,-6155.39342116501,n/a,n/a,1.60617151961777,0.230974358974359,0.250564102564103,0.259076923076923,0.259384615384615,0.05,0.05,0.11,0.04,0.21,0.05,0.04,0.2,0.05,0.1,0.05,0.05
K2,18,12540.0824122825,12410.8222969538,-6187.37600306531,n/a,n/a,1.595001058914,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,12545.4989959429,12409.0616761685,-6185.49178361353,n/a,n/a,1.59565423936015,0.240769230769231,0.240769230769231,0.259230769230769,0.259230769230769,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY,21,12556.1608603873,12405.3703700961,-6181.63769327175,n/a,n/a,1.59661206245012,0.230974358974359,0.250564102564103,0.259076923076923,0.259384615384615,0.05,0.05,0.16,0.04,0.16,0.05,0.04,0.15,0.05,0.14,0.05,0.05
JC,17,12844.4925769499,12722.4100786888,-6344.17359668104,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
