Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,12477.5894157018,12326.5195230761,-6142.21289604811,0.411148412822394,1.32369941820139,1.73270620775615,0.212904858299595,0.212904858299595,0.287095141700405,0.287095141700405,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,12484.8006655828,12312.1640042062,-6132.02111930251,0.412136586410692,1.33678423521253,1.8055373008916,0.21831983805668,0.20748987854251,0.273481781376518,0.300708502024292,0.04,0.05,0.13,0.04,0.24,0.05,0.04,0.18,0.05,0.1,0.04,0.05
T92+G,20,12493.1019041409,12349.2217496649,-6154.56827416303,n/a,0.327163931190873,1.77590820404485,0.212904858299595,0.212904858299595,0.287095141700405,0.287095141700405,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G+I,27,12498.3062767855,12304.1065178118,-6124.97652321773,0.407854149589285,1.36611948887156,1.63596317281257,0.21831983805668,0.20748987854251,0.273481781376518,0.300708502024292,0.03,0.06,0.14,0.04,0.22,0.03,0.05,0.17,0.07,0.1,0.02,0.06
GTR+G,26,12500.0717853617,12313.059317474,-6130.45841140119,n/a,0.323920130392947,1.85014396528405,0.21831983805668,0.20748987854251,0.273481781376518,0.300708502024292,0.01,0.07,0.13,0.01,0.25,0.03,0.06,0.19,0.07,0.1,0.02,0.06
TN93+G,23,12500.4182651042,12334.9701189041,-6144.42905295855,n/a,0.319782871962318,1.87181454898144,0.21831983805668,0.20748987854251,0.273481781376518,0.300708502024292,0.04,0.05,0.13,0.04,0.25,0.05,0.04,0.19,0.05,0.1,0.04,0.05
HKY+G+I,23,12502.6917820883,12337.2436358883,-6145.56581145064,0.409276881806667,1.29855991886761,1.73975352559578,0.21831983805668,0.20748987854251,0.273481781376518,0.300708502024292,0.04,0.05,0.19,0.04,0.17,0.05,0.04,0.13,0.05,0.14,0.04,0.05
HKY+G,22,12517.6197034712,12359.3604802295,-6157.62890603744,n/a,0.326431253209227,1.78431323114293,0.21831983805668,0.20748987854251,0.273481781376518,0.300708502024292,0.04,0.05,0.19,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.04,0.05
T92+I,20,12526.618776287,12382.738621811,-6171.32671023608,0.482776230866907,n/a,1.49785084664495,0.212904858299595,0.212904858299595,0.287095141700405,0.287095141700405,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+I,23,12535.359448079,12369.9113018789,-6161.89964444594,0.481043601388966,n/a,1.53151388063636,0.21831983805668,0.20748987854251,0.273481781376518,0.300708502024292,0.04,0.05,0.14,0.04,0.21,0.06,0.04,0.16,0.06,0.1,0.04,0.05
K2+G+I,20,12538.3378443721,12394.4576898962,-6177.18624427864,0.416894205777869,1.54137391270733,1.60450305682829,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,12552.6403907354,12394.3811674937,-6175.13924966953,0.482637852064772,n/a,1.49658397920533,0.21831983805668,0.20748987854251,0.273481781376518,0.300708502024292,0.04,0.05,0.18,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
K2+G,19,12554.3156903703,12417.6256814537,-6189.77430117311,n/a,0.346360497480545,1.63739355361415,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
GTR+I,26,12559.0479836486,12372.035515761,-6159.94651054465,0.48059216223934,n/a,1.36934386497588,0.21831983805668,0.20748987854251,0.273481781376518,0.300708502024292,0.04,0.06,0.14,0.05,0.19,0.04,0.05,0.15,0.08,0.1,0.03,0.07
K2+I,19,12577.7302893601,12441.0402804435,-6201.48160066802,0.481763855780558,n/a,1.44127855609632,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,12760.9138974333,12624.2238885167,-6293.07340470462,0.426123325259043,2.02325140235466,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,12778.0456605442,12648.5462044727,-6306.23842015542,n/a,0.370574355678389,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,12785.9019694108,12656.4025133393,-6310.16657458873,0.479374591487739,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,13276.9831428037,13140.2931338871,-6551.10802738982,n/a,n/a,1.20427934481361,0.212904858299595,0.212904858299595,0.287095141700405,0.287095141700405,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
GTR,25,13285.9670329531,13106.142264306,-6528.00516909229,n/a,n/a,1.0749562211059,0.21831983805668,0.20748987854251,0.273481781376518,0.300708502024292,0.04,0.08,0.14,0.04,0.17,0.05,0.06,0.13,0.09,0.1,0.03,0.08
TN93,22,13289.6243773082,13131.3651540665,-6543.63124295596,n/a,n/a,1.20935660398761,0.21831983805668,0.20748987854251,0.273481781376518,0.300708502024292,0.05,0.06,0.14,0.05,0.18,0.07,0.05,0.14,0.07,0.1,0.05,0.06
K2,18,13295.8821756065,13166.382719535,-6565.15667768659,n/a,n/a,1.20022994676233,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
HKY,21,13300.9853671237,13149.915474498,-6553.91087175906,n/a,n/a,1.20335889636623,0.21831983805668,0.20748987854251,0.273481781376518,0.300708502024292,0.05,0.06,0.17,0.05,0.15,0.07,0.05,0.11,0.07,0.12,0.05,0.06
JC,17,13475.5196667368,13353.2111706722,-6659.57455714708,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
