Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
HKY+G+I,23,10166.2448801344,10002.7232594893,-4978.30074291473,0.4320986934618,0.822030995568237,2.0064396741456,0.168976897689769,0.271947194719472,0.256215621562156,0.302860286028603,0.04,0.04,0.2,0.03,0.17,0.05,0.03,0.18,0.05,0.11,0.04,0.04
TN93+G+I,24,10166.7453570771,9996.11940986025,-4973.99351629251,0.430187050501954,0.823577230660937,2.04569135490059,0.168976897689769,0.271947194719472,0.256215621562156,0.302860286028603,0.04,0.04,0.16,0.03,0.21,0.05,0.03,0.22,0.05,0.09,0.04,0.04
HKY+G,22,10172.2805850621,10015.863734488,-4985.87606047218,n/a,0.26082647268513,2.0051245929789,0.168976897689769,0.271947194719472,0.256215621562156,0.302860286028603,0.04,0.04,0.2,0.03,0.17,0.05,0.03,0.18,0.05,0.11,0.04,0.04
TN93+G,23,10173.0676443802,10009.5460237351,-4981.71212503762,n/a,0.262233890959666,2.05419765170846,0.168976897689769,0.271947194719472,0.256215621562156,0.302860286028603,0.04,0.04,0.16,0.03,0.21,0.05,0.03,0.22,0.05,0.09,0.04,0.04
GTR+G+I,27,10178.6195155571,9986.68325108838,-4966.25820025176,0.425812692362595,0.854536554056472,2.07186317937575,0.168976897689769,0.271947194719472,0.256215621562156,0.302860286028603,0.03,0.04,0.16,0.02,0.21,0.04,0.03,0.23,0.08,0.09,0.03,0.06
GTR+G,26,10182.6604564397,9997.82718716409,-4972.83613578662,n/a,0.27180870755453,2.07307278143942,0.168976897689769,0.271947194719472,0.256215621562156,0.302860286028603,0.03,0.04,0.15,0.02,0.21,0.03,0.03,0.23,0.08,0.09,0.03,0.07
T92+G+I,21,10206.3818149329,10057.0701777821,-5007.48414050113,0.457259612746246,0.957172494265085,2.02755417443288,0.22046204620462,0.22046204620462,0.27953795379538,0.27953795379538,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G,20,10214.089889396,10071.8839088745,-5015.89564282627,n/a,0.260700746862551,2.02349224721661,0.22046204620462,0.22046204620462,0.27953795379538,0.27953795379538,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+I,22,10220.2456211949,10063.8287706207,-5009.85857853856,0.558195669895684,n/a,1.66852487612305,0.168976897689769,0.271947194719472,0.256215621562156,0.302860286028603,0.05,0.05,0.19,0.03,0.16,0.06,0.03,0.17,0.06,0.11,0.05,0.05
TN93+I,23,10221.2914036709,10057.7697830258,-5005.82400468298,0.556531162804906,n/a,1.67157566731759,0.168976897689769,0.271947194719472,0.256215621562156,0.302860286028603,0.05,0.05,0.16,0.03,0.19,0.06,0.03,0.2,0.06,0.09,0.05,0.05
GTR+I,26,10230.9815827331,10046.1483134575,-4996.99669893332,0.554649431614386,n/a,1.73594888172059,0.168976897689769,0.271947194719472,0.256215621562156,0.302860286028603,0.03,0.04,0.16,0.02,0.19,0.05,0.03,0.2,0.08,0.09,0.04,0.07
T92+I,20,10253.4831472818,10111.2771667604,-5035.59227176919,0.561239860855245,n/a,1.72374187373397,0.22046204620462,0.22046204620462,0.27953795379538,0.27953795379538,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2+G+I,20,10254.9434744709,10112.7374939494,-5036.32243536371,0.463520477547215,1.11666865000294,1.8401868962799,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,10261.3392251355,10126.2393443025,-5044.07777578963,n/a,0.276644566264522,1.83961361124051,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+I,19,10294.3530670044,10159.2531861714,-5060.58469672406,0.558667563138319,n/a,1.6220379339596,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,10475.4612295492,10340.3613487162,-5151.13877799647,0.487807828306567,1.62310451075967,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10480.3841515245,10352.3908132927,-5158.1577040777,n/a,0.292525729641824,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10500.4378692828,10372.444531051,-5168.18456295687,0.55660699692943,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,10901.9254699649,10724.1956398222,-5337.0261076428,n/a,n/a,1.20717313241327,0.168976897689769,0.271947194719472,0.256215621562156,0.302860286028603,0.05,0.05,0.14,0.03,0.16,0.04,0.03,0.17,0.1,0.08,0.04,0.09
TN93,22,10919.3735704997,10762.9567199256,-5359.42255319097,n/a,n/a,1.37391463944266,0.168976897689769,0.271947194719472,0.256215621562156,0.302860286028603,0.06,0.05,0.14,0.04,0.18,0.06,0.04,0.19,0.06,0.08,0.06,0.05
HKY,21,10927.5437955495,10778.2321583988,-5368.06513080946,n/a,n/a,1.37087115655633,0.168976897689769,0.271947194719472,0.256215621562156,0.302860286028603,0.06,0.05,0.18,0.04,0.15,0.06,0.04,0.16,0.06,0.1,0.06,0.05
T92,19,10982.5354261989,10847.4355453659,-5404.6758763213,n/a,n/a,1.36636466606105,0.22046204620462,0.22046204620462,0.27953795379538,0.27953795379538,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2,18,10983.2544823675,10855.2611441357,-5409.59286949922,n/a,n/a,1.3582043694312,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
