Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,9697.78820490045,9528.98172783598,-4740.41947783828,0.355574319945697,0.572681050194659,3.40740387690382,0.243179122182681,0.236180308422301,0.259549228944247,0.261091340450771,0.03,0.03,0.08,0.03,0.33,0.03,0.03,0.3,0.03,0.07,0.03,0.03
TN93+G,23,9700.94360766143,9539.16524524941,-4746.51695524426,n/a,0.250145674304453,3.5927252533298,0.243179122182681,0.236180308422301,0.259549228944247,0.261091340450771,0.03,0.03,0.07,0.03,0.34,0.03,0.03,0.31,0.03,0.07,0.03,0.03
GTR+G+I,27,9719.15931789268,9529.27136966885,-4737.5457062579,0.358163844977565,0.599499863988669,3.34507835486755,0.243179122182681,0.236180308422301,0.259549228944247,0.261091340450771,0.02,0.03,0.08,0.02,0.32,0.02,0.03,0.29,0.04,0.07,0.02,0.04
GTR+G,26,9721.57843574602,9538.71716560471,-4743.27504121007,n/a,0.25692616339225,3.486515205228,0.243179122182681,0.236180308422301,0.259549228944247,0.261091340450771,0.02,0.03,0.08,0.02,0.33,0.02,0.03,0.3,0.04,0.07,0.02,0.04
T92+G+I,21,9739.33395400528,9591.61325627214,-4774.75168046718,0.447503469882231,0.912782920219064,2.77916480434549,0.239679715302491,0.239679715302491,0.260320284697509,0.260320284697509,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G+I,20,9741.00982984815,9600.31868180004,-4780.10939441411,0.449417551201997,0.952462778638587,2.70411735259708,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+G,20,9745.28638887915,9604.59524083104,-4782.24767392961,n/a,0.260973825237071,2.78146695389802,0.239679715302491,0.239679715302491,0.260320284697509,0.260320284697509,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G,19,9746.25238280834,9612.59126244821,-4787.25044691971,n/a,0.264960245605782,2.70901964108355,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
HKY+G+I,23,9760.54440422401,9598.76604181199,-4776.31735352555,0.448207567339711,0.915050879672526,2.79405882807874,0.243179122182681,0.236180308422301,0.259549228944247,0.261091340450771,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.17,0.03,0.18,0.03,0.03
HKY+G,22,9766.63917533294,9611.88940608828,-4783.88451510552,n/a,0.260681582195861,2.79732051388835,0.243179122182681,0.236180308422301,0.259549228944247,0.261091340450771,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.17,0.03,0.18,0.03,0.03
TN93+I,23,9775.27275757398,9613.49439516196,-4783.68153020054,0.545509529769763,n/a,2.19498869363145,0.243179122182681,0.236180308422301,0.259549228944247,0.261091340450771,0.04,0.04,0.11,0.04,0.25,0.04,0.04,0.22,0.04,0.11,0.04,0.04
T92+I,20,9789.4943202901,9648.80317224199,-4804.35163963509,0.555364797552946,n/a,2.23451535351792,0.239679715302491,0.239679715302491,0.260320284697509,0.260320284697509,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,9789.62106441979,9655.95994405966,-4808.93478772543,0.554656174779303,n/a,2.20319351787735,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+I,26,9793.43029587074,9610.56902572942,-4779.20097127242,0.54394445177522,n/a,2.23381261826962,0.243179122182681,0.236180308422301,0.259549228944247,0.261091340450771,0.03,0.04,0.11,0.03,0.25,0.04,0.04,0.22,0.05,0.11,0.03,0.05
HKY+I,22,9810.52605844372,9655.77628919906,-4805.82795666091,0.555449184050003,n/a,2.24471265309842,0.243179122182681,0.236180308422301,0.259549228944247,0.261091340450771,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.17,0.04,0.04
JC+G+I,19,10107.233453112,9973.57233275185,-4967.74098207152,0.48778339838406,1.78142592292641,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10113.5409575196,9986.91034267995,-4975.41451030086,n/a,0.303889751712444,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10131.5900699531,10004.9594551134,-4984.43906651757,0.55075580831999,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,10429.0869834164,10274.3372141717,-5115.10841914724,n/a,n/a,1.79767629870547,0.243179122182681,0.236180308422301,0.259549228944247,0.261091340450771,0.04,0.05,0.09,0.04,0.24,0.05,0.04,0.22,0.05,0.09,0.04,0.05
GTR,25,10439.2761387676,10263.4420257364,-5106.64366874637,n/a,n/a,1.58418996098059,0.243179122182681,0.236180308422301,0.259549228944247,0.261091340450771,0.04,0.05,0.09,0.04,0.23,0.04,0.04,0.21,0.07,0.09,0.03,0.07
K2,18,10497.0414801501,10370.4108653104,-5167.16477161609,n/a,n/a,1.76253048362147,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92,19,10506.7449401654,10373.0838198052,-5167.49672559822,n/a,n/a,1.76221927301046,0.239679715302491,0.239679715302491,0.260320284697509,0.260320284697509,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY,21,10528.8350608378,10381.1143631047,-5169.50223388346,n/a,n/a,1.76178918044167,0.243179122182681,0.236180308422301,0.259549228944247,0.261091340450771,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.16,0.04,0.05
JC,17,10796.6036505347,10677.0040188775,-5321.4656328339,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
