Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,11916.0628729466,11721.7260439315,-5833.78667375327,0.482656111045787,1.77128136246671,1.92619900761924,0.204128902316214,0.219436052366566,0.274420946626385,0.302014098690836,0.01,0.06,0.14,0.01,0.25,0.04,0.04,0.2,0.08,0.09,0.03,0.07
T92+G+I,21,11926.8965384845,11775.72016556,-5866.81345379332,0.502316495774319,2.06663509646285,1.89957972680689,0.21178247734139,0.21178247734139,0.28821752265861,0.28821752265861,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,11930.8664398175,11758.1080125825,-5854.9934308243,0.483188748376584,1.61891101300143,1.98772214538219,0.204128902316214,0.219436052366566,0.274420946626385,0.302014098690836,0.04,0.05,0.14,0.03,0.25,0.05,0.03,0.2,0.05,0.09,0.04,0.05
GTR+G,26,11939.1967738656,11752.0523394022,-5849.95528209129,n/a,0.297443626775413,2.03448561666991,0.204128902316214,0.219436052366566,0.274420946626385,0.302014098690836,0.01,0.06,0.13,0.01,0.26,0.03,0.04,0.21,0.08,0.09,0.02,0.07
GTR+I,26,11942.45454615,11755.3101116867,-5851.58416823351,0.537184705424301,n/a,1.69904691487936,0.204128902316214,0.219436052366566,0.274420946626385,0.302014098690836,0.01,0.06,0.15,0.01,0.22,0.05,0.04,0.17,0.08,0.1,0.03,0.08
HKY+G+I,23,11947.1222504254,11781.557435621,-5867.72299400676,0.500100085382965,1.99153158917039,1.90827544373688,0.204128902316214,0.219436052366566,0.274420946626385,0.302014098690836,0.04,0.05,0.2,0.03,0.18,0.05,0.03,0.15,0.05,0.14,0.04,0.05
T92+I,20,11950.2106792931,11806.2291355723,-5883.07218207616,0.541662871818349,n/a,1.67312020923974,0.21178247734139,0.21178247734139,0.28821752265861,0.28821752265861,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+G,23,11953.7751719833,11788.2103571789,-5871.04945478568,n/a,0.279718093465464,2.21673482183845,0.204128902316214,0.219436052366566,0.274420946626385,0.302014098690836,0.03,0.04,0.12,0.03,0.27,0.05,0.03,0.22,0.05,0.08,0.03,0.04
T92+G,20,11956.7744252957,11812.7928815748,-5886.35405507745,n/a,0.285775559258166,1.99775234457859,0.21178247734139,0.21178247734139,0.28821752265861,0.28821752265861,0.03,0.05,0.19,0.03,0.19,0.05,0.03,0.14,0.05,0.14,0.03,0.05
TN93+I,23,11963.4227966258,11797.8579818215,-5875.87326710697,0.538781949512309,n/a,1.66198894528749,0.204128902316214,0.219436052366566,0.274420946626385,0.302014098690836,0.04,0.05,0.15,0.04,0.21,0.06,0.04,0.17,0.06,0.1,0.04,0.05
HKY+I,22,11971.9442149974,11813.5734183375,-5884.73563417129,0.541305313558033,n/a,1.67202554055422,0.204128902316214,0.219436052366566,0.274420946626385,0.302014098690836,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.14,0.06,0.13,0.04,0.05
