Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,3362.33990740708,3246.63973752252,-1604.20401510272,n/a,0.251898149800674,1.93105688856349,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,3366.99416174035,3245.21678245457,-1602.48030339563,0.504424453511678,1.14097279356219,1.9545610555387,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,3370.02711227109,3248.24973298531,-1603.996778661,n/a,0.251061027154321,1.93884432652069,0.246818181818182,0.246818181818182,0.253181818181818,0.253181818181818,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+I,19,3370.2934685391,3254.59329865453,-1608.18079566873,0.607816772294713,n/a,1.77511011390533,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+G+I,21,3374.62802563069,3246.77467212878,-1602.24639646707,0.505839313061909,1.14565148893454,1.96329245774503,0.246818181818182,0.246818181818182,0.253181818181818,0.253181818181818,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+I,20,3377.87495156544,3256.09757227966,-1607.92069830818,0.608155852927824,n/a,1.78261455661065,0.246818181818182,0.246818181818182,0.253181818181818,0.253181818181818,0.04,0.05,0.16,0.04,0.16,0.05,0.04,0.16,0.05,0.16,0.04,0.05
TN93+G,23,3382.39070507801,3242.38911322355,-1598.02605844328,n/a,0.255282251811435,2.01203508976186,0.233030303030303,0.260606060606061,0.23030303030303,0.276060606060606,0.04,0.04,0.12,0.04,0.21,0.05,0.04,0.24,0.05,0.1,0.04,0.04
HKY+G,22,3382.5055216268,3248.57743022461,-1602.1343055914,n/a,0.24974171581228,1.96852574013433,0.233030303030303,0.260606060606061,0.23030303030303,0.276060606060606,0.04,0.04,0.18,0.04,0.15,0.05,0.04,0.17,0.05,0.15,0.04,0.04
HKY+G+I,23,3387.20245568255,3247.20086382809,-1600.43193374555,0.504007102498757,1.1214604157996,1.99346573877043,0.233030303030303,0.260606060606061,0.23030303030303,0.276060606060606,0.04,0.04,0.18,0.04,0.15,0.05,0.04,0.17,0.05,0.16,0.04,0.04
TN93+G+I,24,3387.77771226686,3241.70385854169,-1596.66872316397,0.422363758151649,0.720212687908384,2.03052090607254,0.233030303030303,0.260606060606061,0.23030303030303,0.276060606060606,0.04,0.04,0.12,0.04,0.21,0.05,0.04,0.24,0.05,0.1,0.04,0.04
HKY+I,22,3390.74810791288,3256.82001651069,-1606.25559873444,0.608092099903676,n/a,1.80167482815612,0.233030303030303,0.260606060606061,0.23030303030303,0.276060606060606,0.05,0.04,0.18,0.04,0.15,0.05,0.04,0.17,0.05,0.15,0.05,0.04
TN93+I,23,3395.31488064216,3255.3132887877,-1604.48814622535,0.603311599214219,n/a,1.74693567221248,0.233030303030303,0.260606060606061,0.23030303030303,0.276060606060606,0.05,0.04,0.14,0.04,0.18,0.05,0.04,0.2,0.05,0.12,0.05,0.04
GTR+G,26,3404.69680753593,3246.48215035509,-1597.02659305106,n/a,0.256988026598173,2.02097220626268,0.233030303030303,0.260606060606061,0.23030303030303,0.276060606060606,0.04,0.03,0.12,0.04,0.21,0.05,0.03,0.24,0.05,0.1,0.05,0.04
GTR+G+I,27,3409.76974633005,3245.48654983826,-1595.51222357439,0.423417809274858,0.722598552214926,2.03909438028429,0.233030303030303,0.260606060606061,0.23030303030303,0.276060606060606,0.04,0.02,0.12,0.04,0.21,0.06,0.02,0.24,0.05,0.1,0.05,0.04
GTR+I,26,3417.33786536181,3259.12320818097,-1603.34712196399,0.603198744937635,n/a,1.75385395825048,0.233030303030303,0.260606060606061,0.23030303030303,0.276060606060606,0.05,0.03,0.14,0.04,0.18,0.06,0.03,0.2,0.05,0.12,0.06,0.04
JC+G,18,3436.30717348693,3326.68544705926,-1645.23848701637,n/a,0.267595694414325,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,3441.12854721723,3331.50682078957,-1647.64917388152,0.604216446155717,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,3441.89296298359,3326.19279309902,-1643.98054289097,0.533164133863223,1.79698640085328,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,3565.73180110187,3456.1100746742,-1709.95080082384,n/a,n/a,1.49787522134478,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,3574.21210126021,3458.51193137565,-1710.14011202929,n/a,n/a,1.49839105729326,0.246818181818182,0.246818181818182,0.253181818181818,0.253181818181818,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93,22,3580.39822083038,3446.47012942819,-1701.08065519319,n/a,n/a,1.50819303099482,0.233030303030303,0.260606060606061,0.23030303030303,0.276060606060606,0.05,0.05,0.11,0.05,0.19,0.05,0.05,0.21,0.05,0.1,0.05,0.05
HKY,21,3587.78837526994,3459.93502176802,-1708.8265712867,n/a,n/a,1.49869829955448,0.233030303030303,0.260606060606061,0.23030303030303,0.276060606060606,0.05,0.05,0.17,0.05,0.14,0.06,0.05,0.16,0.06,0.14,0.05,0.05
GTR,25,3599.31382637031,3447.16895049091,-1698.38594134198,n/a,n/a,1.51402733322326,0.233030303030303,0.260606060606061,0.23030303030303,0.276060606060606,0.04,0.03,0.11,0.03,0.19,0.06,0.04,0.21,0.07,0.1,0.06,0.06
JC,17,3627.16086454446,3523.61881450135,-1744.71617141886,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
