Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,19856.9665824708,19669.6785692148,-9810.80618115911,0.375094733509916,0.693317727304462,2.4322353990768,0.227988980716253,0.219063360881543,0.267933884297521,0.285013774104683,0.03,0.04,0.1,0.03,0.29,0.04,0.03,0.24,0.04,0.08,0.03,0.04
GTR+G+I,27,19866.4336489304,19655.7435857582,-9800.83007562934,0.369346402258347,0.690847745877889,2.41986611569014,0.227988980716253,0.219063360881543,0.267933884297521,0.285013774104683,0.02,0.04,0.11,0.02,0.29,0.03,0.03,0.24,0.06,0.08,0.02,0.06
TN93+G,23,19869.4337817595,19689.946894431,-9821.9429937233,n/a,0.275763395409146,2.48791434988431,0.227988980716253,0.219063360881543,0.267933884297521,0.285013774104683,0.03,0.04,0.1,0.03,0.29,0.04,0.03,0.24,0.04,0.08,0.03,0.04
GTR+G,26,19877.0122810325,19674.1226798179,-9811.02260460023,n/a,0.280501611199694,2.44958011520131,0.227988980716253,0.219063360881543,0.267933884297521,0.285013774104683,0.02,0.04,0.1,0.02,0.29,0.03,0.03,0.24,0.06,0.08,0.02,0.06
T92+G+I,21,19909.3388204959,19745.4548487361,-9851.70193893117,0.426610987682982,0.90100480338014,2.18755152859953,0.223526170798898,0.223526170798898,0.276473829201102,0.276473829201102,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
T92+G,20,19919.493824147,19763.4116419552,-9861.68265367659,n/a,0.281082065658446,2.17164911054194,0.223526170798898,0.223526170798898,0.276473829201102,0.276473829201102,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
HKY+G+I,23,19943.3705247971,19763.8836374686,-9858.91136524207,0.427096269440164,0.901528324868823,2.21017074058058,0.227988980716253,0.219063360881543,0.267933884297521,0.285013774104683,0.03,0.04,0.2,0.04,0.19,0.04,0.04,0.15,0.04,0.16,0.03,0.04
HKY+G,22,19953.5703293781,19781.8847892272,-9868.91448045242,n/a,0.280723900502739,2.1942714719068,0.227988980716253,0.219063360881543,0.267933884297521,0.285013774104683,0.03,0.04,0.2,0.04,0.18,0.04,0.04,0.15,0.04,0.16,0.03,0.04
TN93+I,23,19976.8133147778,19797.3264274493,-9875.63276023241,0.548500753593943,n/a,1.83795324586307,0.227988980716253,0.219063360881543,0.267933884297521,0.285013774104683,0.04,0.05,0.13,0.04,0.23,0.05,0.04,0.19,0.05,0.1,0.04,0.05
K2+G+I,20,19977.3130233409,19821.230841149,-9890.5922532735,0.427222680359554,0.955706605604963,2.07768580357213,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,19984.7716313627,19836.4914598791,-9899.22477020429,n/a,0.289371005433455,2.06830319189703,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+I,26,19986.0492821221,19783.1596809075,-9865.54110514503,0.547793860799024,n/a,1.85635229497407,0.227988980716253,0.219063360881543,0.267933884297521,0.285013774104683,0.02,0.04,0.13,0.03,0.24,0.05,0.04,0.19,0.06,0.1,0.04,0.06
T92+I,20,20005.7774127275,19849.6952305356,-9904.82444796681,0.55619144206787,n/a,1.84857194567527,0.223526170798898,0.223526170798898,0.276473829201102,0.276473829201102,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+I,22,20040.1072093109,19868.4216691601,-9912.18292041885,0.556250034645098,n/a,1.86276808271291,0.227988980716253,0.219063360881543,0.267933884297521,0.285013774104683,0.04,0.05,0.19,0.04,0.17,0.05,0.04,0.14,0.05,0.15,0.04,0.05
K2+I,19,20068.7295631231,19920.4493916395,-9941.20373608449,0.554729945182292,n/a,1.79104645008751,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
JC+G+I,19,20533.4092593519,20385.1290878682,-10173.5435841989,0.46800049205344,1.62338895972672,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,20541.6184224303,20401.1404827584,-10182.5513786579,n/a,0.322510229209634,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,20584.8762710226,20444.3983313508,-10204.1803029541,0.550404248623163,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,21158.292056435,20963.203138538,-10456.5657052213,n/a,n/a,1.51869951257534,0.227988980716253,0.219063360881543,0.267933884297521,0.285013774104683,0.03,0.05,0.11,0.03,0.23,0.06,0.04,0.19,0.08,0.09,0.04,0.07
