Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,11681.8276497096,11509.6594161302,-5730.7676283962,0.425579302930794,1.52422778142094,1.73094307593317,0.202373581011352,0.249432404540764,0.249432404540764,0.298761609907121,0.05,0.05,0.14,0.04,0.2,0.05,0.04,0.2,0.05,0.1,0.05,0.05
T92+G+I,21,11686.8458250851,11536.1855543069,-5747.04499064125,0.439110068108113,1.72584748426302,1.67826997892955,0.225902992776058,0.225902992776058,0.274097007223942,0.274097007223942,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,11689.0378426047,11524.0385141658,-5738.96214969618,0.433995545882141,1.64178905546152,1.68653752827927,0.202373581011352,0.249432404540764,0.249432404540764,0.298761609907121,0.05,0.05,0.19,0.04,0.16,0.05,0.04,0.16,0.05,0.13,0.05,0.05
TN93+G,23,11690.7450462105,11525.7457177716,-5739.8157514991,n/a,0.353169336159552,1.78831421179644,0.202373581011352,0.249432404540764,0.249432404540764,0.298761609907121,0.04,0.04,0.14,0.04,0.2,0.05,0.04,0.2,0.05,0.1,0.04,0.04
GTR+G+I,27,11694.9848212169,11501.3123685247,-5723.57793959253,0.412594022155805,1.42550615087722,1.75301884816904,0.202373581011352,0.249432404540764,0.249432404540764,0.298761609907121,0.03,0.04,0.14,0.03,0.2,0.04,0.04,0.2,0.08,0.1,0.03,0.06
T92+G,20,11696.7093563408,11553.2192378249,-5756.56618112156,n/a,0.354836201755308,1.72517765034278,0.225902992776058,0.225902992776058,0.274097007223942,0.274097007223942,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G,22,11698.0376021463,11540.2075946841,-5748.05145431939,n/a,0.354582169395104,1.73322219679814,0.202373581011352,0.249432404540764,0.249432404540764,0.298761609907121,0.05,0.05,0.19,0.04,0.16,0.05,0.04,0.16,0.05,0.13,0.05,0.05
GTR+G,26,11701.3807880104,11514.8759921751,-5731.36534784167,n/a,0.362198251360636,1.79303352289914,0.202373581011352,0.249432404540764,0.249432404540764,0.298761609907121,0.03,0.05,0.14,0.03,0.21,0.04,0.04,0.21,0.08,0.1,0.03,0.07
T92+I,20,11711.7939205509,11568.303802035,-5764.10846322661,0.508981663103189,n/a,1.52683241033729,0.225902992776058,0.225902992776058,0.274097007223942,0.274097007223942,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+I,23,11711.9451585159,11546.945830077,-5750.41580765179,0.505982660122181,n/a,1.53000610559688,0.202373581011352,0.249432404540764,0.249432404540764,0.298761609907121,0.05,0.05,0.15,0.04,0.18,0.06,0.04,0.18,0.06,0.1,0.05,0.05
HKY+I,22,11716.5374803516,11558.7074728894,-5757.30139342207,0.50805880892043,n/a,1.52568970625286,0.202373581011352,0.249432404540764,0.249432404540764,0.298761609907121,0.05,0.05,0.18,0.04,0.15,0.06,0.04,0.15,0.06,0.12,0.05,0.05
K2+G+I,20,11721.8402515054,11578.3501329895,-5769.13162870386,0.436316594946068,1.84561216302135,1.584735666052,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+I,26,11727.1768658812,11540.672070046,-5744.26338677711,0.503905557786283,n/a,1.56022880987035,0.202373581011352,0.249432404540764,0.249432404540764,0.298761609907121,0.04,0.04,0.15,0.03,0.18,0.05,0.04,0.18,0.08,0.1,0.04,0.07
K2+G,19,11730.7294752289,11594.4099244245,-5778.16566541806,n/a,0.371671915863139,1.62709909488218,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,11743.8292014999,11607.5096506955,-5784.71552855352,0.505942004824663,n/a,1.46206876748028,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
