Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,5087.3478039524,4959.29869229925,-2459.55557521862,n/a,0.293917658740921,2.53889611832585,0.235888888888889,0.235888888888889,0.264111111111111,0.264111111111111,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
K2+G,19,5088.84299576545,4967.18781778318,-2464.50908746302,n/a,0.298278140508713,2.49312118316169,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+G+I,21,5094.21152880272,4959.76938472881,-2458.7815213059,0.472831524640406,1.64883064577402,2.46417925959898,0.235888888888889,0.235888888888889,0.264111111111111,0.264111111111111,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
K2+G+I,20,5095.91622709786,4967.86711544471,-2463.83978679134,0.470183115604333,1.6538060776205,2.41910851130852,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+I,20,5099.6338542534,4971.58474260026,-2465.69860036912,0.543518608289005,n/a,2.2268552868609,0.235888888888889,0.235888888888889,0.264111111111111,0.264111111111111,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+I,19,5101.12255839472,4979.46738041245,-2470.64886877765,0.54256448355828,n/a,2.19576212634999,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
TN93+G,23,5101.74560913335,4954.52010638447,-2454.13672879545,n/a,0.318449575582563,2.53615581624375,0.243333333333333,0.228444444444444,0.237111111111111,0.291111111111111,0.03,0.03,0.14,0.03,0.24,0.04,0.03,0.23,0.04,0.11,0.03,0.03
TN93+G+I,24,5106.3685785008,4952.75275070718,-2452.2422971413,0.450672952701656,1.54271704891079,2.47102421548882,0.243333333333333,0.228444444444444,0.237111111111111,0.291111111111111,0.03,0.03,0.13,0.03,0.24,0.04,0.03,0.23,0.04,0.11,0.03,0.03
HKY+G,22,5108.99944185046,4968.16516720982,-2461.96956149189,n/a,0.292249825160942,2.62456994116793,0.243333333333333,0.228444444444444,0.237111111111111,0.291111111111111,0.03,0.03,0.21,0.03,0.17,0.04,0.03,0.17,0.04,0.18,0.03,0.03
TN93+I,23,5112.16362715337,4964.93812440449,-2459.34573780546,0.533236396279286,n/a,2.1914835008607,0.243333333333333,0.228444444444444,0.237111111111111,0.291111111111111,0.04,0.04,0.14,0.04,0.22,0.05,0.04,0.21,0.05,0.12,0.04,0.04
HKY+G+I,23,5116.34306251079,4969.11755976191,-2461.43545548417,0.469979700625795,1.59420955932768,2.54173659782485,0.243333333333333,0.228444444444444,0.237111111111111,0.291111111111111,0.03,0.03,0.21,0.03,0.17,0.04,0.03,0.16,0.04,0.17,0.03,0.03
GTR+G,26,5120.16966212569,4953.77589585577,-2450.73100627798,n/a,0.328847629475546,2.24532809901058,0.243333333333333,0.228444444444444,0.237111111111111,0.291111111111111,0.03,0.04,0.14,0.03,0.22,0.03,0.04,0.21,0.06,0.12,0.02,0.05
GTR+G+I,27,5120.40413217098,4947.62275368221,-2446.64232496275,0.426686735164004,1.31598546227917,2.5009701418368,0.243333333333333,0.228444444444444,0.237111111111111,0.291111111111111,0.01,0.04,0.13,0.01,0.25,0.03,0.04,0.24,0.06,0.11,0.02,0.05
HKY+I,22,5122.56375985545,4981.72948521481,-2468.75172049438,0.543279134108893,n/a,2.27389852268442,0.243333333333333,0.228444444444444,0.237111111111111,0.291111111111111,0.04,0.04,0.2,0.04,0.16,0.04,0.04,0.16,0.04,0.17,0.04,0.04
GTR+I,26,5128.60407626789,4962.21030999797,-2454.94821334909,0.531150214100408,n/a,2.22638585637353,0.243333333333333,0.228444444444444,0.237111111111111,0.291111111111111,0.02,0.04,0.14,0.02,0.22,0.04,0.04,0.22,0.06,0.12,0.03,0.05
JC+G,18,5268.49111186436,5153.2307681997,-2558.53906185035,n/a,0.340490020049072,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,5273.12294190811,5157.86259824345,-2560.85497687223,0.536289333176209,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,5273.15666370455,5151.50148572229,-2556.66592143257,0.480326231622623,2.42084673318072,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,5380.27604672294,5239.4417720823,-2597.60786392813,n/a,n/a,1.80994853344817,0.243333333333333,0.228444444444444,0.237111111111111,0.291111111111111,0.04,0.04,0.12,0.04,0.22,0.05,0.04,0.21,0.05,0.1,0.04,0.04
K2,18,5391.27817454726,5276.01783088261,-2619.93259319181,n/a,n/a,1.78930333897199,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92,19,5395.05604773668,5273.40086975441,-2617.61561344863,n/a,n/a,1.79142999094847,0.235888888888889,0.235888888888889,0.264111111111111,0.264111111111111,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR,25,5395.91150681726,5235.90625764793,-2592.80784496165,n/a,n/a,1.55317580485652,0.243333333333333,0.228444444444444,0.237111111111111,0.291111111111111,0.04,0.05,0.12,0.04,0.2,0.04,0.05,0.2,0.08,0.1,0.03,0.06
HKY,21,5417.56139924325,5283.11925516934,-2620.45645652616,n/a,n/a,1.79019179652981,0.243333333333333,0.228444444444444,0.237111111111111,0.291111111111111,0.04,0.04,0.19,0.04,0.15,0.05,0.04,0.15,0.05,0.16,0.04,0.04
JC,17,5541.19237242425,5432.3277631211,-2699.09560846818,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
