Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,15503.2347461645,15349.9578345228,-7653.93671777293,0.333725519168214,1.19941199929581,1.40933000048418,0.18669097538742,0.18669097538742,0.31330902461258,0.31330902461258,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.11,0.06,0.11,0.04,0.06
TN93+G+I,24,15507.3281701692,15332.1677399954,-7642.02905044539,0.34170529217302,1.28326364604645,1.47301579568583,0.184958979033728,0.188422971741112,0.287784867821331,0.338833181403829,0.04,0.06,0.14,0.04,0.24,0.07,0.04,0.16,0.07,0.08,0.04,0.06
GTR+G+I,27,15512.9575000769,15315.9168552861,-7630.88933606932,0.318257767469554,1.08460295485775,1.47960914568904,0.184958979033728,0.188422971741112,0.287784867821331,0.338833181403829,0.02,0.09,0.14,0.02,0.24,0.04,0.06,0.16,0.07,0.08,0.02,0.06
T92+G,20,15513.560107126,15367.5784353957,-7663.7508580303,n/a,0.381902964712732,1.48559813638136,0.18669097538742,0.18669097538742,0.31330902461258,0.31330902461258,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.11,0.06,0.11,0.04,0.06
GTR+G,26,15521.0160692562,15331.2684620683,-7639.5700804356,n/a,0.38104601394031,1.53189817424035,0.184958979033728,0.188422971741112,0.287784867821331,0.338833181403829,0.02,0.09,0.15,0.02,0.24,0.04,0.06,0.16,0.07,0.08,0.02,0.06
TN93+G,23,15521.9990950694,15354.1328041054,-7654.01597267212,n/a,0.38254394107595,1.54488764671152,0.184958979033728,0.188422971741112,0.287784867821331,0.338833181403829,0.04,0.05,0.14,0.03,0.24,0.06,0.03,0.16,0.06,0.08,0.04,0.05
HKY+G+I,23,15534.0287306671,15366.1624397031,-7660.03079047094,0.326041907065573,1.13478008615907,1.41498204881945,0.184958979033728,0.188422971741112,0.287784867821331,0.338833181403829,0.04,0.06,0.2,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.06
HKY+G,22,15542.6780361164,15382.1062513634,-7669.00690297226,n/a,0.381516713710246,1.49045348912065,0.184958979033728,0.188422971741112,0.287784867821331,0.338833181403829,0.04,0.06,0.21,0.04,0.18,0.07,0.04,0.12,0.07,0.11,0.04,0.06
T92+I,20,15592.967924325,15446.9862525947,-7703.4547666298,0.42423002372448,n/a,1.19821560689696,0.18669097538742,0.18669097538742,0.31330902461258,0.31330902461258,0.04,0.07,0.18,0.04,0.18,0.07,0.04,0.1,0.07,0.1,0.04,0.07
TN93+I,23,15609.764720354,15441.89842939,-7697.89878531439,0.422043957620174,n/a,1.00543511144081,0.184958979033728,0.188422971741112,0.287784867821331,0.338833181403829,0.05,0.07,0.14,0.04,0.18,0.08,0.04,0.12,0.08,0.08,0.05,0.07
