Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,13312.5173375768,13140.2745311797,-6546.07537801895,0.310129133263449,1.10236725697693,1.94622836031723,0.195473251028807,0.218004115226337,0.278497942386831,0.308024691358025,0.04,0.05,0.13,0.03,0.25,0.05,0.03,0.2,0.05,0.08,0.04,0.05
TN93+G,23,13318.3105639596,13153.2397847043,-6553.56296165908,n/a,0.402573337079608,2.08422541679975,0.195473251028807,0.218004115226337,0.278497942386831,0.308024691358025,0.03,0.04,0.13,0.03,0.27,0.05,0.03,0.21,0.05,0.08,0.03,0.04
GTR+G+I,27,13322.3624466287,13128.60604735,-6537.22502119871,0.311613413875963,1.1448591578764,1.92084159628981,0.195473251028807,0.218004115226337,0.278497942386831,0.308024691358025,0.02,0.06,0.13,0.02,0.25,0.04,0.04,0.2,0.07,0.08,0.03,0.06
T92+G+I,21,13322.7412282096,13172.0157467398,-6564.96023468153,0.336482973946459,1.32206593637905,1.81745894255685,0.206738683127572,0.206738683127572,0.293261316872428,0.293261316872428,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+G,26,13328.6148947064,13142.0292781693,-6544.9422156863,n/a,0.411544895374327,2.04552347526762,0.195473251028807,0.218004115226337,0.278497942386831,0.308024691358025,0.02,0.06,0.13,0.02,0.26,0.03,0.04,0.21,0.06,0.08,0.02,0.06
T92+G,20,13333.2768673586,13189.7246562762,-6574.81902470478,n/a,0.418806957874383,1.90553966770723,0.206738683127572,0.206738683127572,0.293261316872428,0.293261316872428,0.03,0.05,0.19,0.03,0.19,0.05,0.03,0.14,0.05,0.14,0.03,0.05
HKY+G+I,23,13340.6938684195,13175.6230891642,-6564.75461388904,0.332182802087877,1.28701745198719,1.81798852048846,0.195473251028807,0.218004115226337,0.278497942386831,0.308024691358025,0.04,0.05,0.2,0.03,0.18,0.05,0.03,0.14,0.05,0.13,0.04,0.05
HKY+G,22,13350.4745804598,13192.5762428896,-6574.23594035788,n/a,0.419673883823872,1.90410691166787,0.195473251028807,0.218004115226337,0.278497942386831,0.308024691358025,0.04,0.05,0.2,0.03,0.18,0.05,0.03,0.14,0.05,0.13,0.04,0.05
TN93+I,23,13384.9430634436,13219.8722841883,-6586.87921140106,0.423487221287322,n/a,1.57512417080229,0.195473251028807,0.218004115226337,0.278497942386831,0.308024691358025,0.04,0.05,0.14,0.04,0.22,0.06,0.04,0.17,0.06,0.09,0.04,0.05
T92+I,20,13385.2847469809,13241.7325358985,-6600.82296451593,0.427889308974849,n/a,1.56320429464422,0.206738683127572,0.206738683127572,0.293261316872428,0.293261316872428,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+I,22,13405.6225978723,13247.7242603022,-6601.80994906415,0.427148796285957,n/a,1.55848723025723,0.195473251028807,0.218004115226337,0.278497942386831,0.308024691358025,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.13,0.06,0.12,0.04,0.05
GTR+I,26,13406.0849389605,13219.4993224233,-6583.67723781334,0.423564711765362,n/a,1.42914189860645,0.195473251028807,0.218004115226337,0.278497942386831,0.308024691358025,0.04,0.06,0.15,0.04,0.2,0.05,0.04,0.16,0.07,0.09,0.03,0.07
K2+G+I,20,13416.0194918596,13272.4672807772,-6616.19033695528,0.353986091959401,1.70216254461538,1.65782690739716,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,13431.9230881731,13295.5445616369,-6628.73310556074,n/a,0.454602919855901,1.72627118610087,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,13460.1896536354,13323.8111270993,-6642.8663882919,0.427302695058881,n/a,1.49599715860448,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,13695.7019110567,13559.3233845206,-6760.62251700255,0.366717027022919,2.33507302933899,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,13716.8067718881,13587.602343929,-6775.76591786696,n/a,0.50620130704074,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
