Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,1571.72658241217,1462.40772721903,-712.042161481855,n/a,0.19076644922887,2.03577068689498,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,1579.49715719429,1464.44185149,-712.042126255854,0,0.190768520613671,2.03581846821837,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,1580.15335242019,1465.09804671589,-712.370223868803,n/a,0.193170195738253,2.02677984185518,0.239662447257384,0.239662447257384,0.260337552742616,0.260337552742616,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G+I,21,1587.92400978815,1467.13398627689,-712.370229935718,0.00001,0.193186337862949,2.02702310101285,0.239662447257384,0.239662447257384,0.260337552742616,0.260337552742616,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+I,19,1588.66846073615,1479.34960554301,-720.513100643847,0.392405063291139,n/a,1.81868712345544,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
JC+G,18,1594.8870802718,1491.306406083,-727.507733028738,n/a,0.204902083768228,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+G,23,1596.25646354153,1464.00221139186,-708.765811578281,n/a,0.196780006557624,2.16636712941191,0.246413502109705,0.232911392405063,0.255696202531646,0.264978902953587,0.04,0.04,0.09,0.04,0.26,0.04,0.04,0.24,0.04,0.09,0.04,0.04
HKY+G,22,1596.26248087646,1469.73947447722,-712.65414286281,n/a,0.193392211103224,2.03295928956279,0.246413502109705,0.232911392405063,0.255696202531646,0.264978902953587,0.04,0.04,0.18,0.04,0.17,0.04,0.04,0.16,0.04,0.17,0.04,0.04
T92+I,20,1596.88157823214,1481.82627252784,-720.734336774777,0.392405063291139,n/a,1.81737715627717,0.239662447257384,0.239662447257384,0.260337552742616,0.260337552742616,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
JC+G+I,19,1602.65816312736,1493.33930793422,-727.507951839452,0,0.20489921570386,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,1603.72834676778,1500.14767257897,-731.928366276726,n/a,n/a,1.75752820227237,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
TN93+G+I,24,1604.02734051363,1466.04358197342,-708.765927447266,0.00001,0.196766969142511,2.1674978210499,0.246413502109705,0.232911392405063,0.255696202531646,0.264978902953587,0.04,0.04,0.09,0.04,0.27,0.04,0.04,0.24,0.04,0.09,0.04,0.04
HKY+G+I,23,1604.03314284422,1471.77889069454,-712.654151229625,0.00001,0.193414860515459,2.03309930108392,0.246413502109705,0.232911392405063,0.255696202531646,0.264978902953587,0.04,0.04,0.18,0.04,0.17,0.04,0.04,0.16,0.04,0.17,0.04,0.04
JC+I,18,1610.24792972529,1506.66725553649,-735.188157755482,0.392405063291139,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,1611.84274181598,1502.52388662285,-732.100241183765,n/a,n/a,1.75781667680964,0.239662447257384,0.239662447257384,0.260337552742616,0.260337552742616,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+I,23,1612.3230426731,1480.06879052342,-716.799101144065,0.392405063291139,n/a,1.86987710136306,0.246413502109705,0.232911392405063,0.255696202531646,0.264978902953587,0.04,0.04,0.1,0.04,0.24,0.05,0.04,0.22,0.05,0.09,0.04,0.04
HKY+I,22,1612.96839386947,1486.44538747023,-721.007099359316,0.392405063291139,n/a,1.8188047218194,0.246413502109705,0.232911392405063,0.255696202531646,0.264978902953587,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.16,0.04,0.05
GTR+G,26,1616.91872607158,1467.48118173839,-707.440974992112,n/a,0.196948298179488,2.14764612513224,0.246413502109705,0.232911392405063,0.255696202531646,0.264978902953587,0.06,0.04,0.09,0.06,0.26,0.03,0.04,0.24,0.02,0.09,0.03,0.02
GTR+G+I,27,1624.68940566302,1469.52758639106,-707.440992170765,0,0.196913820750356,2.1490005156272,0.246413502109705,0.232911392405063,0.255696202531646,0.264978902953587,0.06,0.04,0.09,0.06,0.26,0.03,0.04,0.24,0.02,0.09,0.03,0.02
JC,17,1624.79075789056,1526.949992992,-746.344894455182,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
