Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+I,19,3244.39979031301,3133.89552088341,-1547.7957604417,0.465766282348071,n/a,2.5888272807164,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G+I,20,3248.97810560814,3132.67395645181,-1546.16891099902,0.444514453729245,3.98310349752981,2.76589816187226,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+I,20,3250.41265555316,3134.10850639683,-1546.88618597152,0.465793697723736,n/a,2.59896047815753,0.235515873015873,0.235515873015873,0.264484126984127,0.264484126984127,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
K2+G,19,3254.60872483299,3144.10445540339,-1552.90022770169,n/a,0.386824706235268,2.96399012989119,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92+G+I,21,3254.96560883887,3132.86320696499,-1545.24665552413,0.444618802214579,3.97194977461367,2.77828674000746,0.235515873015873,0.235515873015873,0.264484126984127,0.264484126984127,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.17,0.03,0.17,0.03,0.03
T92+G,20,3260.65479904255,3144.35064988623,-1552.00725771622,n/a,0.385137832869857,2.98242749745727,0.235515873015873,0.235515873015873,0.264484126984127,0.264484126984127,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.18,0.03,0.18,0.03,0.03
TN93+I,23,3262.02637214832,3128.332353689,-1540.94502299835,0.458836243520103,n/a,2.68531085679632,0.25,0.221031746031746,0.250396825396825,0.278571428571429,0.03,0.03,0.13,0.03,0.26,0.04,0.03,0.23,0.04,0.12,0.03,0.03
TN93+G+I,24,3266.8471354863,3127.35975707801,-1539.43939757708,0.437343601950023,4.1480247052074,2.90661669850149,0.25,0.221031746031746,0.250396825396825,0.278571428571429,0.03,0.03,0.13,0.03,0.27,0.04,0.03,0.24,0.04,0.11,0.03,0.03
HKY+I,22,3269.97415903516,3142.07513340765,-1548.83492353202,0.465758568919325,n/a,2.62910088097435,0.25,0.221031746031746,0.250396825396825,0.278571428571429,0.03,0.03,0.2,0.03,0.18,0.04,0.03,0.16,0.04,0.18,0.03,0.03
TN93+G,23,3273.5970213646,3139.90300290528,-1546.73034760649,n/a,0.395513660616232,3.16088331255541,0.25,0.221031746031746,0.250396825396825,0.278571428571429,0.03,0.03,0.12,0.03,0.28,0.03,0.03,0.25,0.03,0.11,0.03,0.03
HKY+G+I,23,3274.53274176761,3140.83872330829,-1547.19820780799,0.444713530002572,3.99318000940624,2.81912347430792,0.25,0.221031746031746,0.250396825396825,0.278571428571429,0.03,0.03,0.21,0.03,0.18,0.04,0.03,0.16,0.04,0.18,0.03,0.03
HKY+G,22,3280.267214308,3152.36818868049,-1553.98145116844,n/a,0.385148792746008,3.04089614933462,0.25,0.221031746031746,0.250396825396825,0.278571428571429,0.03,0.03,0.21,0.03,0.19,0.03,0.03,0.17,0.03,0.19,0.03,0.03
GTR+I,26,3282.59654039652,3131.52734859868,-1539.48208585169,0.460522732223673,n/a,2.72202283123379,0.25,0.221031746031746,0.250396825396825,0.278571428571429,0.04,0.02,0.13,0.05,0.26,0.04,0.02,0.23,0.04,0.12,0.03,0.04
GTR+G+I,27,3288.51364473906,3131.65600343844,-1538.52463093271,0.444311301109951,5.40258254174151,2.87758662519782,0.25,0.221031746031746,0.250396825396825,0.278571428571429,0.04,0.02,0.13,0.04,0.27,0.03,0.02,0.24,0.04,0.11,0.03,0.04
GTR+G,26,3296.83450008939,3145.76530829156,-1546.60106569813,n/a,0.39668360823119,3.14813947738696,0.25,0.221031746031746,0.250396825396825,0.278571428571429,0.03,0.03,0.12,0.03,0.28,0.03,0.03,0.25,0.04,0.11,0.03,0.03
JC+I,18,3373.93106219014,3269.2282975448,-1616.47740347052,0.456098038505746,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,3380.95118620226,3270.44691677266,-1616.07145838633,0.443465034653794,8.9279049722646,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,3389.02339043888,3284.32062579354,-1624.02356759489,n/a,0.47648280897953,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,3410.17834334507,3305.47557869973,-1634.60104404799,n/a,n/a,1.92073460225855,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92,19,3417.36897650266,3306.86470707306,-1634.28035353653,n/a,n/a,1.922935770676,0.235515873015873,0.235515873015873,0.264484126984127,0.264484126984127,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.16,0.04,0.05
TN93,22,3424.10665443311,3296.2076288056,-1625.90117123099,n/a,n/a,1.95741362575645,0.25,0.221031746031746,0.250396825396825,0.278571428571429,0.04,0.04,0.12,0.04,0.23,0.05,0.04,0.2,0.05,0.11,0.04,0.04
HKY,21,3437.04894998885,3314.94654811497,-1636.28832609912,n/a,n/a,1.92076150812499,0.25,0.221031746031746,0.250396825396825,0.278571428571429,0.04,0.04,0.18,0.04,0.16,0.05,0.04,0.15,0.05,0.16,0.04,0.04
GTR,25,3447.27983794386,3302.00073443363,-1625.73974171561,n/a,n/a,1.95995023075236,0.25,0.221031746031746,0.250396825396825,0.278571428571429,0.04,0.04,0.12,0.04,0.23,0.04,0.04,0.2,0.05,0.11,0.03,0.05
JC,17,3517.2126834117,3418.31304665965,-1692.03422117155,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
