Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,13008.8875333687,12835.5768056403,-6393.72920203078,0.407888570274541,1.15708110257664,2.04178275424619,0.206299212598425,0.217322834645669,0.265649606299213,0.310728346456693,0.03,0.04,0.13,0.03,0.25,0.05,0.03,0.21,0.05,0.09,0.03,0.04
T92+G+I,21,13012.5544242687,12860.895078362,-6409.40196806245,0.409172767018062,1.13306341151607,1.93067018206542,0.211811023622047,0.211811023622047,0.288188976377953,0.288188976377953,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G+I,27,13020.8131180075,12825.8545776988,-6385.85267376846,0.396213571406273,1.07151136837212,2.03528095195571,0.206299212598425,0.217322834645669,0.265649606299213,0.310728346456693,0.02,0.07,0.13,0.01,0.25,0.04,0.05,0.21,0.05,0.09,0.03,0.04
TN93+G,23,13022.1143951038,12856.0203982234,-6404.95573975888,n/a,0.301037065104267,2.20235732740066,0.206299212598425,0.217322834645669,0.265649606299213,0.310728346456693,0.03,0.04,0.13,0.03,0.26,0.05,0.03,0.21,0.05,0.09,0.03,0.04
T92+G,20,13023.3470757473,12878.9056497317,-6419.4114006623,n/a,0.30137934550411,2.05508222965371,0.211811023622047,0.211811023622047,0.288188976377953,0.288188976377953,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
GTR+G,26,13030.5035963924,12842.7605968324,-6395.31101982149,n/a,0.304065128386184,2.15130479836623,0.206299212598425,0.217322834645669,0.265649606299213,0.310728346456693,0.01,0.07,0.13,0.01,0.26,0.04,0.05,0.21,0.05,0.09,0.03,0.04
HKY+G+I,23,13039.4651000649,12873.3711031844,-6413.63109223942,0.402672293874624,1.07897145191399,1.95469230864047,0.206299212598425,0.217322834645669,0.265649606299213,0.310728346456693,0.04,0.04,0.21,0.03,0.18,0.05,0.03,0.14,0.05,0.14,0.04,0.04
HKY+G,22,13049.0533180225,12890.1764484552,-6423.03830807881,n/a,0.301793368866701,2.07497197939558,0.206299212598425,0.217322834645669,0.265649606299213,0.310728346456693,0.03,0.04,0.21,0.03,0.18,0.05,0.03,0.15,0.05,0.14,0.03,0.04
TN93+I,23,13073.6210918509,12907.5270949704,-6430.70908813241,0.490231776191194,n/a,1.61521438314497,0.206299212598425,0.217322834645669,0.265649606299213,0.310728346456693,0.04,0.05,0.13,0.04,0.22,0.06,0.04,0.18,0.06,0.09,0.04,0.05
T92+I,20,13076.9759710391,12932.5345450236,-6446.22584830824,0.494693717769275,n/a,1.58652043282411,0.211811023622047,0.211811023622047,0.288188976377953,0.288188976377953,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
K2+G+I,20,13079.9219453089,12935.4805192934,-6447.69883544313,0.413479605742403,1.24750754083288,1.80592797551376,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,13091.0220722182,12953.798962207,-6457.86200575832,n/a,0.314985691746551,1.90797266429462,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+I,26,13104.4105296654,12916.6675301053,-6432.26448645796,0.489897990332956,n/a,1.4464955120562,0.206299212598425,0.217322834645669,0.265649606299213,0.310728346456693,0.04,0.06,0.14,0.04,0.2,0.06,0.05,0.17,0.06,0.09,0.04,0.05
HKY+I,22,13108.2470472273,12949.3701776599,-6452.63517268121,0.494020439653856,n/a,1.58489842409669,0.206299212598425,0.217322834645669,0.265649606299213,0.310728346456693,0.04,0.05,0.19,0.04,0.16,0.06,0.04,0.13,0.06,0.13,0.04,0.05
K2+I,19,13137.2190459607,12999.9959359496,-6480.96049262961,0.494482975943932,n/a,1.53682895473575,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,13360.5874563224,13223.3643463112,-6592.64469781042,0.434986121239255,1.94463030480194,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,13379.1502239914,13249.1458259806,-6606.53918850552,n/a,0.363578739754999,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,13394.5560521009,13264.5516540901,-6614.24210256028,0.491551779053066,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,13914.6410189656,13755.7641493982,-6855.83215855036,n/a,n/a,1.28992923477624,0.206299212598425,0.217322834645669,0.265649606299213,0.310728346456693,0.05,0.06,0.13,0.04,0.2,0.07,0.04,0.16,0.07,0.08,0.05,0.06
GTR,25,13916.9311129584,13736.4040509642,-6843.13788496505,n/a,n/a,1.28924019356679,0.206299212598425,0.217322834645669,0.265649606299213,0.310728346456693,0.03,0.08,0.13,0.03,0.2,0.06,0.06,0.16,0.07,0.08,0.04,0.06
T92,19,13934.7696946014,13797.5465845903,-6879.73581694996,n/a,n/a,1.28110196968975,0.211811023622047,0.211811023622047,0.288188976377953,0.288188976377953,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
HKY,21,13958.5840319279,13806.9246860212,-6882.41677189204,n/a,n/a,1.28198527863579,0.206299212598425,0.217322834645669,0.265649606299213,0.310728346456693,0.05,0.06,0.18,0.04,0.15,0.07,0.04,0.12,0.07,0.12,0.05,0.06
K2,18,13971.6171575779,13841.612759567,-6902.77265529874,n/a,n/a,1.27200014740179,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,17,14190.2207790232,14067.4354888915,-7016.68757288196,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
