Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,9942.15796353836,9774.04887206316,-4862.95095164701,0.345845930141482,0.601907596537716,3.13332414728831,0.222466422466422,0.221001221001221,0.263858363858364,0.292673992673993,0.03,0.03,0.1,0.03,0.32,0.03,0.03,0.27,0.03,0.08,0.03,0.03
TN93+G,23,9944.32564499118,9783.21544863347,-4868.54012696185,n/a,0.259257529991945,3.36232176056177,0.222466422466422,0.221001221001221,0.263858363858364,0.292673992673993,0.02,0.03,0.09,0.02,0.33,0.03,0.02,0.28,0.03,0.07,0.02,0.03
GTR+G+I,27,9959.23465235192,9770.13183329059,-4857.97329228852,0.362129874874899,0.669339055097968,3.0239187856407,0.222466422466422,0.221001221001221,0.263858363858364,0.292673992673993,0.02,0.02,0.1,0.02,0.32,0.03,0.02,0.26,0.05,0.08,0.02,0.05
GTR+G,26,9961.85939438808,9779.75399137991,-4863.79099789502,n/a,0.265717182639399,3.25699063049363,0.222466422466422,0.221001221001221,0.263858363858364,0.292673992673993,0.02,0.02,0.09,0.02,0.33,0.03,0.02,0.28,0.05,0.07,0.02,0.05
T92+G+I,21,9965.67139325138,9818.56046492545,-4888.2236702688,0.401683221362013,0.769107007486222,2.72888620821572,0.221733821733822,0.221733821733822,0.278266178266178,0.278266178266178,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
T92+G,20,9972.18599050181,9832.07543472837,-4895.98630348243,n/a,0.274518216781586,2.70441724329265,0.221733821733822,0.221733821733822,0.278266178266178,0.278266178266178,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
HKY+G+I,23,9988.68358290616,9827.57338654845,-4890.71909591934,0.397056203777349,0.742458249793905,2.7855930916802,0.222466422466422,0.221001221001221,0.263858363858364,0.292673992673993,0.03,0.03,0.22,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.03
HKY+G,22,9995.04773766418,9840.9369290832,-4898.40650788677,n/a,0.273220096335698,2.75026249783782,0.222466422466422,0.221001221001221,0.263858363858364,0.292673992673993,0.03,0.03,0.22,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.03
K2+G+I,20,10000.1169361914,9860.00638041798,-4909.95177632724,0.417528465683469,0.908435806093001,2.53236907388788,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
K2+G,19,10006.7351006913,9873.62540958699,-4917.76619316559,n/a,0.286766245164368,2.50848075959443,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
TN93+I,23,10026.879919898,9865.76972354032,-4909.81726441527,0.522032463737074,n/a,2.07942906738093,0.222466422466422,0.221001221001221,0.263858363858364,0.292673992673993,0.04,0.04,0.13,0.04,0.24,0.05,0.04,0.2,0.05,0.1,0.04,0.04
GTR+I,26,10033.1199904547,9851.01458744654,-4899.42129592834,0.522668435150375,n/a,2.08633025494452,0.222466422466422,0.221001221001221,0.263858363858364,0.292673992673993,0.03,0.02,0.13,0.03,0.24,0.04,0.02,0.21,0.07,0.1,0.03,0.06
