Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,8752.12028830637,8592.58845488879,-4273.22184349475,n/a,0.274778953760526,2.93224249821657,0.247843137254902,0.200392156862745,0.261437908496732,0.290326797385621,0.02,0.03,0.09,0.03,0.33,0.04,0.03,0.25,0.04,0.08,0.02,0.03
TN93+G+I,24,8752.30691946484,8585.84523427033,-4268.84392861057,0.325757390445326,0.575490116983281,2.83182312223002,0.247843137254902,0.200392156862745,0.261437908496732,0.290326797385621,0.03,0.03,0.1,0.03,0.32,0.04,0.03,0.25,0.04,0.08,0.03,0.03
T92+G,20,8765.16460738809,8626.42549502549,-4293.15769442584,n/a,0.286909783418223,2.37092225057869,0.224117647058824,0.224117647058824,0.275882352941176,0.275882352941176,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
K2+G,19,8765.51412666523,8633.70697587085,-4297.80368452782,n/a,0.287811469401473,2.34361142455505,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+G+I,21,8768.20521229248,8622.53466549836,-4290.20676641462,0.361984463822321,0.685958519399412,2.40088776375565,0.224117647058824,0.224117647058824,0.275882352941176,0.275882352941176,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
K2+G+I,20,8768.7597755762,8630.0206632136,-4294.9552785199,0.361919833829712,0.690981279177518,2.36891187041426,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
GTR+G,26,8775.29548929929,8594.97568465886,-4271.39575260098,n/a,0.276355402261754,2.90528881442696,0.247843137254902,0.200392156862745,0.261437908496732,0.290326797385621,0.02,0.04,0.09,0.02,0.33,0.05,0.04,0.25,0.03,0.08,0.03,0.03
GTR+G+I,27,8775.40300882805,8588.15493693431,-4266.97828190195,0.328280212216458,0.584017283276233,2.81350319334306,0.247843137254902,0.200392156862745,0.261437908496732,0.290326797385621,0.02,0.04,0.1,0.02,0.32,0.05,0.04,0.25,0.03,0.08,0.03,0.03
HKY+G,22,8800.92441026314,8648.32295638154,-4302.09513493654,n/a,0.285031376179954,2.45183019458936,0.247843137254902,0.200392156862745,0.261437908496732,0.290326797385621,0.03,0.04,0.21,0.04,0.19,0.04,0.04,0.14,0.04,0.18,0.03,0.04
HKY+G+I,23,8803.58225456794,8644.05042115036,-4298.95282662554,0.370888862223186,0.70568409238937,2.48213349690651,0.247843137254902,0.200392156862745,0.261437908496732,0.290326797385621,0.03,0.04,0.21,0.04,0.19,0.04,0.04,0.14,0.04,0.18,0.03,0.04
TN93+I,23,8825.27696524987,8665.74513183229,-4309.8001819665,0.532432375095276,n/a,2.0347697300836,0.247843137254902,0.200392156862745,0.261437908496732,0.290326797385621,0.03,0.04,0.12,0.04,0.25,0.05,0.04,0.2,0.05,0.1,0.03,0.04
T92+I,20,8832.81476531016,8694.07565294756,-4326.98277338687,0.540956313157134,n/a,1.98608129144062,0.224117647058824,0.224117647058824,0.275882352941176,0.275882352941176,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+I,19,8833.35592143878,8701.54877064439,-4331.72458191459,0.541591733842561,n/a,1.98028846941876,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+I,26,8847.12432399395,8666.80451935353,-4307.31016994831,0.532915274777786,n/a,2.02134640331929,0.247843137254902,0.200392156862745,0.261437908496732,0.290326797385621,0.03,0.04,0.12,0.03,0.25,0.06,0.04,0.19,0.04,0.1,0.04,0.03
HKY+I,22,8866.87405961282,8714.27260573122,-4335.06995961138,0.541667262824094,n/a,2.0402398711212,0.247843137254902,0.200392156862745,0.261437908496732,0.290326797385621,0.03,0.04,0.19,0.04,0.18,0.05,0.04,0.13,0.05,0.17,0.03,0.04
JC+G,18,9047.1306432662,8922.25598096948,-4443.08317329171,n/a,0.320873654948486,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,9051.7078839612,8919.90073316681,-4440.9005631758,0.39059793357585,0.951530695409851,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,9097.77499296006,8972.90033066334,-4468.40534813864,0.537861735963303,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,9354.7932935663,9202.1918396847,-4579.02957658812,n/a,n/a,1.66843863213594,0.247843137254902,0.200392156862745,0.261437908496732,0.290326797385621,0.04,0.05,0.11,0.05,0.24,0.05,0.05,0.18,0.05,0.1,0.04,0.05
