Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,30338.5171504175,30146.6553444145,-15049.3003061867,0.354940968358916,1.41278239444301,1.84676695545243,0.200637813211845,0.197676537585421,0.306605922551253,0.295079726651481,0.03,0.05,0.15,0.03,0.25,0.05,0.03,0.16,0.05,0.1,0.03,0.05
T92+G+I,21,30347.8795537346,30179.9947208519,-15068.976291473,0.352561812748431,1.3966518105342,1.78392145761842,0.199157175398633,0.199157175398633,0.300842824601367,0.300842824601367,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.13,0.05,0.13,0.03,0.05
GTR+G+I,27,30356.7155332781,30140.8783997876,-15043.4047139893,0.352494192359322,1.41041113521352,1.83017997643298,0.200637813211845,0.197676537585421,0.306605922551253,0.295079726651481,0.02,0.07,0.15,0.02,0.25,0.04,0.04,0.16,0.05,0.1,0.03,0.06
HKY+G+I,23,30359.0037246672,30175.1340602229,-15064.5418545208,0.353445386064578,1.40416493681993,1.78577549514614,0.200637813211845,0.197676537585421,0.306605922551253,0.295079726651481,0.03,0.05,0.19,0.04,0.2,0.05,0.04,0.13,0.05,0.13,0.03,0.05
TN93+G,23,30385.0989963445,30201.2293319002,-15077.5894903595,n/a,0.382681169086251,1.97469312198839,0.200637813211845,0.197676537585421,0.306605922551253,0.295079726651481,0.03,0.05,0.15,0.03,0.25,0.05,0.03,0.16,0.05,0.1,0.03,0.05
T92+G,20,30391.1394049884,30231.2472620586,-15095.6044783092,n/a,0.385564850456194,1.91016731844223,0.199157175398633,0.199157175398633,0.300842824601367,0.300842824601367,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.13,0.05,0.13,0.03,0.05
GTR+G,26,30401.0977903688,30193.2522498177,-15070.5941037438,n/a,0.388417852921549,1.94415889952371,0.200637813211845,0.197676537585421,0.306605922551253,0.295079726651481,0.02,0.07,0.16,0.02,0.25,0.04,0.04,0.16,0.05,0.11,0.03,0.05
HKY+G,22,30402.8178991293,30226.9405590668,-15091.4472029611,n/a,0.384854714233731,1.91308690297703,0.200637813211845,0.197676537585421,0.306605922551253,0.295079726651481,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.13,0.05,0.13,0.03,0.05
TN93+I,23,30479.204952691,30295.3352882467,-15124.6424685327,0.425516225002256,n/a,1.5419386307488,0.200637813211845,0.197676537585421,0.306605922551253,0.295079726651481,0.04,0.06,0.15,0.04,0.22,0.06,0.04,0.14,0.06,0.1,0.04,0.06
T92+I,20,30488.5509110507,30328.658768121,-15144.3102313403,0.426020708018504,n/a,1.51405454419917,0.199157175398633,0.199157175398633,0.300842824601367,0.300842824601367,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+I,26,30493.0007052226,30285.1551646715,-15116.5455611707,0.425625665097967,n/a,1.55367105807141,0.200637813211845,0.197676537585421,0.306605922551253,0.295079726651481,0.03,0.07,0.15,0.03,0.22,0.05,0.04,0.14,0.06,0.1,0.03,0.07
