Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,2125.86690397931,2018.61342563741,-990.126618031974,n/a,0.322964694922375,1.81454106048069,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+I,19,2127.53359864091,2020.280120299,-990.95996536277,0.555400608296397,n/a,1.66476106245315,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+G,20,2132.11135385672,2019.23210171252,-989.416904341326,n/a,0.323369649643481,1.81137636556155,0.257746478873239,0.257746478873239,0.242253521126761,0.242253521126761,0.05,0.04,0.16,0.05,0.16,0.04,0.05,0.17,0.04,0.17,0.05,0.04
K2+G+I,20,2133.53075810948,2020.65150596528,-990.126606467706,0,0.322577881074479,1.81605392682824,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+I,20,2134.07905428569,2021.19980214149,-990.400754555811,0.554819930242783,n/a,1.65727568822929,0.257746478873239,0.257746478873239,0.242253521126761,0.242253521126761,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+G+I,21,2139.77526501893,2021.27217275694,-989.41692129308,0,0.323133247369139,1.81234145096138,0.257746478873239,0.257746478873239,0.242253521126761,0.242253521126761,0.05,0.04,0.16,0.05,0.16,0.04,0.05,0.17,0.04,0.17,0.05,0.04
TN93+G,23,2141.53416144606,2011.7892010201,-982.632492247942,n/a,0.325108101404839,1.98335376618374,0.272300469483568,0.243192488262911,0.252112676056338,0.232394366197183,0.04,0.04,0.08,0.05,0.26,0.04,0.05,0.25,0.04,0.09,0.04,0.04
TN93+I,23,2146.1631463005,2016.41818587453,-984.946984675159,0.539541343323294,n/a,1.6737996368489,0.272300469483568,0.243192488262911,0.252112676056338,0.232394366197183,0.05,0.05,0.08,0.05,0.23,0.04,0.05,0.22,0.04,0.1,0.05,0.05
HKY+G,22,2146.29287926763,2022.16788332556,-988.843789788078,n/a,0.320745288806354,1.83081741777195,0.272300469483568,0.243192488262911,0.252112676056338,0.232394366197183,0.04,0.04,0.15,0.05,0.16,0.04,0.05,0.16,0.04,0.18,0.04,0.04
HKY+I,22,2148.8403271629,2024.71533122083,-990.117513735712,0.55451469061801,n/a,1.66326405881297,0.272300469483568,0.243192488262911,0.252112676056338,0.232394366197183,0.05,0.05,0.15,0.05,0.16,0.04,0.05,0.15,0.04,0.17,0.05,0.05
TN93+G+I,24,2149.19805874553,2013.83507579555,-982.632502268323,0.00001,0.324905720102021,1.98517363145035,0.272300469483568,0.243192488262911,0.252112676056338,0.232394366197183,0.04,0.04,0.08,0.05,0.26,0.04,0.05,0.25,0.04,0.09,0.04,0.04
HKY+G+I,23,2153.95692621472,2024.21196578875,-988.843874632268,0.00001,0.320563062630978,1.83154349818713,0.272300469483568,0.243192488262911,0.252112676056338,0.232394366197183,0.04,0.04,0.15,0.05,0.16,0.04,0.05,0.16,0.04,0.18,0.04,0.04
GTR+G,26,2158.05697815003,2011.46378711276,-979.39808471187,n/a,0.340805216004264,1.66487049759456,0.272300469483568,0.243192488262911,0.252112676056338,0.232394366197183,0.07,0.05,0.08,0.08,0.23,0.02,0.05,0.22,0.03,0.09,0.02,0.04
GTR+I,26,2161.66742311012,2015.07423207284,-981.203307191914,0.542334608202328,n/a,1.41609565703365,0.272300469483568,0.243192488262911,0.252112676056338,0.232394366197183,0.08,0.06,0.09,0.09,0.2,0.02,0.06,0.2,0.04,0.1,0.03,0.04
JC+I,18,2162.71475449345,2061.08898089032,-1012.38248191839,0.548599898104888,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+G+I,27,2163.33735753973,2011.13198649289,-978.20633577737,0,0.322775584404029,1.9293999798769,0.272300469483568,0.243192488262911,0.252112676056338,0.232394366197183,0.07,0.05,0.07,0.08,0.26,0.03,0.05,0.25,0.02,0.09,0.03,0.02
JC+G,18,2163.52585455744,2061.9000809543,-1012.78803195039,n/a,0.36812669629518,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,2169.57947570756,2062.32599736565,-1011.9829038961,0.5075254631359,3.95067300032613,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,2202.12051163743,2100.49473803429,-1032.08536049038,n/a,n/a,1.42763925099774,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,2208.34949158571,2101.09601324381,-1031.36791183517,n/a,n/a,1.42701489857673,0.257746478873239,0.257746478873239,0.242253521126761,0.242253521126761,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93,22,2215.7143531119,2091.58935716983,-1023.55452671021,n/a,n/a,1.44140337018691,0.272300469483568,0.243192488262911,0.252112676056338,0.232394366197183,0.05,0.05,0.08,0.06,0.21,0.05,0.06,0.2,0.05,0.1,0.05,0.05
