Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,9398.34181976377,9231.59759371935,-4591.72102628288,0.420415760546712,1.5863879871517,2.00086869333721,0.212273901808786,0.20374677002584,0.266149870801034,0.317829457364341,0.03,0.04,0.12,0.03,0.27,0.05,0.03,0.21,0.05,0.08,0.03,0.04
T92+G+I,21,9406.01770191269,9260.10012574918,-4608.99020280722,0.435423788117509,1.75049559774208,1.85914011777311,0.208010335917313,0.208010335917313,0.291989664082687,0.291989664082687,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G,23,9406.30062578522,9246.4980948695,-4600.1775077769,n/a,0.350058828505057,2.1259753933243,0.212273901808786,0.20374677002584,0.266149870801034,0.317829457364341,0.03,0.04,0.12,0.03,0.28,0.05,0.03,0.22,0.05,0.08,0.03,0.04
GTR+G+I,27,9407.42617775948,9219.859997753,-4582.83196983086,0.415325392971382,1.5770760703913,1.99488892669199,0.212273901808786,0.20374677002584,0.266149870801034,0.317829457364341,0.02,0.06,0.12,0.02,0.27,0.03,0.04,0.21,0.07,0.08,0.02,0.06
T92+G,20,9413.2738209503,9274.29950400494,-4617.09534080931,n/a,0.351741211143485,1.93401627209188,0.208010335917313,0.208010335917313,0.291989664082687,0.291989664082687,0.03,0.05,0.19,0.03,0.19,0.05,0.03,0.14,0.05,0.14,0.03,0.05
TN93+I,23,9421.93549522953,9262.13296431381,-4607.99494249905,0.493188161059662,n/a,1.69805129049704,0.212273901808786,0.20374677002584,0.266149870801034,0.317829457364341,0.04,0.05,0.13,0.04,0.24,0.06,0.04,0.18,0.06,0.09,0.04,0.05
T92+I,20,9425.60955126775,9286.63523432239,-4623.26320596804,0.500532422643524,n/a,1.66478143993899,0.208010335917313,0.208010335917313,0.291989664082687,0.291989664082687,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+G,26,9425.91644296877,9245.29039217598,-4596.5541809188,n/a,0.373702372084779,1.79382261235426,0.212273901808786,0.20374677002584,0.266149870801034,0.317829457364341,0.04,0.05,0.13,0.04,0.25,0.03,0.04,0.19,0.07,0.09,0.02,0.06
GTR+I,26,9431.14150109195,9250.51545029916,-4599.16670998039,0.492113204258542,n/a,1.73674158758627,0.212273901808786,0.20374677002584,0.266149870801034,0.317829457364341,0.02,0.05,0.13,0.02,0.24,0.04,0.04,0.19,0.08,0.09,0.02,0.07
HKY+G+I,23,9437.92609164973,9278.12356073401,-4615.99024070915,0.433191286034691,1.70294891075972,1.88689413096388,0.212273901808786,0.20374677002584,0.266149870801034,0.317829457364341,0.03,0.05,0.21,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.03,0.05
HKY+G,22,9444.72657656259,9291.86626234142,-4623.86756164888,n/a,0.350745330591136,1.96695957135766,0.212273901808786,0.20374677002584,0.266149870801034,0.317829457364341,0.03,0.04,0.21,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.03,0.04
HKY+I,22,9458.662565289,9305.80225106783,-4630.83555601208,0.50021857958468,n/a,1.67362806377838,0.212273901808786,0.20374677002584,0.266149870801034,0.317829457364341,0.04,0.05,0.2,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
K2+G+I,20,9469.54322232879,9330.56890538343,-4645.23004149856,0.440526313336136,2.12779136458425,1.69317993142199,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,9477.51785792599,9345.48732115675,-4653.69443778045,n/a,0.376421174111326,1.75280296763413,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,9482.72979013539,9350.69925336616,-4656.30040388515,0.498240229972198,n/a,1.57100914295833,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,9670.35507672703,9538.32453995779,-4750.11304718097,0.455124694418976,3.17883698352607,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,9674.97075512506,9549.88451928749,-4756.89796486328,0.495376211368508,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,9682.6833134383,9557.59707760073,-4760.7542440199,n/a,0.409773921637963,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,9939.87304736632,9787.01273314515,-4871.44079705074,n/a,n/a,1.38409713239027,0.212273901808786,0.20374677002584,0.266149870801034,0.317829457364341,0.04,0.05,0.13,0.04,0.22,0.07,0.04,0.17,0.07,0.08,0.04,0.05
GTR,25,9940.18076901719,9766.49536961277,-4858.1634224263,n/a,n/a,1.24238018235483,0.212273901808786,0.20374677002584,0.266149870801034,0.317829457364341,0.04,0.06,0.13,0.04,0.2,0.04,0.05,0.15,0.1,0.08,0.03,0.08
T92,19,9955.13746318787,9823.10692641863,-4892.50424041139,n/a,n/a,1.37208678216808,0.208010335917313,0.208010335917313,0.291989664082687,0.291989664082687,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
K2,18,9979.8104368209,9854.72420098333,-4909.3178057112,n/a,n/a,1.35937452956947,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY,21,9986.93217539763,9841.01459923411,-4899.44743954968,n/a,n/a,1.36795774038271,0.212273901808786,0.20374677002584,0.266149870801034,0.317829457364341,0.04,0.06,0.19,0.04,0.16,0.07,0.04,0.12,0.07,0.12,0.04,0.06
JC,17,10152.4369395876,10034.2955252349,-5000.10813557782,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
