Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,7118.74852392705,6977.11427293939,-3467.48377984855,0.461639999710616,0.749809977546286,3.03128011731931,0.229113924050633,0.229113924050633,0.270886075949367,0.270886075949367,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.17,0.03,0.17,0.03,0.03
T92+G,20,7122.76074290646,6987.86460766436,-3473.86562658182,n/a,0.225400515923391,3.06096313659354,0.229113924050633,0.229113924050633,0.270886075949367,0.270886075949367,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.17,0.03,0.17,0.03,0.03
K2+G+I,20,7129.2915750673,6994.3954398252,-3477.13104266224,0.467693116429256,0.80610590543814,2.90620220401743,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
K2+G,19,7133.15233250099,7004.99495216595,-3483.43715862266,n/a,0.230684486593149,2.93134747823788,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
TN93+G+I,24,7136.55572277725,6974.710962568,-3463.26016754294,0.447479483847955,0.716549659226082,3.11094209789322,0.228006329113924,0.230221518987342,0.25,0.291772151898734,0.03,0.03,0.15,0.03,0.25,0.04,0.03,0.23,0.04,0.12,0.03,0.03
TN93+G,23,7138.6911440183,6983.58258024227,-3468.70361540703,n/a,0.225612098579506,3.24069207156648,0.228006329113924,0.230221518987342,0.25,0.291772151898734,0.03,0.03,0.14,0.03,0.27,0.03,0.03,0.24,0.03,0.11,0.03,0.03
HKY+G+I,23,7139.37001614873,6984.2614523727,-3469.04305147224,0.460129197541603,0.739052333032276,3.10255233925843,0.228006329113924,0.230221518987342,0.25,0.291772151898734,0.03,0.03,0.22,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.03
HKY+G,22,7142.76991767318,6994.39819040598,-3475.11873947804,n/a,0.224410836606526,3.12074532286496,0.228006329113924,0.230221518987342,0.25,0.291772151898734,0.03,0.03,0.22,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.03
GTR+G+I,27,7148.68744265161,6966.6379366482,-3456.1988157494,0.433222023184444,0.667988502686292,3.08272408581623,0.228006329113924,0.230221518987342,0.25,0.291772151898734,0,0.06,0.15,0,0.25,0.03,0.05,0.23,0.03,0.12,0.03,0.03
GTR+G,26,7149.64904379852,6974.3338121702,-3461.05535356643,n/a,0.227289117200216,3.14622075950913,0.228006329113924,0.230221518987342,0.25,0.291772151898734,0,0.06,0.15,0,0.26,0.03,0.05,0.24,0.04,0.12,0.02,0.03
T92+I,20,7158.91114621693,7024.01501097483,-3491.94082823706,0.578248026071378,n/a,2.25704467378858,0.229113924050633,0.229113924050633,0.270886075949367,0.270886075949367,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+I,19,7165.08479902026,7036.92741868522,-3499.40339188229,0.577881078750726,n/a,2.21771283205248,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
TN93+I,23,7178.25030915711,7023.14174538108,-3488.48319797644,0.57481333145521,n/a,2.24199314876978,0.228006329113924,0.230221518987342,0.25,0.291772151898734,0.04,0.04,0.16,0.03,0.22,0.04,0.03,0.2,0.04,0.12,0.04,0.04
HKY+I,22,7181.77063792836,7033.39891066116,-3494.61909960563,0.578146182596593,n/a,2.28551722096211,0.228006329113924,0.230221518987342,0.25,0.291772151898734,0.03,0.04,0.2,0.03,0.17,0.04,0.03,0.16,0.04,0.16,0.03,0.04
GTR+I,26,7191.61557004694,7016.30033841862,-3482.03861669064,0.574489095333161,n/a,2.25482323490244,0.228006329113924,0.230221518987342,0.25,0.291772151898734,0.01,0.05,0.16,0.01,0.22,0.05,0.05,0.2,0.05,0.12,0.04,0.05
JC+G+I,19,7396.43854295802,7268.28116262297,-3615.08026385117,0.52151389896697,1.93421660342843,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,7401.15326280471,7279.73527623392,-3621.81336101809,n/a,0.274420482850166,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,7409.0772798019,7287.65929323111,-3625.77536951668,0.573765424399193,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,7719.66384610705,7571.29211883984,-3763.56570369497,n/a,n/a,1.75595690447627,0.228006329113924,0.230221518987342,0.25,0.291772151898734,0.04,0.04,0.13,0.04,0.21,0.05,0.04,0.2,0.05,0.1,0.04,0.04
K2,18,7722.38432517384,7600.96633860305,-3782.42889220265,n/a,n/a,1.73943070369492,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92,19,7724.48597024779,7596.32858991275,-3779.10397749606,n/a,n/a,1.74382244280889,0.229113924050633,0.229113924050633,0.270886075949367,0.270886075949367,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR,25,7743.4472419976,7574.86692573582,-3762.33018990954,n/a,n/a,1.50202657983613,0.228006329113924,0.230221518987342,0.25,0.291772151898734,0.04,0.05,0.13,0.04,0.19,0.05,0.05,0.18,0.07,0.1,0.04,0.06
HKY,21,7748.09743853596,7606.4631875483,-3782.158237153,n/a,n/a,1.7456214475288,0.228006329113924,0.230221518987342,0.25,0.291772151898734,0.04,0.05,0.19,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.05
JC,17,7931.25955445818,7816.58160020472,-3891.24224408839,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
