Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
HKY+G,22,5222.79646522381,5088.07166688308,-2521.88687848128,n/a,0.534160389235889,1.45041009608213,0.167543859649123,0.309356725146199,0.260818713450292,0.262280701754386,0.06,0.05,0.15,0.03,0.15,0.05,0.03,0.18,0.05,0.1,0.06,0.05
HKY+G+I,23,5228.13630009891,5087.30128434683,-2520.4880980038,0.225570506620718,1.11769164778368,1.42586423830767,0.167543859649123,0.309356725146199,0.260818713450292,0.262280701754386,0.06,0.05,0.15,0.03,0.15,0.05,0.03,0.18,0.05,0.1,0.06,0.05
TN93+G,23,5230.91904180603,5090.08402605395,-2521.87946885736,n/a,0.534496248481313,1.44797897102522,0.167543859649123,0.309356725146199,0.260818713450292,0.262280701754386,0.06,0.05,0.16,0.03,0.15,0.05,0.03,0.18,0.05,0.1,0.06,0.05
K2+G,19,5234.23905951223,5117.85206815292,-2539.81426937058,n/a,0.552844466065629,1.37628251953664,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93+G+I,24,5236.26362470433,5089.31958575499,-2520.48306239149,0.226564758811541,1.12232635135853,1.42791016152542,0.167543859649123,0.309356725146199,0.260818713450292,0.262280701754386,0.06,0.05,0.15,0.03,0.15,0.05,0.03,0.18,0.05,0.1,0.06,0.05
T92+G,20,5237.86755950669,5115.36677441483,-2537.55982145278,n/a,0.54228659663592,1.40416472359025,0.238450292397661,0.238450292397661,0.261549707602339,0.261549707602339,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G+I,20,5239.10991780636,5116.6091327145,-2538.18100060262,0.232737170970116,1.20848621065205,1.34689290455507,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92+G+I,21,5242.32359090428,5113.71020313466,-2535.71913923655,0.240303165180754,1.22695394404773,1.37345342977872,0.238450292397661,0.238450292397661,0.261549707602339,0.261549707602339,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.14,0.06,0.14,0.05,0.06
GTR+G,26,5244.35555337867,5085.19705490064,-2516.3916308986,n/a,0.535525830144908,1.44859324319838,0.167543859649123,0.309356725146199,0.260818713450292,0.262280701754386,0.04,0.1,0.15,0.02,0.15,0.04,0.06,0.18,0.05,0.1,0.05,0.05
GTR+G+I,27,5250.35997109375,5085.0960383992,-2515.32514184111,0.207499264887757,1.0274629597339,1.43520485062262,0.167543859649123,0.309356725146199,0.260818713450292,0.262280701754386,0.04,0.1,0.15,0.02,0.15,0.05,0.06,0.18,0.05,0.1,0.05,0.05
HKY+I,22,5252.1308645195,5117.40606617878,-2536.55407812913,0.357284648185377,n/a,1.27445907420381,0.167543859649123,0.309356725146199,0.260818713450292,0.262280701754386,0.07,0.06,0.15,0.04,0.15,0.06,0.04,0.17,0.06,0.09,0.07,0.06
K2+I,19,5259.8072635619,5143.42027220259,-2552.59837139541,0.357303512111194,n/a,1.21109724894013,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
TN93+I,23,5260.12144675098,5119.2864309989,-2536.48067132984,0.357640945919129,n/a,1.28005719301839,0.167543859649123,0.309356725146199,0.260818713450292,0.262280701754386,0.07,0.06,0.14,0.04,0.15,0.06,0.04,0.18,0.06,0.09,0.07,0.06
T92+I,20,5262.76466077168,5140.26387567981,-2550.00837208527,0.358908179757314,n/a,1.23391874671147,0.238450292397661,0.238450292397661,0.261549707602339,0.261549707602339,0.05,0.06,0.14,0.05,0.14,0.06,0.05,0.13,0.06,0.13,0.05,0.06
GTR+I,26,5277.12013663184,5117.96163815382,-2532.77392252518,0.355963980319204,n/a,1.28910454094744,0.167543859649123,0.309356725146199,0.260818713450292,0.262280701754386,0.05,0.09,0.14,0.03,0.15,0.06,0.06,0.18,0.05,0.09,0.07,0.05
JC+G,18,5300.58256144328,5190.3105538207,-2577.05471825113,n/a,0.603869567705355,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,5304.59264008839,5188.20564872908,-2574.99105965866,0.248080301744329,1.4902817896935,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,5320.1178452687,5209.84583764612,-2586.82236016384,0.354673769774568,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY,21,5439.0324000298,5310.41901226018,-2634.07354379931,n/a,n/a,1.09171384160865,0.167543859649123,0.309356725146199,0.260818713450292,0.262280701754386,0.07,0.06,0.14,0.04,0.14,0.06,0.04,0.16,0.06,0.09,0.07,0.06
K2,18,5443.18995759081,5332.91794996823,-2648.35841632489,n/a,n/a,1.07785301021938,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
TN93,22,5445.86451537563,5311.1397170349,-2633.42090355719,n/a,n/a,1.09200656197416,0.167543859649123,0.309356725146199,0.260818713450292,0.262280701754386,0.07,0.06,0.15,0.04,0.13,0.06,0.04,0.15,0.06,0.1,0.07,0.06
T92,19,5452.14008316801,5335.7530918087,-2648.76478119847,n/a,n/a,1.08067610030897,0.238450292397661,0.238450292397661,0.261549707602339,0.261549707602339,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.12,0.06,0.12,0.06,0.06
GTR,25,5457.02734771323,5303.9754808363,-2626.79622598091,n/a,n/a,1.09131997101794,0.167543859649123,0.309356725146199,0.260818713450292,0.262280701754386,0.04,0.09,0.15,0.02,0.13,0.06,0.06,0.15,0.07,0.09,0.07,0.07
JC,17,5495.39374814235,5391.23791321128,-2678.52900951569,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
