Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,14451.658050771,14298.3811391294,-7128.1483700762,0.403890494481055,1.68064248270802,1.93664651727883,0.228258887876026,0.228258887876026,0.271741112123974,0.271741112123974,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+G+I,24,14455.7929079882,14280.6324778144,-7116.26141935489,0.398564239143201,1.6009739392985,1.99861939428629,0.240018231540565,0.216499544211486,0.274202370100273,0.269279854147675,0.04,0.05,0.13,0.04,0.23,0.04,0.04,0.18,0.04,0.12,0.04,0.05
GTR+G+I,27,14464.0983101818,14267.057665391,-7106.45974112176,0.384853713781839,1.45701357480096,2.01503228008446,0.240018231540565,0.216499544211486,0.274202370100273,0.269279854147675,0.02,0.06,0.13,0.02,0.24,0.03,0.05,0.19,0.06,0.12,0.03,0.06
HKY+G+I,23,14468.5347115064,14300.6684205424,-7127.28378089061,0.407253638528602,1.74389633920766,1.94003374903025,0.240018231540565,0.216499544211486,0.274202370100273,0.269279854147675,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.16,0.04,0.05
T92+G,20,14468.8400418383,14322.858370108,-7141.39082538645,n/a,0.37263058397667,2.02748285531204,0.228258887876026,0.228258887876026,0.271741112123974,0.271741112123974,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.15,0.04,0.15,0.04,0.04
TN93+G,23,14472.9580577884,14305.0917668244,-7129.49545403159,n/a,0.368746435407387,2.12223431734286,0.240018231540565,0.216499544211486,0.274202370100273,0.269279854147675,0.03,0.04,0.13,0.04,0.24,0.04,0.04,0.19,0.04,0.12,0.03,0.04
HKY+G,22,14487.3153245098,14326.7435397567,-7141.32554716894,n/a,0.373062304567737,2.03293219422497,0.240018231540565,0.216499544211486,0.274202370100273,0.269279854147675,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.15,0.04,0.16,0.04,0.04
GTR+G,26,14493.4586678609,14303.711060673,-7125.79137973795,n/a,0.386168689152835,1.82354382545553,0.240018231540565,0.216499544211486,0.274202370100273,0.269279854147675,0.04,0.05,0.14,0.04,0.21,0.03,0.05,0.17,0.06,0.13,0.02,0.06
T92+I,20,14496.5143293921,14350.5326576618,-7155.22796916334,0.46746760163995,n/a,1.71045943191545,0.228258887876026,0.228258887876026,0.271741112123974,0.271741112123974,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2+G+I,20,14497.1830332769,14351.2013615466,-7155.56232110576,0.401364996884022,1.79356121622268,1.82328082512177,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
