Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,10989.4562581753,10798.1550324604,-5371.99211180183,0.389887284322134,1.23386084796216,1.68913555848095,0.154166666666667,0.280855855855856,0.286261261261261,0.278716216216216,0.03,0.06,0.17,0.01,0.19,0.02,0.03,0.18,0.09,0.09,0.02,0.1
GTR+G,26,10995.6144952193,10811.392607792,-5379.61700874181,n/a,0.355662783937514,1.7118295763811,0.154166666666667,0.280855855855856,0.286261261261261,0.278716216216216,0.02,0.06,0.17,0.01,0.19,0.02,0.03,0.18,0.09,0.09,0.02,0.09
HKY+G+I,23,11006.3762757269,10843.3951297458,-5398.63523424959,0.383907679370472,1.07276230524372,1.69278149807357,0.154166666666667,0.280855855855856,0.286261261261261,0.278716216216216,0.05,0.05,0.17,0.03,0.18,0.05,0.03,0.18,0.05,0.1,0.05,0.05
HKY+G,22,11011.7561408391,10855.8561503549,-5405.87094522372,n/a,0.333217567738408,1.74235245806074,0.154166666666667,0.280855855855856,0.286261261261261,0.278716216216216,0.05,0.05,0.18,0.03,0.18,0.05,0.03,0.18,0.05,0.1,0.05,0.05
TN93+G+I,24,11015.0874638395,10845.0256164331,-5398.4450498879,0.383841424570119,1.06615590491293,1.70903080626747,0.154166666666667,0.280855855855856,0.286261261261261,0.278716216216216,0.05,0.05,0.17,0.03,0.19,0.05,0.03,0.18,0.05,0.09,0.05,0.05
TN93+G,23,11020.6415912087,10857.6604452276,-5405.76789199051,n/a,0.332282506183347,1.7559596675381,0.154166666666667,0.280855855855856,0.286261261261261,0.278716216216216,0.05,0.05,0.17,0.03,0.19,0.05,0.03,0.18,0.05,0.09,0.05,0.05
GTR+I,26,11034.3632989659,10850.1414115387,-5398.99141061515,0.48748727825123,n/a,1.49957228150059,0.154166666666667,0.280855855855856,0.286261261261261,0.278716216216216,0.03,0.06,0.17,0.02,0.18,0.03,0.03,0.17,0.1,0.09,0.03,0.1
T92+G+I,21,11049.1919467725,10900.3735657027,-5429.13462660839,0.390455849317661,1.10686593162058,1.67673189635999,0.217511261261261,0.217511261261261,0.282488738738739,0.282488738738739,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+I,22,11054.3847572462,10898.4847667619,-5427.18525342725,0.49150558815964,n/a,1.43892086199628,0.154166666666667,0.280855855855856,0.286261261261261,0.278716216216216,0.06,0.06,0.16,0.03,0.17,0.06,0.03,0.17,0.06,0.09,0.06,0.06
T92+G,20,11055.6029948703,10913.8666769789,-5436.88592907529,n/a,0.331944556086356,1.72703714814,0.217511261261261,0.217511261261261,0.282488738738739,0.282488738738739,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
