Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,9978.75286070714,9788.80050406055,-4867.31048712883,0.421207433223521,1.76931412822286,1.63089023646379,0.179171597633136,0.26189349112426,0.270887573964497,0.288047337278107,0.03,0.06,0.14,0.02,0.2,0.02,0.04,0.19,0.1,0.09,0.02,0.1
GTR+G,26,9982.0774380393,9799.15415976392,-4873.49373665508,n/a,0.376463004757189,1.6433953539462,0.179171597633136,0.26189349112426,0.270887573964497,0.288047337278107,0.03,0.06,0.15,0.02,0.2,0.02,0.04,0.19,0.1,0.09,0.02,0.1
HKY+G+I,23,10008.934129757,9847.10095321286,-4900.48496509444,0.424243517443725,1.59513647068878,1.56277939819973,0.179171597633136,0.26189349112426,0.270887573964497,0.288047337278107,0.05,0.05,0.18,0.03,0.17,0.06,0.03,0.16,0.06,0.11,0.05,0.05
T92+G+I,21,10009.1260233651,9861.3553017892,-4909.62283361885,0.431333456383005,1.63313792523479,1.59534820713165,0.220532544378698,0.220532544378698,0.279467455621302,0.279467455621302,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,10010.6228484949,9841.75916044087,-4896.80836360322,0.430102081797554,1.65831573052479,1.61684520315146,0.179171597633136,0.26189349112426,0.270887573964497,0.288047337278107,0.05,0.05,0.14,0.03,0.2,0.06,0.03,0.19,0.06,0.09,0.05,0.05
HKY+G,22,10012.2623793081,9857.46019164668,-4906.67005073019,n/a,0.355216284588382,1.60556565843956,0.179171597633136,0.26189349112426,0.270887573964497,0.288047337278107,0.05,0.05,0.18,0.03,0.17,0.05,0.03,0.16,0.05,0.11,0.05,0.05
T92+G,20,10012.7825066428,9872.04372818544,-4915.97203611787,n/a,0.346648902122553,1.64542363695127,0.220532544378698,0.220532544378698,0.279467455621302,0.279467455621302,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G,23,10015.3568697844,9853.5236932403,-4903.69633510816,n/a,0.350268460398248,1.66296096850525,0.179171597633136,0.26189349112426,0.270887573964497,0.288047337278107,0.05,0.05,0.15,0.03,0.2,0.05,0.03,0.19,0.05,0.09,0.05,0.05
T92+I,20,10026.9565197151,9886.21774125777,-4923.05904265404,0.504275896004122,n/a,1.45521795262142,0.220532544378698,0.220532544378698,0.279467455621302,0.279467455621302,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+I,22,10027.5878460926,9872.78565843113,-4914.33278412241,0.501534770981624,n/a,1.42842111324837,0.179171597633136,0.26189349112426,0.270887573964497,0.288047337278107,0.05,0.06,0.17,0.04,0.16,0.06,0.04,0.16,0.06,0.11,0.05,0.06
TN93+I,23,10028.3233967686,9866.49022022445,-4910.17959860024,0.501408151560124,n/a,1.46091897376247,0.179171597633136,0.26189349112426,0.270887573964497,0.288047337278107,0.05,0.06,0.14,0.04,0.19,0.06,0.04,0.18,0.06,0.09,0.05,0.06
GTR+I,26,10030.2477160752,9847.32443779986,-4897.57887567305,0.49649127889736,n/a,1.17631399616285,0.179171597633136,0.26189349112426,0.270887573964497,0.288047337278107,0.03,0.06,0.15,0.02,0.15,0.06,0.04,0.15,0.1,0.1,0.06,0.09
K2+G+I,20,10059.8398414727,9919.10106301541,-4939.50070353286,0.432338949548835,1.87035851622537,1.48197590643851,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,10063.3400757659,9929.63371729035,-4945.7717815396,n/a,0.368607342164565,1.52533043408152,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,10073.32619777,9939.61983929444,-4950.76484254164,0.500684436247424,n/a,1.38180248654287,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,10217.8500529945,10084.143694519,-5023.02677015392,0.444597623154846,2.50849601272782,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10224.2176171474,10097.5441553472,-5030.73151309052,n/a,0.394524512152467,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10224.7087842547,10098.0353224546,-5030.97709664421,0.498141496496619,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
