Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,6109.61851441691,5976.591026306,-2968.22232967156,n/a,0.253082190159077,2.6941504001439,0.227604166666667,0.227604166666667,0.272395833333333,0.272395833333333,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.17,0.04,0.17,0.03,0.04
TN93+G,23,6114.64379260478,5961.68632788916,-2957.74692963495,n/a,0.257810928401842,2.88671129973061,0.245833333333333,0.209375,0.269444444444444,0.275347222222222,0.03,0.03,0.11,0.03,0.3,0.03,0.03,0.24,0.03,0.1,0.03,0.03
K2+G,19,6115.37133001341,5988.98857187449,-2975.42808384665,n/a,0.260635015026041,2.57543033537058,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+G+I,21,6115.68661597131,5976.01509986219,-2966.92703407191,0.410036330498981,0.706713539292489,2.74609360286799,0.227604166666667,0.227604166666667,0.272395833333333,0.272395833333333,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.17,0.04,0.17,0.03,0.04
TN93+G+I,24,6121.69113210826,5962.09174751926,-2956.94125300985,0.282746123726866,0.462234900995734,2.92316770618907,0.245833333333333,0.209375,0.269444444444444,0.275347222222222,0.03,0.03,0.11,0.03,0.31,0.03,0.03,0.24,0.03,0.1,0.03,0.03
K2+G+I,20,6121.90469339751,5988.8772052866,-2974.36541916185,0.401817503609514,0.712330167093437,2.61866267206575,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
HKY+G,22,6135.10671232222,5988.79187055576,-2972.30773587052,n/a,0.251757416164335,2.75008008219253,0.245833333333333,0.209375,0.269444444444444,0.275347222222222,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.18,0.03,0.04
GTR+G,26,6138.62921762667,5965.74810398992,-2956.75160301537,n/a,0.258371628430544,2.89708863952172,0.245833333333333,0.209375,0.269444444444444,0.275347222222222,0.03,0.02,0.11,0.03,0.3,0.04,0.02,0.24,0.04,0.1,0.03,0.04
HKY+G+I,23,6140.54480617495,5987.58734145933,-2970.69743642004,0.422400563867024,0.742827685867917,2.79831780081928,0.245833333333333,0.209375,0.269444444444444,0.275347222222222,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.18,0.03,0.04
T92+I,20,6144.7142833756,6011.68679526469,-2985.7702141509,0.577678523833881,n/a,2.26015523728751,0.227604166666667,0.227604166666667,0.272395833333333,0.272395833333333,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
GTR+G+I,27,6145.83684776413,5966.31592568945,-2956.02607170725,0.292935479692759,0.479881836031549,2.92634919593727,0.245833333333333,0.209375,0.269444444444444,0.275347222222222,0.03,0.02,0.11,0.03,0.31,0.04,0.02,0.24,0.04,0.1,0.03,0.04
K2+I,19,6149.2419173834,6022.85915924447,-2992.36337753164,0.575935471802601,n/a,2.18814600286241,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
TN93+I,23,6161.61819585893,6008.66073114331,-2981.23413126203,0.570870481788507,n/a,2.23764447377131,0.245833333333333,0.209375,0.269444444444444,0.275347222222222,0.03,0.04,0.14,0.04,0.24,0.04,0.04,0.19,0.04,0.12,0.03,0.04
HKY+I,22,6168.39202275294,6022.07718098648,-2988.95039108588,0.578240940869364,n/a,2.30558211846346,0.245833333333333,0.209375,0.269444444444444,0.275347222222222,0.03,0.04,0.19,0.04,0.19,0.04,0.04,0.15,0.04,0.17,0.03,0.04
GTR+I,26,6182.86511215131,6009.98399851455,-2978.86955027769,0.570565741069889,n/a,2.23536630181683,0.245833333333333,0.209375,0.269444444444444,0.275347222222222,0.03,0.03,0.14,0.04,0.24,0.05,0.03,0.19,0.05,0.12,0.04,0.04
JC+G,18,6330.79792050585,6211.06059394588,-3087.47072546972,n/a,0.297627984223663,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,6337.67175196129,6211.28899382236,-3086.57829482059,0.465384198289231,1.32337448470184,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,6349.7256221245,6229.98829556453,-3096.93457627904,0.570474501166036,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,6526.13788530849,6406.40055874851,-3185.14070787103,n/a,n/a,1.78688936957423,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93,22,6526.52368762415,6380.20884585768,-3168.01622352148,n/a,n/a,1.81874946919656,0.245833333333333,0.209375,0.269444444444444,0.275347222222222,0.04,0.05,0.12,0.04,0.24,0.05,0.04,0.19,0.05,0.1,0.04,0.05
