Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,12298.5680665621,12159.8815996607,-6059.88560203829,n/a,0.738803806893454,1.06208799023396,0.195347313237222,0.195347313237222,0.304652686762778,0.304652686762778,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.1,0.07,0.1,0.05,0.07
T92+G+I,21,12301.5336865937,12155.918432088,-6056.89849049194,0.165009646527323,1.4183983179355,1.04305400268765,0.195347313237222,0.195347313237222,0.304652686762778,0.304652686762778,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.1,0.07,0.1,0.05,0.07
GTR+G,26,12306.3613164352,12126.1100591524,-6036.96269760196,n/a,0.746735378136911,1.04914821026686,0.174705111402359,0.215989515072084,0.280996068152031,0.328309305373526,0.04,0.12,0.17,0.03,0.15,0.03,0.07,0.12,0.09,0.09,0.02,0.07
GTR+G+I,27,12313.3652222279,12126.1883529,-6035.99472893618,0.10852754909206,1.08442487884136,1.04321374782015,0.174705111402359,0.215989515072084,0.280996068152031,0.328309305373526,0.04,0.12,0.16,0.03,0.15,0.03,0.07,0.12,0.09,0.09,0.02,0.08
HKY+G,22,12331.3744232784,12178.8309099064,-6067.34893727214,n/a,0.746176788478298,1.06042893908056,0.174705111402359,0.215989515072084,0.280996068152031,0.328309305373526,0.05,0.07,0.17,0.04,0.15,0.08,0.04,0.11,0.08,0.09,0.05,0.07
HKY+G+I,23,12335.1857590888,12175.7145157973,-6064.78468361521,0.155764430076251,1.36124666035665,1.04189110477838,0.174705111402359,0.215989515072084,0.280996068152031,0.328309305373526,0.05,0.07,0.17,0.04,0.15,0.08,0.04,0.11,0.08,0.09,0.05,0.07
TN93+G,23,12339.7079720934,12180.2367288019,-6067.04579011749,n/a,0.741306684325175,1.06609706607126,0.174705111402359,0.215989515072084,0.280996068152031,0.328309305373526,0.05,0.07,0.17,0.04,0.16,0.08,0.04,0.12,0.08,0.09,0.05,0.07
TN93+G+I,24,12342.666874735,12176.2684306794,-6064.05531987617,0.165505018896094,1.4212144843861,1.05065909187205,0.174705111402359,0.215989515072084,0.280996068152031,0.328309305373526,0.05,0.07,0.16,0.04,0.16,0.08,0.04,0.12,0.08,0.08,0.05,0.07
T92+I,20,12355.1126045125,12216.4261376111,-6088.15787101344,0.277667554517333,n/a,0.95745629380701,0.195347313237222,0.195347313237222,0.304652686762778,0.304652686762778,0.05,0.08,0.15,0.05,0.15,0.08,0.05,0.1,0.08,0.1,0.05,0.08
GTR+I,26,12382.7394012712,12202.4881439884,-6075.15174002,0.271640980717718,n/a,0.969856851925232,0.174705111402359,0.215989515072084,0.280996068152031,0.328309305373526,0.04,0.1,0.15,0.03,0.16,0.05,0.06,0.12,0.1,0.08,0.03,0.08
