Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,6115.18103808825,5966.79698114921,-2960.28119350703,n/a,0.322834384275666,2.65993849932917,0.271458773784355,0.201902748414376,0.245243128964059,0.281395348837209,0.03,0.03,0.07,0.04,0.33,0.04,0.04,0.27,0.04,0.07,0.03,0.03
TN93+G+I,24,6119.36853126521,5964.54324753102,-2958.14409985477,0.258421964267241,0.614784841900105,2.57200796409039,0.271458773784355,0.201902748414376,0.245243128964059,0.281395348837209,0.03,0.03,0.07,0.04,0.32,0.04,0.04,0.26,0.04,0.07,0.03,0.03
GTR+G,26,6122.25437540796,5954.5492157407,-2951.12534144466,n/a,0.348297824391313,2.35577127766569,0.271458773784355,0.201902748414376,0.245243128964059,0.281395348837209,0.01,0.06,0.08,0.01,0.31,0.02,0.06,0.25,0.06,0.08,0.01,0.05
GTR+G+I,27,6126.09052574911,5951.94671804035,-2948.81257637449,0.270757379875811,0.700370267890256,2.31660812516067,0.271458773784355,0.201902748414376,0.245243128964059,0.281395348837209,0.01,0.06,0.08,0.01,0.31,0.02,0.06,0.25,0.06,0.08,0.01,0.05
T92+G,20,6139.63864833103,6010.58342052336,-2985.20251935066,n/a,0.336110117079928,2.08501122766627,0.236680761099366,0.236680761099366,0.263319238900634,0.263319238900634,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,6145.32065071419,6022.710080377,-2992.27436078298,n/a,0.346363588288296,2.01419929016305,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G+I,21,6145.90840514621,6010.40937671725,-2984.1065575175,0.248908628278749,0.60764292018298,2.06570183094576,0.236680761099366,0.236680761099366,0.263319238900634,0.263319238900634,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,6151.56143925281,6022.50621144514,-2991.16391481155,0.254668320917499,0.643788678397487,1.99236303283847,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,6167.78403903238,6025.84206737744,-2990.81353421984,n/a,0.332812802940445,2.20945855798865,0.271458773784355,0.201902748414376,0.245243128964059,0.281395348837209,0.03,0.04,0.19,0.04,0.17,0.04,0.04,0.14,0.04,0.19,0.03,0.04
TN93+I,23,6167.78552847514,6019.40147153611,-2986.58343870048,0.450692597940053,n/a,1.71037320415167,0.271458773784355,0.201902748414376,0.245243128964059,0.281395348837209,0.04,0.04,0.09,0.05,0.25,0.05,0.05,0.21,0.05,0.09,0.04,0.04
GTR+I,26,6167.81891345538,6000.11375378811,-2973.90761046837,0.446916300945959,n/a,1.7351786673916,0.271458773784355,0.201902748414376,0.245243128964059,0.281395348837209,0.01,0.07,0.1,0.02,0.25,0.03,0.07,0.21,0.07,0.09,0.02,0.06
HKY+G+I,23,6174.09947774679,6025.71542080776,-2989.74041333631,0.254238258377931,0.610817243921019,2.18804656407485,0.271458773784355,0.201902748414376,0.245243128964059,0.281395348837209,0.03,0.04,0.19,0.04,0.17,0.04,0.04,0.14,0.04,0.19,0.03,0.04
T92+I,20,6190.24515326847,6061.1899254608,-3010.50577181938,0.463091090698189,n/a,1.62088088607094,0.236680761099366,0.236680761099366,0.263319238900634,0.263319238900634,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,6193.13206385936,6070.52149352216,-3016.18006735556,0.461950338711734,n/a,1.59359062686161,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,6218.79793158485,6076.85595992991,-3016.32048049608,0.463772787706103,n/a,1.67009241687887,0.271458773784355,0.201902748414376,0.245243128964059,0.281395348837209,0.04,0.05,0.17,0.05,0.15,0.05,0.05,0.13,0.05,0.17,0.04,0.05
JC+G,18,6289.64438493625,6173.47932837309,-3068.66706813475,n/a,0.40960486712779,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,6294.79353477351,6172.18296443631,-3067.01080281264,0.316762462247701,1.04554985206279,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,6320.15910200751,6203.99404544435,-3083.92442667038,0.458509909936944,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,6473.73009417384,6312.46444268091,-3131.09404106835,n/a,n/a,1.14338494386267,0.271458773784355,0.201902748414376,0.245243128964059,0.281395348837209,0.04,0.07,0.09,0.05,0.2,0.03,0.08,0.16,0.09,0.09,0.02,0.08
TN93,22,6477.72613208865,6335.78416043371,-3145.78458074798,n/a,n/a,1.37377090239699,0.271458773784355,0.201902748414376,0.245243128964059,0.281395348837209,0.04,0.05,0.09,0.06,0.22,0.06,0.06,0.18,0.06,0.09,0.04,0.05
K2,18,6506.7745169372,6390.60946037404,-3177.23213413523,n/a,n/a,1.34804965449031,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92,19,6510.8404423503,6388.2298720131,-3175.03425660103,n/a,n/a,1.34936968907324,0.236680761099366,0.236680761099366,0.263319238900634,0.263319238900634,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.14,0.06,0.14,0.05,0.06
HKY,21,6542.70873782262,6407.20970939366,-3182.50672385571,n/a,n/a,1.34124706721482,0.271458773784355,0.201902748414376,0.245243128964059,0.281395348837209,0.04,0.05,0.16,0.06,0.14,0.06,0.06,0.11,0.06,0.15,0.04,0.05
JC,17,6617.9982919166,6508.27960488584,-3237.07486186567,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
