Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G,26,13788.6697737065,13599.378697964,-6773.62406487522,n/a,0.425082619722787,1.62790853418871,0.176530612244898,0.274953617810761,0.276345083487941,0.272170686456401,0.02,0.07,0.13,0.01,0.2,0.03,0.05,0.2,0.09,0.09,0.03,0.09
GTR+G+I,27,13803.0607805739,13606.4943137734,-6776.17684438669,0.329742094119967,1.23539946153811,1.44485491042878,0.176530612244898,0.274953617810761,0.276345083487941,0.272170686456401,0.05,0.06,0.14,0.03,0.18,0.03,0.04,0.18,0.08,0.09,0.03,0.09
TN93+G+I,24,13814.6551687543,13639.9159964983,-6795.90221024359,0.351069486565874,1.27793472384301,1.57761825883803,0.176530612244898,0.274953617810761,0.276345083487941,0.272170686456401,0.05,0.05,0.13,0.03,0.19,0.05,0.03,0.19,0.05,0.09,0.05,0.05
HKY+G+I,23,13814.898177109,13647.4355170732,-6800.6664383432,0.350947469671205,1.29966540133082,1.5213519925584,0.176530612244898,0.274953617810761,0.276345083487941,0.272170686456401,0.05,0.05,0.16,0.04,0.17,0.05,0.04,0.17,0.05,0.11,0.05,0.05
HKY+G,22,13818.1762698889,13657.9904955854,-6806.94820865537,n/a,0.410609098635418,1.5564111414119,0.176530612244898,0.274953617810761,0.276345083487941,0.272170686456401,0.05,0.05,0.17,0.03,0.17,0.05,0.03,0.17,0.05,0.11,0.05,0.05
TN93+G,23,13818.5605951847,13651.0979351489,-6802.49764738105,n/a,0.40445470567483,1.61844725811757,0.176530612244898,0.274953617810761,0.276345083487941,0.272170686456401,0.05,0.05,0.13,0.03,0.2,0.05,0.03,0.2,0.05,0.09,0.05,0.05
T92+G+I,21,13843.7285692177,13690.8200540546,-6824.36708224201,0.363781839224377,1.39248721539083,1.54449805325851,0.225742115027829,0.225742115027829,0.274257884972171,0.274257884972171,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,13848.6096010822,13702.9787183634,-6831.45032209648,n/a,0.405482590706412,1.58476328650738,0.225742115027829,0.225742115027829,0.274257884972171,0.274257884972171,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+I,26,13849.9475200434,13660.6564443008,-6804.26293804366,0.449733128568084,n/a,1.43801710331013,0.176530612244898,0.274953617810761,0.276345083487941,0.272170686456401,0.03,0.07,0.14,0.02,0.18,0.04,0.04,0.18,0.08,0.09,0.04,0.09
HKY+I,22,13864.6711325818,13704.4853582782,-6830.19564000179,0.456733635922408,n/a,1.37532215765724,0.176530612244898,0.274953617810761,0.276345083487941,0.272170686456401,0.06,0.06,0.16,0.04,0.16,0.06,0.04,0.16,0.06,0.1,0.06,0.06
TN93+I,23,13865.6201669964,13698.1575069605,-6826.02743328686,0.456347632144431,n/a,1.3942969647823,0.176530612244898,0.274953617810761,0.276345083487941,0.272170686456401,0.06,0.06,0.13,0.04,0.18,0.06,0.04,0.18,0.06,0.09,0.06,0.06
T92+I,20,13888.8139593578,13743.183076639,-6851.55250123427,0.459075831724354,n/a,1.39771412060863,0.225742115027829,0.225742115027829,0.274257884972171,0.274257884972171,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+G+I,20,13898.910817376,13753.2799346572,-6856.60093024335,0.362562463832608,1.51354807211347,1.45313856409746,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,13903.4169621288,13765.0640850542,-6863.49672654198,n/a,0.428726419257003,1.48803392940822,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,13939.243935601,13800.8910585265,-6881.4102132781,0.455804327702577,n/a,1.33895529963971,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC+G+I,19,14120.9096930981,13982.5568160236,-6972.24309202666,0.375550867755417,1.91619191166773,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
