Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,8397.81247756584,8218.91403370108,-4082.32206504761,0.317348202443249,1.30940011508434,1.43504889098087,0.199289520426288,0.233392539964476,0.277264653641208,0.290053285968028,0.01,0.08,0.12,0.01,0.22,0.04,0.06,0.19,0.09,0.08,0.03,0.09
T92+G+I,21,8398.46607690667,8259.27768238483,-4108.55645888143,0.342944488325464,1.57582608592406,1.36912945282073,0.216341030195382,0.216341030195382,0.283658969804618,0.283658969804618,0.05,0.06,0.17,0.05,0.17,0.06,0.05,0.13,0.06,0.13,0.05,0.06
GTR+G,26,8402.80087784226,8230.51897513919,-4089.13419754639,n/a,0.420492839327704,1.50126576074165,0.199289520426288,0.233392539964476,0.277264653641208,0.290053285968028,0.01,0.08,0.11,0.01,0.23,0.03,0.06,0.19,0.09,0.08,0.02,0.09
TN93+G+I,24,8404.96682798207,8245.92016923329,-4098.85303733743,0.334290066817794,1.4089612693235,1.47647884407704,0.199289520426288,0.233392539964476,0.277264653641208,0.290053285968028,0.05,0.06,0.11,0.04,0.22,0.06,0.04,0.18,0.06,0.08,0.05,0.06
T92+G,20,8407.98584899421,8275.41831388692,-4117.63427728577,n/a,0.411303300388088,1.479987903807,0.216341030195382,0.216341030195382,0.283658969804618,0.283658969804618,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G,23,8412.74668576901,8260.31872904166,-4107.06089859147,n/a,0.399179400287597,1.603876472898,0.199289520426288,0.233392539964476,0.277264653641208,0.290053285968028,0.04,0.05,0.11,0.04,0.23,0.06,0.04,0.2,0.06,0.08,0.04,0.05
HKY+G+I,23,8414.17054768071,8261.74259095336,-4107.77282954732,0.339176821028829,1.52608606440771,1.36774578160976,0.199289520426288,0.233392539964476,0.277264653641208,0.290053285968028,0.05,0.06,0.17,0.04,0.16,0.06,0.04,0.14,0.06,0.12,0.05,0.06
HKY+G,22,8422.90730346058,8277.09876827051,-4116.45913979782,n/a,0.413508783652095,1.47270614321075,0.199289520426288,0.233392539964476,0.277264653641208,0.290053285968028,0.05,0.06,0.17,0.04,0.17,0.06,0.04,0.14,0.06,0.12,0.05,0.06
T92+I,20,8431.04164270243,8298.47410759514,-4129.16217413988,0.405549030397276,n/a,1.18104371898179,0.216341030195382,0.216341030195382,0.283658969804618,0.283658969804618,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
GTR+I,26,8437.44812766513,8265.16622496206,-4106.45782245783,0.401693931464652,n/a,1.22358527742605,0.199289520426288,0.233392539964476,0.277264653641208,0.290053285968028,0.02,0.08,0.13,0.01,0.19,0.06,0.05,0.16,0.09,0.09,0.05,0.09
TN93+I,23,8443.85400385658,8291.42604712923,-4122.61455763525,0.404121546647518,n/a,1.20536523199208,0.199289520426288,0.233392539964476,0.277264653641208,0.290053285968028,0.05,0.06,0.12,0.04,0.19,0.07,0.04,0.16,0.07,0.08,0.05,0.06
HKY+I,22,8448.63734079145,8302.82880560138,-4129.32415846326,0.405037962065946,n/a,1.17588169084191,0.199289520426288,0.233392539964476,0.277264653641208,0.290053285968028,0.05,0.06,0.16,0.05,0.15,0.07,0.05,0.13,0.07,0.11,0.05,0.06
K2+G+I,20,8452.60453852396,8320.03700341667,-4139.94362205064,0.347060622475801,1.85166408163073,1.25544194975205,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+G,19,8464.6619994183,8338.71604208753,-4150.29028485838,n/a,0.448774978070308,1.34050976950937,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+I,19,8477.88704122508,8351.94108389431,-4156.90280576177,0.403701636027952,n/a,1.12284346115126,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G+I,19,8542.17340951993,8416.22745218915,-4189.04598990919,0.358008871708434,2.49371353770621,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,8557.79553102531,8438.47186944893,-4201.17498302245,0.402094506910423,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,8559.24361050015,8439.91994892377,-4201.89902275987,n/a,0.498031206723567,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,8850.23007447003,8684.56543360086,-4317.16672822084,n/a,n/a,0.984459669671397,0.199289520426288,0.233392539964476,0.277264653641208,0.290053285968028,0.02,0.09,0.12,0.01,0.16,0.05,0.06,0.14,0.11,0.08,0.04,0.11
T92,19,8883.17677946477,8757.230822134,-4359.54767488162,n/a,n/a,0.983777807377636,0.216341030195382,0.216341030195382,0.283658969804618,0.283658969804618,0.05,0.07,0.14,0.05,0.14,0.07,0.05,0.11,0.07,0.11,0.05,0.07
